House of Representatives - 1998 Election				
National List of Candidates				
				
				
Candidate	Party		Division	State
"HENSHAW, Rod"	LP		Dickson	QLD
"HENSLEY, Warren"	HAN		Sydney	NSW
"HERAGHTY, Julie"	ALP		Warringah	NSW
"HERNANDEZ, Robert"	DEM		Rankin	QLD
"HESSE, Douglas"	HAN		Chisholm	VIC
"HICKSON, Wayne"	HAN		Hume	NSW
"HIGGINS, Ron"	ACS		Brand	WA
"HILL, David"	ALP		Hughes	NSW
"HILL, Rick"	IND		Port Adelaide	SA
"HILL, Tony"	HAN		Fremantle	WA
"HILLEL, Leanne"	NLP		Stirling	WA
"HINES, Mat"	GRN		Denison	TAS
"HIRSH, Carolyn"	ALP		La Trobe	VIC
"HOARE, Kelly"	ALP		Charlton	NSW
"HOCKEY, Joe"	LP		North Sydney	NSW
"HOCKLEY, John"	HAN		North Sydney	NSW
"HOEPPER, Brian"	GRN		Ryan	QLD
"HOLBROOK, Darryl"	DEM		Brisbane	QLD
"HOLLIS, Colin"	ALP		Throsby	NSW
"HOLT, Ron"	HAN		Cowan	WA
"HOLTHAM, Robyn"	GRN		La Trobe	VIC
"HOPE, Danny"	CEC		Forde	QLD
"HORNE, Bob"	ALP		Paterson	NSW
"HORSFIELD, Les"	IND		Gippsland	VIC
"HORSWOOD, Lindsay"	NP		Fairfax	QLD
"HORVAT, Ivan"	CEC		Melbourne	VIC
"HOUGH, Frank"	HAN		O'Connor	WA
"HOWARD, John Winston"	LP		Bennelong	NSW
"HOWDEN, Jocelyn"	GRN		Greenway	NSW
"HUA, Matthew"	DEM		Blaxland	NSW
"HUDSON, Beth"	HAN		Leichhardt	QLD
"HUGHES, Brian"	CTA		Throsby	NSW
"HUGHES, Colene Mae"	HAN		Oxley	QLD
"HULL, Kay"	NP		Riverina	NSW
"HUME, Rosemary"	ALP		Petrie	QLD
"HUNT, Rita"	IND		Adelaide	SA
"HUTCHINSON, John"	HAN		Prospect	NSW
"HUYNH, Toan"	UNI		Bruce	VIC
"HYSLOP, John"	HAN		Werriwa	NSW

"IACONO, Stephen"	LP		Banks	NSW
"INGHAM, Liz"	GRN		Gellibrand	VIC
"IRWIN, Julia"	ALP		Fowler	NSW
"ISHERWOOD, Alan"	DEM		Kennedy	QLD
"IVANEZA, Stephen Zeljko"	DEM		Cunningham	NSW
"IVOR, F"	IND		Lindsay	NSW

"JACKSON, Martin"	IND		Grey	SA
"JACKSON, Peter"	NLP		McMillan	VIC
"JACOBI, Carrie"	GRN		Lyne	NSW
"JACOBI, Carrie"	GRN		Newcastle	NSW
"JACOBS, Alan"	UNI		Wentworth	NSW
"JAMES, Chris"	GRN		Casey	VIC
"JEANES, Susan"	LP		Kingston	SA
"JENKINS, Harry"	ALP		Scullin	VIC
"JENKINS, Tim"	HAN		Fisher	QLD
"JENSEN, Dennis"	LP		Corio	VIC
"JERRAM, Bill"	IND		Barker	SA
"JOHNS, Bob"	HAN		Gwydir	NSW
"JOHNSTON, Ricky"	LP		Canning	WA
"JOHNSTONE, Heath"	CTA		Warringah	NSW
"JONES, David Rhys"	GRN		Bendigo	VIC
"JONSSON, Dee Richelle"	CTA		Parramatta	NSW
"JORDAN, James"	LP		Barton	NSW
"JORGENSEN, Neil"	HAN		Griffith	QLD
"JOYCE, Tom"	DEM		Mallee	VIC
"JUDD, Ines"	NLP		Warringah	NSW
"JULL, David"	LP		Fadden	QLD

"KAILAINATHAN, Nadesu"	ALP		Bradfield	NSW
"KALANTZIS, Diana"	UNI		Maribyrnong	VIC
"KAMPS, Tony"	UNI		Flinders	VIC
"KARADJIS, Michael"	DSL		Grayndler	NSW
"KATTER, Bob"	NP		Kennedy	QLD
"KAUFMANN, Anthony"	DEM		Macarthur	NSW
"KAVALENKA, Nikolas"	HAN		Gellibrand	VIC
"KAYE, John"	GRN		Cook	NSW
"KEARNEY, Vicki"	GRN		Werriwa	NSW
"KEATH, Linda"	NLP		Deakin	VIC
"KECELI, Benal"	UNI		Calwell	VIC
"KEECH, Peter"	ALP		Forde	QLD
"KELLY, De-Anne"	NP		Dawson	QLD
"KELLY, Jackie"	LP		Lindsay	NSW
"KELLY, Mark John"	IND		Dickson	QLD
"KELLY, Pam"	IND		Wakefield	SA
"KELLY, Peter M"	ASP		McMillan	VIC
"KELSALL, Henry"	GRN		Dunkley	VIC
"KEMP, David"	LP		Goldstein	VIC
"KEMP, Sarah"	UNI		Bennelong	NSW
"KENDI, Robert"	NLP		Casey	VIC
"KENYON, Rob"	IND		Leichhardt	QLD
"KERNOT, Cheryl"	ALP		Dickson	QLD
"KERR, Duncan"	ALP		Denison	TAS
"KHEIRALLAH, M"	UNI		Scullin	VIC
"KHOURI, Margaret"	ALP		Goldstein	VIC
"KIBBEY, David"	LP		Riverina	NSW
"KIELY, Alexandra Louisa"	NLP		Bradfield	NSW
"KIM, Iggy"	DSL		Perth	WA
"KIMBERLEY, Gareth"	HAN		Cook	NSW
"KINASZ, Michal"	IND		Sturt	SA
"KING, Anthony John"	CEC		Paterson	NSW
"KING, Gordon"	HAN		Bennelong	NSW
"KING, Helen"	GRN		Dawson	QLD
"KING, Tony"	CEC		Newcastle	NSW
"KOSTER, Dezi Ann"	NLP		Wentworth	NSW
"KOWALD, Rodney Wayne"	HAN		Makin	SA
"KUNATHAI, Suthep"	UNI		Hughes	NSW
"KUNZELMANN, Kate"	DEM		Oxley	QLD

"LACEY, Dennis K"	HAN		McEwen	VIC
"LAM, Keelah"	GRN		Warringah	NSW
"LAMBERT, Joan"	GRN		Calare	NSW
"LANGFORD, John"	GRN		Longman	QLD
"LANGLEY, Robert"	HAN		Flinders	VIC
"LANNSTROM, Karrie June"	DEM		Wakefield	SA
"LATHAM, Mark"	ALP		Werriwa	NSW
