House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result												
By Polling Place												
												
Braddon (67749)												
		Candidate		                  	"SIDEBOTTOM, Sid"		            	"PATTISON, Alan"		             	Total	
				                           	ALP		                        	LP		                         		
				                           	Votes	%	                     	Votes	%	                     		
		Total	7		38	45.78		45	54.22		83	

	Turners Beach											
			1st Prefs		330	46.74		376	53.26		706	
		"THOMPSON, Clare (GRN)"	50		37	74.00		13	26.00		50	
		"COOPER, Craig (DEM)"	16		6	37.50		10	62.50		16	
		"PICKFORD, Steve (HAN)"	36		21	58.33		15	41.67		36	
		Total	102		394	48.76		414	51.24		808	

	Ulverstone Central											
			1st Prefs		601	52.26		549	47.74		1150	
		"THOMPSON, Clare (GRN)"	57		45	78.95		12	21.05		57	
		"COOPER, Craig (DEM)"	24		14	58.33		10	41.67		24	
		"PICKFORD, Steve (HAN)"	46		19	41.30		27	58.70		46	
		Total	127		679	53.17		598	46.83		1277	

	Ulverstone East											
			1st Prefs		456	50.00		456	50.00		912	
		"THOMPSON, Clare (GRN)"	43		29	67.44		14	32.56		43	
		"COOPER, Craig (DEM)"	15		11	73.33		4	26.67		15	
		"PICKFORD, Steve (HAN)"	41		15	36.59		26	63.41		41	
		Total	99		511	50.54		500	49.46		1011	

	Ulverstone South											
			1st Prefs		1017	55.97		800	44.03		1817	
		"THOMPSON, Clare (GRN)"	132		88	66.67		44	33.33		132	
		"COOPER, Craig (DEM)"	53		31	58.49		22	41.51		53	
		"PICKFORD, Steve (HAN)"	92		48	52.17		44	47.83		92	
		Total	277		1184	56.54		910	43.46		2094	

	Ulverstone West											
			1st Prefs		995	57.61		732	42.39		1727	
		"THOMPSON, Clare (GRN)"	81		57	70.37		24	29.63		81	
		"COOPER, Craig (DEM)"	31		19	61.29		12	38.71		31	
		"PICKFORD, Steve (HAN)"	93		45	48.39		48	51.61		93	
		Total	205		1116	57.76		816	42.24		1932	

	Upper Burnie											
			1st Prefs		716	59.27		492	40.73		1208	
		"THOMPSON, Clare (GRN)"	66		50	75.76		16	24.24		66	
		"COOPER, Craig (DEM)"	23		13	56.52		10	43.48		23	
		"PICKFORD, Steve (HAN)"	51		22	43.14		29	56.86		51	
		Total	140		801	59.42		547	40.58		1348	

	Valley Road											
			1st Prefs		1113	55.32		899	44.68		2012	
		"THOMPSON, Clare (GRN)"	79		61	77.22		18	22.78		79	
		"COOPER, Craig (DEM)"	63		36	57.14		27	42.86		63	
		"PICKFORD, Steve (HAN)"	86		52	60.47		34	39.53		86	
		Total	228		1262	56.34		978	43.66		2240	

	Waratah											
			1st Prefs		86	72.88		32	27.12		118	
		"THOMPSON, Clare (GRN)"	8		4	50.00		4	50.00		8	
		"COOPER, Craig (DEM)"	1		0	0.00		1	100.00		1	
		"PICKFORD, Steve (HAN)"	11		6	54.55		5	45.45		11	
		Total	20		96	69.57		42	30.43		138	

	Wesley Vale											
			1st Prefs		96	33.68		189	66.32		285	
		"THOMPSON, Clare (GRN)"	23		15	65.22		8	34.78		23	
		"COOPER, Craig (DEM)"	12		8	66.67		4	33.33		12	
		"PICKFORD, Steve (HAN)"	19		9	47.37		10	52.63		19	
		Total	54		128	37.76		211	62.24		339	

	Wivenhoe											
			1st Prefs		172	56.39		133	43.61		305	
		"THOMPSON, Clare (GRN)"	23		14	60.87		9	39.13		23	
		"COOPER, Craig (DEM)"	7		4	57.14		3	42.86		7	
		"PICKFORD, Steve (HAN)"	11		7	63.64		4	36.36		11	
		Total	41		197	56.94		149	43.06		346	

	Wynyard Central											
			1st Prefs		968	55.28		783	44.72		1751	
		"THOMPSON, Clare (GRN)"	120		84	70.00		36	30.00		120	
		"COOPER, Craig (DEM)"	89		47	52.81		42	47.19		89	
		"PICKFORD, Steve (HAN)"	81		43	53.09		38	46.91		81	
		Total	290		1142	55.95		899	44.05		2041	

	Wynyard East											
			1st Prefs		312	69.96		134	30.04		446	
		"THOMPSON, Clare (GRN)"	36		28	77.78		8	22.22		36	
		"COOPER, Craig (DEM)"	22		17	77.27		5	22.73		22	
		"PICKFORD, Steve (HAN)"	22		14	63.64		8	36.36		22	
		Total	80		371	70.53		155	29.47		526	

	Wynyard West											
			1st Prefs		495	56.19		386	43.81		881	
		"THOMPSON, Clare (GRN)"	65		50	76.92		15	23.08		65	
		"COOPER, Craig (DEM)"	23		12	52.17		11	47.83		23	
		"PICKFORD, Steve (HAN)"	44		24	54.55		20	45.45		44	
		Total	132		581	57.35		432	42.65		1013	

	Yolla											
			1st Prefs		157	50.32		155	49.68		312	
		"THOMPSON, Clare (GRN)"	45		33	73.33		12	26.67		45	
		"COOPER, Craig (DEM)"	21		13	61.90		8	38.10		21	
		"PICKFORD, Steve (HAN)"	28		18	64.29		10	35.71		28	
		Total	94		221	54.43		185	45.57		406	

	Special Hospitals											
			1st Prefs		272	51.52		256	48.48		528	
		"THOMPSON, Clare (GRN)"	14		9	64.29		5	35.71		14	
		"COOPER, Craig (DEM)"	4		0	0.00		4	100.00		4	
		"PICKFORD, Steve (HAN)"	18		5	27.78		13	72.22		18	
		Total	36		286	50.71		278	49.29		564	

	Total Ordinary											
			1st Prefs		27276	55.56		21815	44.44		49091	
		"THOMPSON, Clare (GRN)"	2954		2093	70.85		861	29.15		2954	
		"COOPER, Craig (DEM)"	1476		892	60.43		584	39.57		1476	
		"PICKFORD, Steve (HAN)"	2312		1141	49.35		1171	50.65		2312	
		Total	6742		31402	56.24		24431	43.76		55833	

	ABSENT											
			1st Prefs		942	54.14		798	45.86		1740	
		"THOMPSON, Clare (GRN)"	188		126	67.02		62	32.98		188	
		"COOPER, Craig (DEM)"	104		58	55.77		46	44.23		104	
		"PICKFORD, Steve (HAN)"	84		42	50.00		42	50.00		84	
		Total	376		1168	55.20		948	44.80		2116	

	POSTAL											
			1st Prefs		928	48.95		968	51.05		1896	
		"THOMPSON, Clare (GRN)"	114		83	72.81		31	27.19		114	
		"COOPER, Craig (DEM)"	68		40	58.82		28	41.18		68	
		"PICKFORD, Steve (HAN)"	88		40	45.45		48	54.55		88	
		Total	270		1091	50.37		1075	49.63		2166	

	PRE_POLL											
			1st Prefs		1080	51.06		1035	48.94		2115	
		"THOMPSON, Clare (GRN)"	172		113	65.70		59	34.30		172	
		"COOPER, Craig (DEM)"	103		55	53.40		48	46.60		103	
		"PICKFORD, Steve (HAN)"	119		54	45.38		65	54.62		119	
		Total	394		1302	51.89		1207	48.11		2509	

	PROVISIONAL											
			1st Prefs		346	73.15		127	26.85		473	
		"THOMPSON, Clare (GRN)"	33		17	51.52		16	48.48		33	
		"COOPER, Craig (DEM)"	22		12	54.55		10	45.45		22	
		"PICKFORD, Steve (HAN)"	12		7	58.33		5	41.67		12	
		Total	67		382	70.74		158	29.26		540	

	Division Summary											
			1st Prefs		30572	55.27		24743	44.73		55315	
		"THOMPSON, Clare (GRN)"	3461		2432	70.27		1029	29.73		3461	
		"COOPER, Craig (DEM)"	1773		1057	59.62		716	40.38		1773	
