State;Division;Polling Place;Count;Ballot Position;Candidate Status;Vote Distributed;Vote;Vote Pc;Elected Swing;Exhausted Transfer;Exhausted
NSW;Barton;Carss Park;1;3;R;0;2;0.21;;;
NSW;Barton;Carss Park;1;4;R;0;37;3.91;;;
NSW;Barton;Carss Park;1;5;R;0;22;2.33;;;
NSW;Barton;Carss Park;1;6;R;0;1;0.11;;;
NSW;Barton;Carss Park;1;7;R;0;7;0.74;;;
NSW;Barton;Carss Park;1;8;R;0;2;0.21;;;
NSW;Barton;Clareville Park;1;1;R;0;955;44.75;;;
NSW;Barton;Clareville Park;1;2;R;0;1052;49.30;;;
NSW;Barton;Clareville Park;1;3;R;0;12;0.56;;;
NSW;Barton;Clareville Park;1;4;R;0;44;2.06;;;
NSW;Barton;Clareville Park;1;5;R;0;50;2.34;;;
NSW;Barton;Clareville Park;1;6;R;0;6;0.28;;;
NSW;Barton;Clareville Park;1;7;R;0;9;0.42;;;
NSW;Barton;Clareville Park;1;8;R;0;6;0.28;;;
NSW;Barton;Connells Point;1;1;R;0;1851;62.18;;;
NSW;Barton;Connells Point;1;2;R;0;908;30.50;;;
NSW;Barton;Connells Point;1;3;R;0;19;0.64;;;
NSW;Barton;Connells Point;1;4;R;0;90;3.02;;;
NSW;Barton;Connells Point;1;5;R;0;63;2.12;;;
NSW;Barton;Connells Point;1;6;R;0;16;0.54;;;
NSW;Barton;Connells Point;1;7;R;0;19;0.64;;;
NSW;Barton;Connells Point;1;8;R;0;11;0.37;;;
NSW;Barton;Connells Point North;1;1;R;0;385;47.89;;;
NSW;Barton;Connells Point North;1;2;R;0;368;45.77;;;
NSW;Barton;Connells Point North;1;3;R;0;3;0.37;;;
NSW;Barton;Connells Point North;1;4;R;0;19;2.36;;;
NSW;Barton;Connells Point North;1;5;R;0;16;1.99;;;
NSW;Barton;Connells Point North;1;6;R;0;3;0.37;;;
NSW;Barton;Connells Point North;1;7;R;0;9;1.12;;;
NSW;Barton;Connells Point North;1;8;R;0;1;0.12;;;
