House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hume (85640)											
		Candidate		"SCHULTZ, Alby"		              	"MERRIMAN, Jan"		              	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		"PRELL, Charlie (HAN)"	43	26	60.47		17	39.53		43	
		Total	97	264	52.07		243	47.93		507	

	Young										
			1st Prefs	1616	68.33		749	31.67		2365	
		"WATCHIRS, Kevin (GRN)"	66	26	39.39		40	60.61		66	
		"ROXBURGH, James (DEM)"	46	15	32.61		31	67.39		46	
		"PRELL, Charlie (HAN)"	154	65	42.21		89	57.79		154	
		Total	266	1722	65.45		909	34.55		2631	

	Young North										
			1st Prefs	1066	66.25		543	33.75		1609	
		"WATCHIRS, Kevin (GRN)"	39	14	35.90		25	64.10		39	
		"ROXBURGH, James (DEM)"	26	15	57.69		11	42.31		26	
		"PRELL, Charlie (HAN)"	114	54	47.37		60	52.63		114	
		Total	179	1149	64.26		639	35.74		1788	

	Young South										
			1st Prefs	646	66.53		325	33.47		971	
