House of Representatives - 2001 Election: New South Wales							
Swing to ALP							
By Division by Polling Place							
							
Banks							
							
Polling Place	Formal	MELHAM		WATZLAFF		Swing	
Hillsdale	2771	1948	70.30	823	29.70	-6.88	
International	81	56	69.14	25	30.86	6.06	
Kensington	1719	1019	59.28	700	40.72	-4.87	
Kensington Park	1660	890	53.61	770	46.39	-3.41	
Kensington West	2089	1046	50.07	1043	49.93	-2.14	
Kingsford	614	403	65.64	211	34.36	-4.64	
Kingsford South	1705	1057	61.99	648	38.01	-3.99	
La Perouse	1107	645	58.27	462	41.73	-7.35	
Malabar	2007	1119	55.75	888	44.25	-4.70	
Maroubra	1544	818	52.98	726	47.02	-0.17	
Maroubra Bay	1544	900	58.29	644	41.71	-2.62	
Maroubra East	1037	388	37.42	649	62.58	-4.43	
Maroubra Junction	4149	2309	55.65	1840	44.35	-4.62	
Mascot	1710	1192	69.71	518	30.29	-5.97	
Mascot East	2852	1993	69.88	859	30.12	-5.56	
Mascot North	828	606	73.19	222	26.81	-8.46	
Matraville	1338	795	59.42	543	40.58	-7.95	
Nagle Park	1878	1058	56.34	820	43.66	-2.85	
Ocean View Park	3188	1851	58.06	1337	41.94	-4.57	
Peters Corner (Kingsford Smith)	1394	815	58.46	579	41.54	-3.06	
Prince Henry	638	378	59.25	260	40.75	-7.42	
Prince Of Wales	265	156	58.87	109	41.13	-11.28	
Qantas	44	26	59.09	18	40.91	-1.62	
Randwick Girls High	1889	1021	54.05	868	45.95	-2.83	
Special Hospital Team 1	115	65	56.52	50	43.48	6.32	
Special Hospital Team 2	93	41	44.09	52	55.91	-	
Sydney (Kingsford Smith)	181	111	61.33	70	38.67	-4.39	
The Rainbow	1156	659	57.01	497	42.99	-2.05	
The Spot	1080	618	57.22	462	42.78	1.13	
ABSENT	4994	2821	56.49	2173	43.51	-	
POSTAL	2710	1482	54.69	1228	45.31	-	
PRE POLL	3913	2193	56.04	1720	43.96	-	
PROVISIONAL	628	390	62.10	238	37.90	-	
Division Total	76390	44995	58.90	31395	41.10	-4.05	
							
							
Lindsay							
							
Polling Place	Formal	BRADBURY		KELLY		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Berkshire Park	274	96	35.04	178	64.96	-12.46	
Blaxland (Lindsay)	727	312	42.92	415	57.08	-1.33	
Braddock	2848	1441	50.60	1407	49.40	-3.74	
Cambridge Gardens	2199	1066	48.48	1133	51.52	-3.45	
Cambridge Park	2712	1339	49.37	1373	50.63	-5.58	
Cambridge Park South	1351	686	50.78	665	49.22	-1.28	
Castlereagh	788	259	32.87	529	67.13	0.70	
Claremont Meadows	1598	927	58.01	671	41.99	1.97	
Cranebrook	2985	1218	40.80	1767	59.20	-3.10	
Emu Heights	1611	704	43.70	907	56.30	-3.11	
Emu Plains	2957	1188	40.18	1769	59.82	-3.25	
Floribunda	2306	808	35.04	1498	64.96	-5.15	
Glenbrook	2185	929	42.52	1256	57.48	-1.64	
Glenmore Park	3642	1567	43.03	2075	56.97	-1.50	
Jamisontown	1710	767	44.85	943	55.15	-3.30	
Kingswood	1622	864	53.27	758	46.73	-3.24	
Kingswood Park	1558	800	51.35	758	48.65	-1.03	
Kingswood South	1395	694	49.75	701	50.25	-5.01	
Lapstone	1161	480	41.34	681	58.66	0.68	
Leonay	1598	566	35.42	1032	64.58	2.64	
Llandilo	1048	377	35.97	671	64.03	-4.70	
Londonderry	1704	674	39.55	1030	60.45	-5.31	
Mulgoa	1011	277	27.40	734	72.60	-2.16	
Nepean High	1569	687	43.79	882	56.21	-3.69	
Nepean Hospital	418	238	56.94	180	43.06	-1.01	
Orchard Hills	890	248	27.87	642	72.13	-0.76	
Penrith	1583	773	48.83	810	51.17	-6.78	
Penrith Central	862	453	52.55	409	47.45	-1.37	
Penrith East	1388	595	42.87	793	57.13	-1.91	
Penrith North	889	409	46.01	480	53.99	-9.15	
Penrith South	3285	1541	46.91	1744	53.09	-3.75	
Regentville	1816	699	38.49	1117	61.51	-0.14	
Special Hospital Team 1	104	47	45.19	57	54.81	-4.81	
Stuart Street	918	367	39.98	551	60.02	-2.13	
Sydney (Lindsay)	86	47	54.65	39	45.35	-13.30	
Wallacia	676	233	34.47	443	65.53	-4.13	
Werrington	2024	1080	53.36	944	46.64	-2.24	
Werrington County	1798	876	48.72	922	51.28	-4.96	
York	3216	1399	43.50	1817	56.50	-6.22	
ABSENT	4938	2303	46.64	2635	53.36	-	
POSTAL	2036	884	43.42	1152	56.58	-	
PRE POLL	2856	1243	43.52	1613	56.48	-	
PROVISIONAL	828	419	50.60	409	49.40	-	
Division Total	73170	32580	44.53	40590	55.47	-2.45	
							
							
Lowe							
							
Polling Place	Formal	MURPHY		DOUST		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Abbotsford	3534	1736	49.12	1798	50.88	-2.51	
Ashfield North (Lowe)	1080	693	64.17	387	35.83	-1.21	
Burwood	3543	2216	62.55	1327	37.45	-1.16	
Burwood East	2843	1816	63.88	1027	36.12	2.44	
Burwood North	361	218	60.39	143	39.61	-4.35	
Burwood Park	861	537	62.37	324	37.63	1.41	
Canada Bay	694	390	56.20	304	43.80	2.58	
Chiswick	1553	739	47.59	814	52.41	3.35	
Concord	1024	627	61.23	397	38.77	1.94	
Concord Central	835	442	52.93	393	47.07	-1.17	
Concord East	2298	1187	51.65	1111	48.35	-3.52	
Concord North	1229	648	52.73	581	47.27	-5.43	
Concord Repatriation Hospital	142	77	54.23	65	45.77	3.34	
Concord West	1756	947	53.93	809	46.07	-0.43	
Croydon	838	515	61.46	323	38.54	-3.10	
Croydon Park	1855	1043	56.23	812	43.77	-0.58	
Croydon South	828	498	60.14	330	39.86	-3.59	
Dobroyd Point	1375	792	57.60	583	42.40	-0.54	
Drummoyne	2152	1095	50.88	1057	49.12	1.88	
Drummoyne East	1121	421	37.56	700	62.44	2.59	
Drummoyne North	2552	1142	44.75	1410	55.25	1.53	
Enfield	1852	1155	62.37	697	37.63	0.62	
Enfield South	763	402	52.69	361	47.31	-10.68	
Five Dock	1907	1118	58.63	789	41.37	-3.17	
Five Dock Central	2125	1203	56.61	922	43.39	-0.25	
Flemington	1104	781	70.74	323	29.26	-0.62	
Haberfield	1430	849	59.37	581	40.63	-1.82	
Haberfield West	981	571	58.21	410	41.79	1.34	
Homebush	2291	1301	56.79	990	43.21	-0.58	
Homebush North	455	295	64.84	160	35.16	3.64	
Homebush South	598	235	39.30	363	60.70	-0.74	
Infants Home	577	369	63.95	208	36.05	-4.66	
Malvern Hill	1548	841	54.33	707	45.67	-1.99	
Mortlake	2147	1078	50.21	1069	49.79	-4.32	
Rhodes	298	142	47.65	156	52.35	1.74	
Russell Lea	1185	590	49.79	595	50.21	0.00	
Special Hospital Team 1	104	48	46.15	56	53.85	-4.10	
Special Hospital Team 2	77	42	54.55	35	45.45	-	
Strathfield	1448	711	49.10	737	50.90	0.60	
Strathfield Central	2035	745	36.61	1290	63.39	-5.07	
Strathfield City	384	199	51.82	185	48.18	-3.13	
Strathfield North	2456	1320	53.75	1136	46.25	-0.67	
Strathfield South	1468	816	55.59	652	44.41	-1.86	
Strathfield West	908	302	33.26	606	66.74	-2.96	
Sydney (Lowe)	165	100	60.61	65	39.39	2.07	
Wareemba	1274	688	54.00	586	46.00	-3.31	
Wellbank	1511	704	46.59	807	53.41	-7.13	
ABSENT	4720	2523	53.45	2197	46.55	-	
POSTAL	2974	1465	49.26	1509	50.74	-	
PRE POLL	3169	1644	51.88	1525	48.12	-	
PROVISIONAL	414	255	61.59	159	38.41	-	
Division Total	74842	40271	53.81	34571	46.19	-0.89	
							
							
Lyne							
							
Polling Place	Formal	STEVENS		VAILE		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Aldavilla	1202	495	41.18	707	58.82	3.72	
Beechwood	753	249	33.07	504	66.93	0.24	
Bonny Hills	1082	446	41.22	636	58.78	-6.94	
Burrell Creek	218	81	37.16	137	62.84	11.21	
Byabarra	118	48	40.68	70	59.32	5.90	
Chatham	1759	810	46.05	949	53.95	6.48	
Comboyne	288	48	16.67	240	83.33	-6.14	
Coopernook	372	169	45.43	203	54.57	0.54	
Crescent Head	826	446	54.00	380	46.00	1.32	
Crowdy Head	99	48	48.48	51	51.52	-1.52	
Cundletown	1332	495	37.16	837	62.84	1.99	
Diamond Beach	349	146	41.83	203	58.17	-1.55	
Dunbogan	597	286	47.91	311	52.09	-1.27	
Dyers Crossing	397	132	33.25	265	66.75	8.65	
Elands	108	72	66.67	36	33.33	-2.33	
Emerald Downs	1420	424	29.86	996	70.14	-8.81	
Frederickton	562	290	51.60	272	48.40	7.96	
Ghinni Ghinni	99	31	31.31	68	68.69	1.75	
Gladstone (Lyne)	206	47	22.82	159	77.18	-17.41	
Hallidays Point	718	282	39.28	436	60.72	-4.50	
Hannam Vale	191	77	40.31	114	59.69	-1.09	
Harrington	986	440	44.62	546	55.38	-5.92	
Herons Creek	167	71	42.51	96	57.48	-9.23	
Hibbard	1057	382	36.14	675	63.86	-5.36	
Hollisdale	129	52	40.31	77	59.69	7.99	
Huntingdon	196	67	34.18	129	65.82	-2.82	
Johns River	220	69	31.36	151	68.64	1.90	
Kempsey	910	423	46.48	487	53.52	4.49	
Kempsey East	969	383	39.53	586	60.47	3.95	
Kempsey High	1402	637	45.44	765	54.56	5.14	
Kempsey Hospital	242	125	51.65	117	48.35	7.09	
Kempsey South	1001	512	51.15	489	48.85	2.62	
Kempsey West	861	407	47.27	454	52.73	5.40	
Kendall	734	298	40.60	436	59.40	-3.51	
Kew	366	134	36.61	232	63.39	-6.51	
Killabakh	122	50	40.98	72	59.02	13.63	
Kings Creek	296	80	27.03	216	72.97	-8.43	
Krambach	361	148	41.00	213	59.00	3.83	
Kundabung	195	92	47.18	103	52.82	10.39	
Lake Cathie	1233	571	46.31	662	53.69	-3.50	
Lansdowne	536	240	44.78	296	55.22	4.52	
Laurieton	1755	751	42.79	1004	57.21	-6.63	
Long Flat	220	66	30.00	154	70.00	-7.10	
Lorne	114	22	19.30	92	80.70	-5.70	
Manning Point	187	95	50.80	92	49.20	5.21	
Marlee	205	114	55.61	91	44.39	13.99	
Mitchells Island	225	86	38.22	139	61.78	1.43	
Moorland	300	105	35.00	195	65.00	-0.50	
Mount George	217	77	35.48	140	64.52	1.08	
North Haven	1244	535	43.01	709	56.99	-8.14	
Old Bar	2124	1027	48.35	1097	51.65	2.23	
Oxley Island	178	68	38.20	110	61.80	12.33	
Pembrooke	151	46	30.46	105	69.54	-2.04	
Port Macquarie Central	1238	424	34.25	814	65.75	-5.96	
Port Macquarie Civic	1803	642	35.61	1161	64.39	-3.37	
Port Macquarie East	4053	1508	37.21	2545	62.79	-4.42	
Port Macquarie Hospital	415	152	36.63	263	63.37	-1.75	
Port Macquarie North Shore	327	128	39.14	199	60.86	-2.84	
Port Macquarie South	2456	833	33.92	1623	66.08	-2.14	
Port Macquarie West	3925	1402	35.72	2523	64.28	-4.30	
Purfleet	142	92	64.79	50	35.21	32.11	
Rollands Plains	176	51	28.98	125	71.02	2.36	
Settlement Shores	1310	458	34.96	852	65.04	-3.59	
Special Hospital Team 1	249	72	28.92	177	71.08	-21.00	
Special Hospital Team 2	90	34	37.78	56	62.22	-	
Special Hospital Team 3	130	35	26.92	95	73.08	-	
Special Hospital Team 4	81	22	27.16	59	72.84	-	
Sydney (Lyne)	37	9	24.32	28	75.68	-3.80	
Tacking Point	2369	807	34.07	1562	65.93	-3.75	
Taree	1920	831	43.28	1089	56.72	2.32	
Taree Central	1065	391	36.71	674	63.29	-0.35	
Taree Hospital	200	105	52.50	95	47.50	14.54	
Taree North	1209	612	50.62	597	49.38	0.74	
Taree West	2574	966	37.53	1608	62.47	4.21	
Telegraph Point	627	230	36.68	397	63.32	4.34	
Tinonee	854	308	36.07	546	63.93	1.40	
Upper Lansdowne	157	62	39.49	95	60.51	-6.60	
Wauchope	1866	607	32.53	1259	67.47	-4.11	
Wauchope South	1713	500	29.19	1213	70.81	-7.36	
West Haven	836	331	39.59	505	60.41	-9.88	
Wherrol Flat	168	78	46.43	90	53.57	9.68	
Wingham	1439	556	38.64	883	61.36	0.91	
Wingham West	2063	885	42.90	1178	57.10	4.94	
Yarras	77	23	29.87	54	70.13	3.73	
ABSENT	4671	1708	36.57	2963	63.43	-	
POSTAL	2506	883	35.24	1623	64.76	-	
PRE POLL	5003	1706	34.10	3297	65.90	-	
PROVISIONAL	761	306	40.21	455	59.79	-	
Division Total	80109	31052	38.76	49057	61.24	-1.11	
							
							
Macarthur							
							
Polling Place	Formal	OATES		FARMER		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Airds	950	646	68.00	304	32.00	-7.03	
Airds North	649	500	77.04	149	22.96	-8.29	
Ambarvale	3588	1608	44.82	1980	55.18	-10.96	
Ambarvale West	2027	1022	50.42	1005	49.58	-5.81	
Austral (Macarthur)	175	65	37.14	110	62.86	2.60	
Badgerys Creek	220	102	46.36	118	53.64	1.97	
Blairmount	850	463	54.47	387	45.53	-19.26	
Bradbury	3890	1639	42.13	2251	57.87	-8.35	
Bradbury South	1695	882	52.04	813	47.96	-2.21	
Bringelly	1176	363	30.87	813	69.13	-6.51	
Camden	1596	425	26.63	1171	73.37	-6.97	
Camden Downs	1025	347	33.85	678	66.15	-9.69	
Camden East	1553	547	35.22	1006	64.78	-7.96	
Camden Hospital	183	63	34.43	120	65.57	-1.94	
Camden South	2459	779	31.68	1680	68.32	-6.62	
Campbelltown	2032	1058	52.07	974	47.93	-6.97	
Campbelltown East	2307	1103	47.81	1204	52.19	-12.74	
Campbelltown North	819	393	47.99	426	52.01	-13.79	
Carrington Hospital	503	116	23.06	387	76.94	-13.58	
Catherine Field	785	240	30.57	545	69.43	-11.18	
Cawdor (Macarthur)	114	29	25.44	85	74.56	-3.28	
Claymore	976	688	70.49	288	29.51	-11.46	
Cobbitty (Macarthur)	612	127	20.75	485	79.25	-4.16	
Currans Hill	1858	789	42.47	1069	57.53	-9.23	
Eagle Vale	1815	973	53.61	842	46.39	-12.58	
Eschol Park	2357	1069	45.35	1288	54.65	-18.19	
Harrington Park	1202	351	29.20	851	70.80	-14.34	
Kentlyn	817	240	29.38	577	70.62	-11.71	
Leppington	1057	400	37.84	657	62.16	-4.82	
Leumeah (Macarthur)	1711	921	53.83	790	46.17	-10.44	
Leumeah North (Macarthur)	636	282	44.34	354	55.66	-15.99	
Luddenham	339	77	22.71	262	77.29	-8.06	
Menangle (Macarthur)	248	67	27.02	181	72.98	-31.96	
Mount Annan	2683	993	37.01	1690	62.99	-7.12	
Narellan	2148	775	36.08	1373	63.92	-7.60	
Narellan Vale	3631	1311	36.11	2320	63.89	-6.39	
Robert Townson (Macarthur)	418	200	47.85	218	52.15	-15.69	
Rosemeadow	3013	1671	55.46	1342	44.54	-8.28	
Rossmore	1138	388	34.09	750	65.91	-0.54	
Ruse	2942	1308	44.46	1634	55.54	-9.87	
Special Hospital Team 1	29	18	62.07	11	37.93	12.07	
St Helens Park	1178	618	52.46	560	47.54	-3.92	
Sydney (Macarthur)	84	38	45.24	46	54.76	1.05	
Wedderburn	306	77	25.16	229	74.84	-10.22	
Woodbine	1521	693	45.56	828	54.44	-11.99	
ABSENT	4568	2086	45.67	2482	54.33	-	
POSTAL	2090	781	37.37	1309	62.63	-	
PRE POLL	3121	1255	40.21	1866	59.79	-	
PROVISIONAL	471	212	45.01	259	54.99	-	
Division Total	71565	30798	43.04	40767	56.96	-8.65	
							
							
Mackellar							
							
Polling Place	Formal	CARPENTIER		BISHOP		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Avalon	3704	1446	39.04	2258	60.96	4.16	
Barrenjoey	2035	801	39.36	1234	60.64	-0.57	
Bayview	1455	384	26.39	1071	73.61	0.80	
Beacon Hill (Mackellar)	1990	657	33.02	1333	66.98	1.79	
Belrose	2876	840	29.21	2036	70.79	2.65	
Belrose North	2197	595	27.08	1602	72.92	3.10	
Bilgola Plateau	1933	637	32.95	1296	67.05	2.00	
Collaroy	1505	498	33.09	1007	66.91	-1.69	
Collaroy Plateau	2512	803	31.97	1709	68.03	-0.10	
Coster Street	1017	346	34.02	671	65.98	-1.01	
Cromer	2798	932	33.31	1866	66.69	-1.30	
Cromer East	943	334	35.42	609	64.58	1.26	
Dee Why (Mackellar)	2736	1160	42.40	1576	57.60	-2.31	
Dee Why Central (Mackellar)	533	213	39.96	320	60.04	-8.36	
Elanora	2156	672	31.17	1484	68.83	1.19	
Forest High	1350	449	33.26	901	66.74	4.22	
Frenchs Forest (Mackellar)	1180	372	31.53	808	68.47	-1.31	
Kambora	845	211	24.97	634	75.03	2.53	
Lagoon Street	1278	455	35.60	823	64.40	-1.74	
Mimosa	2438	669	27.44	1769	72.56	1.77	
Mona Vale	4138	1205	29.12	2933	70.88	-0.22	
Mona Vale Beach	1460	476	32.60	984	67.40	-0.06	
Mona Vale Hospital	695	297	42.73	398	57.27	4.34	
Mona Vale North	1342	397	29.58	945	70.42	0.58	
Narrabeen	2282	827	36.24	1455	63.76	-2.92	
Narrabeen North	2539	948	37.34	1591	62.66	-2.14	
Narraweena	3568	1343	37.64	2225	62.36	-4.63	
Newport	2179	684	31.39	1495	68.61	1.56	
Newport Beach	1945	654	33.62	1291	66.38	-0.04	
Palm Beach	1007	318	31.58	689	68.42	-1.55	
RSL Retirement Village	688	188	27.33	500	72.67	-2.50	
Scotland Island	239	147	61.51	92	38.49	0.22	
Special Hospital Team 1	135	41	30.37	94	69.63	-19.63	
Special Hospital Team 2	219	65	29.68	154	70.32	-	
Sydney (Mackellar)	100	34	34.00	66	66.00	-6.74	
Terrey Hills	2125	553	26.02	1572	73.98	-0.46	
Warriewood	1611	598	37.12	1013	62.88	0.89	
Wheeler Heights	2043	705	34.51	1338	65.49	0.73	
ABSENT	5284	1845	34.92	3439	65.08	-	
POSTAL	2198	608	27.66	1590	72.34	-	
PRE POLL	4183	1249	29.86	2934	70.14	-	
PROVISIONAL	361	127	35.18	234	64.82	-	
Division Total	77822	25783	33.13	52039	66.87	0.26	
							
							
Macquarie							
							
Polling Place	Formal	SEARLE		BARTLETT		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bilpin	434	173	39.86	261	60.14	-0.23	
Blackheath	2272	1225	53.92	1047	46.08	3.96	
Blaxland (Macquarie)	861	432	50.17	429	49.83	-0.99	
Blaxland East	3035	1288	42.44	1747	57.56	0.27	
Bligh Park	2706	878	32.45	1828	67.55	-4.38	
Bligh Park East	1092	347	31.78	745	68.22	-7.55	
Bullaburra	556	284	51.08	272	48.92	-9.00	
Cattai	139	27	19.42	112	80.58	-4.04	
Colo Heights	148	50	33.78	98	66.22	-9.73	
Comleroy Road	812	236	29.06	576	70.94	-2.40	
Ebenezer	784	219	27.93	565	72.07	-3.65	
Faulconbridge	2261	1003	44.36	1258	55.64	-4.65	
Freemans Reach	1226	362	29.53	864	70.47	-3.49	
Glossodia	1252	392	31.31	860	68.69	-8.66	
Grose View	643	189	29.39	454	70.61	-2.12	
Hazelbrook	2428	1288	53.05	1140	46.95	-5.80	
Hobartville	1566	586	37.42	980	62.58	-4.58	
Katoomba	822	555	67.52	267	32.48	0.46	
Katoomba High	490	270	55.10	220	44.90	-5.21	
Katoomba Hospital	161	92	57.14	69	42.86	1.99	
Katoomba North	1158	682	58.89	476	41.11	1.01	
Katoomba Street	1463	994	67.94	469	32.06	-1.30	
Kurmond	679	194	28.57	485	71.43	0.21	
Kurrajong	1735	533	30.72	1202	69.28	-2.20	
Kurrajong East	620	191	30.81	429	69.19	-3.22	
Kurrajong Heights	487	175	35.93	312	64.07	-5.07	
Lawson	1430	814	56.92	616	43.08	-5.38	
Leura	762	442	58.01	320	41.99	-3.66	
Leura Central	1420	781	55.00	639	45.00	-0.75	
Maraylya (Macquarie)	449	94	20.94	355	79.06	-3.28	
McGraths Hill	1010	317	31.39	693	68.61	-1.95	
Medlow Bath	359	191	53.20	168	46.80	-0.64	
Mount Riverview	1555	586	37.68	969	62.32	-1.36	
Mount Victoria	446	242	54.26	204	45.74	-0.47	
Mount Wilson	83	29	34.94	54	65.06	-2.69	
North Richmond	2669	792	29.67	1877	70.33	-5.78	
Oakville	1238	257	20.76	981	79.24	-4.33	
Pitt Town	1071	292	27.26	779	72.74	0.54	
Richmond	2047	752	36.74	1295	63.26	-5.46	
Richmond High	1040	364	35.00	676	65.00	-7.60	
Special Hospital Team 1	83	34	40.96	49	59.04	-9.04	
Special Hospital Team 2	126	49	38.89	77	61.11	-	
Springwood	2510	1205	48.01	1305	51.99	-2.65	
Springwood North	1942	799	41.14	1143	58.86	-5.19	
Springwood South	1567	645	41.16	922	58.84	-3.98	
St Albans	145	63	43.45	82	56.55	2.59	
Sydney (Macquarie)	103	54	52.43	49	47.57	-4.52	
Tennyson	250	57	22.80	193	77.20	-1.47	
Valley Heights	833	367	44.06	466	55.94	-0.02	
Vineyard East (Macquarie)	383	127	33.16	256	66.84	-2.40	
Warrimoo	939	457	48.67	482	51.33	-4.38	
Wentworth Falls	2645	1329	50.25	1316	49.75	-1.48	
Wilberforce	1626	449	27.61	1177	72.39	-4.15	
Windsor	1630	624	38.28	1006	61.72	-1.13	
Windsor South	1991	854	42.89	1137	57.11	-5.34	
Winmalee	2808	1057	37.64	1751	62.36	-3.10	
Wisemans Ferry (Macquarie)	191	69	36.13	122	63.87	-36.12	
Woodford	866	452	52.19	414	47.81	-2.74	
Yarramundi	266	67	25.19	199	74.81	-7.77	
ABSENT	5600	2484	44.36	3116	55.64	-	
POSTAL	2834	1004	35.43	1830	64.57	-	
PRE POLL	3763	1567	41.64	2196	58.36	-	
PROVISIONAL	361	167	46.26	194	53.74	-	
Division Total	78871	32598	41.33	46273	58.67	-2.90	
							
							
Mitchell							
							
Polling Place	Formal	McSHANE		CADMAN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Aminya	570	157	27.54	413	72.46	0.44	
Annangrove	1102	221	20.05	881	79.95	-0.46	
Baulkham Hills	326	113	34.66	213	65.34	-3.29	
Baulkham Hills High	1390	495	35.61	895	64.39	-2.14	
Baulkham Hills North	2774	889	32.05	1885	67.95	-2.54	
Beaumont Hills	1428	380	26.61	1048	73.39	-1.04	
Castle Hill	3738	1040	27.82	2698	72.18	-0.87	
Castle Hill East	1255	333	26.53	922	73.47	-2.44	
Castle Hill High	2453	719	29.31	1734	70.69	-1.20	
Castle Hill West	2130	582	27.32	1548	72.68	-0.12	
Crestwood	1756	529	30.13	1227	69.87	-2.33	
Crestwood High	4242	1324	31.21	2918	68.79	-3.39	
Dural (Mitchell)	811	160	19.73	651	80.27	-3.07	
Eurambie Park	2374	700	29.49	1674	70.51	-0.93	
Glenhaven	2637	530	20.10	2107	79.90	-0.10	
Hopetoun	409	72	17.60	337	82.40	-0.37	
Jasper Road	4705	1528	32.48	3177	67.52	-4.63	
Kellyville	4712	1246	26.44	3466	73.56	-1.76	
Kenthurst	2414	495	20.51	1919	79.49	-0.49	
Kilvinton	228	49	21.49	179	78.51	-1.86	
Maraylya (Mitchell)	341	54	15.84	287	84.16	15.83	
Matthew Pearce	1523	531	34.87	992	65.13	-4.62	
Model Farms	2161	728	33.69	1433	66.31	-1.73	
Mowll	427	74	17.33	353	82.67	1.32	
Muirfield	1309	450	34.38	859	65.62	-2.77	
Murray Farm	3291	1131	34.37	2160	65.63	-1.13	
North Rocks (Mitchell)	2152	748	34.76	1404	65.24	-2.00	
Northmead High	1489	551	37.00	938	63.00	-0.08	
Oakhill Drive (Mitchell)	1740	566	32.53	1174	67.47	-4.60	
Rondelay	2052	545	26.56	1507	73.44	-4.32	
Rouse Hill	2180	500	22.94	1680	77.06	-2.14	
Samuel Gilbert	3839	943	24.56	2896	75.44	-1.41	
Special Hospital Team 1	44	7	15.91	37	84.09	-34.09	
Sydney (Mitchell)	104	45	43.27	59	56.73	-2.19	
The Hills Private Hospital	169	48	28.40	121	71.60	-10.58	
Thompsons Corner (Mitchell)	1102	350	31.76	752	68.24	-0.76	
West Pennant Hills	587	173	29.47	414	70.53	-1.57	
Wirreanda	575	138	24.00	437	76.00	-5.46	
ABSENT	5684	1788	31.46	3896	68.54	-	
POSTAL	2802	595	21.23	2207	78.77	-	
PRE POLL	3699	1047	28.30	2652	71.70	-	
PROVISIONAL	308	92	29.87	216	70.13	-	
Division Total	79032	22666	28.68	56366	71.32	-1.85	
							
							
Newcastle							
							
Polling Place	Formal	GRIERSON		WILLIAMS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Adamstown	2058	1130	54.91	928	45.09	-	
Adamstown Heights	2484	1086	43.72	1398	56.28	-	
Adamstown North	1106	702	63.47	404	36.53	-	
Adamstown West	277	150	54.15	127	45.85	-	
Beaumont Park	779	539	69.19	240	30.81	-	
Birmingham Gardens	843	484	57.41	359	42.59	-	
Birmingham Gardens North	929	597	64.26	332	35.74	-	
Carrington	908	682	75.11	226	24.89	-	
Cooks Hill	718	427	59.47	291	40.53	-	
Cooks Hill South	1958	1019	52.04	939	47.96	-	
Garden Suburb (Newcastle)	200	85	42.50	115	57.50	-	
Georgetown	542	365	67.34	177	32.66	-	
Hamilton	1742	1169	67.11	573	32.89	-	
Hamilton Central	1153	732	63.49	421	36.51	-	
Hamilton North	593	415	69.98	178	30.02	-	
Hamilton South	2163	1019	47.11	1144	52.89	-	
Hexham	70	46	65.71	24	34.29	-	
Islington	696	486	69.83	210	30.17	-	
Jesmond	815	513	62.94	302	37.06	-	
Jesmond North	1548	889	57.43	659	42.57	-	
Kotara	601	298	49.58	303	50.42	-	
Kotara East	759	359	47.30	400	52.70	-	
Kotara South	1777	901	50.70	876	49.30	-	
Lambton	2071	1194	57.65	877	42.35	-	
Lambton East	962	576	59.88	386	40.12	-	
Maryland	3041	1687	55.48	1354	44.52	-	
Maryville Wickham	773	557	72.06	216	27.94	-	
Mayfield	1737	1115	64.19	622	35.81	-	
Mayfield East	1375	887	64.51	488	35.49	-	
Mayfield South	1794	1140	63.55	654	36.45	-	
Mayfield West	2553	1577	61.77	976	38.23	-	
Merewether	1040	556	53.46	484	46.54	-	
Merewether Heights	1295	471	36.37	824	63.63	-	
Merewether South	2392	1021	42.68	1371	57.32	-	
Merewether West	944	453	47.99	491	52.01	-	
Minmi	503	287	57.06	216	42.94	-	
New Lambton	3117	1636	52.49	1481	47.51	-	
New Lambton Central	966	504	52.17	462	47.83	-	
New Lambton South	1595	965	60.50	630	39.50	-	
Newcastle	1134	648	57.14	486	42.86	-	
Pittown	575	356	61.91	219	38.09	-	
Plattsburg	2301	1386	60.23	915	39.77	-	
Shortland	1384	786	56.79	598	43.21	-	
Special Hospital Team 1	94	63	67.02	31	32.98	-	
Special Hospital Team 2	58	32	55.17	26	44.83	-	
Special Hospital Team 3	93	57	61.29	36	38.71	-	
Stockton	761	455	59.79	306	40.21	-	
Stockton North	446	305	68.39	141	31.61	-	
Stockton South	1077	700	65.00	377	35.00	-	
Sydney (Newcastle)	49	24	48.98	25	51.02	-	
The Junction	2188	1096	50.09	1092	49.91	-	
Tighes Hill	1142	789	69.09	353	30.91	-	
Wallsend	726	464	63.91	262	36.09	-	
Wallsend Hospital	719	450	62.59	269	37.41	-	
Waratah	2255	1386	61.46	869	38.54	-	
Waratah Central	391	269	68.80	122	31.20	-	
Waratah South	470	290	61.70	180	38.30	-	
Waratah West	1163	749	64.40	414	35.60	-	
ABSENT	5232	2679	51.20	2553	48.80	-	
POSTAL	3514	2074	59.02	1440	40.98	-	
PRE POLL	3056	1557	50.95	1499	49.05	-	
PROVISIONAL	347	221	63.69	126	36.31	-	
Division Total	80052	45555	56.91	34497	43.09		
							
							
New England							
							
Polling Place	Formal	McCARTHY		ST. CLAIR		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Arding	264	120	45.45	144	54.55	-	
