Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Plympton West		                              	10	0.77	 	12	0.92	 	23	1.76	 	455	34.84	 	4	0.31	 	3	0.23	 	9	0.69	 	5	0.38	 	5	0.38	 	11	0.84	 	621	47.55	 	148	11.33	 	0	0	 	1306	96.03	 	54	3.97	 	1360	1.68
Richmond		                                   	9	0.57	 	10	0.64	 	31	1.98	 	661	42.13	 	11	0.7	 	2	0.13	 	12	0.76	 	0	0	 	11	0.7	 	8	0.51	 	606	38.62	 	208	13.26	 	0	0	 	1569	95.09	 	81	4.91	 	1650	2.04
Somerton Park East		                         	8	0.53	 	19	1.26	 	23	1.53	 	387	25.71	 	2	0.13	 	2	0.13	 	10	0.66	 	5	0.33	 	9	0.6	 	26	1.73	 	817	54.29	 	197	13.09	 	0	0	 	1505	96.66	 	52	3.34	 	1557	1.92
South Plympton		                             	6	0.43	 	11	0.79	 	29	2.08	 	412	29.62	 	10	0.72	 	1	0.07	 	10	0.72	 	10	0.72	 	4	0.29	 	29	2.08	 	677	48.67	 	192	13.8	 	0	0	 	1391	96.26	 	54	3.74	 	1445	1.79
Torrensville		                               	38	1.49	 	17	0.66	 	78	3.05	 	1275	49.86	 	14	0.55	 	1	0.04	 	27	1.06	 	7	0.27	 	23	0.9	 	11	0.43	 	731	28.59	 	333	13.02	 	2	0.08	 	2557	94.42	 	151	5.58	 	2708	3.35
West Beach		                                 	12	0.45	 	14	0.53	 	45	1.7	 	645	24.37	 	9	0.34	 	1	0.04	 	21	0.79	 	9	0.34	 	8	0.3	 	27	1.02	 	1477	55.8	 	379	14.32	 	0	0	 	2647	96.64	 	92	3.36	 	2739	3.39
West Richmond		                              	5	0.5	 	9	0.9	 	16	1.6	 	465	46.5	 	4	0.4	 	0	0	 	8	0.8	 	4	0.4	 	5	0.5	 	10	1	 	367	36.7	 	106	10.6	 	1	0.1	 	1000	95.42	 	48	4.58	 	1048	1.3
Special Hospitals		                          	0	0	 	2	0.57	 	2	0.57	 	134	38.4	 	2	0.57	 	0	0	 	0	0	 	1	0.29	 	3	0.86	 	1	0.29	 	197	56.45	 	7	2.01	 	0	0	 	349	95.1	 	18	4.9	 	367	0.45
Total Ordinary		                             	469	0.71	 	508	0.76	 	1324	1.99	 	22334	33.59	 	323	0.49	 	71	0.11	 	418	0.63	 	211	0.32	 	324	0.49	 	641	0.96	 	30955	46.56	 	8872	13.35	 	31	0.05	 	66481	95.94	 	2813	4.06	 	69294	85.66
ABSENT		                                     	51	1	 	31	0.61	 	214	4.21	 	1851	36.42	 	27	0.53	 	7	0.14	 	61	1.2	 	14	0.28	 	47	0.92	 	20	0.39	 	1967	38.71	 	792	15.58	 	0	0	 	5082	98.05	 	101	1.95	 	5183	6.41
POSTAL		                                     	19	0.61	 	53	1.7	 	37	1.19	 	1012	32.44	 	9	0.29	 	2	0.06	 	18	0.58	 	11	0.35	 	25	0.8	 	28	0.9	 	1602	51.35	 	302	9.68	 	2	0.06	 	3120	98.8	 	38	1.2	 	3158	3.9
PRE_POLL		                                   	17	0.72	 	18	0.77	 	71	3.02	 	773	32.89	 	21	0.89	 	2	0.09	 	22	0.94	 	6	0.26	 	20	0.85	 	11	0.47	 	1109	47.19	 	280	11.91	 	0	0	 	2350	98.78	 	29	1.22	 	2379	2.94
PROVISIONAL		                                	4	0.47	 	3	0.35	 	40	4.68	 	353	41.29	 	2	0.23	 	1	0.12	 	12	1.4	 	2	0.23	 	15	1.75	 	4	0.47	 	280	32.75	 	139	16.26	 	0	0	 	855	96.83	 	28	3.17	 	883	1.09
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	560	0.72	 	613	0.79	 	1686	2.16	 	26323	33.8	 	382	0.49	 	83	0.11	 	531	0.68	 	244	0.31	 	431	0.55	 	704	0.9	 	35913	46.11	 	10385	13.33	 	33	0.04	 	77888	96.28	 	3009	3.72	 	80897	96.4
 																																																	


Kingston (85936)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Kingston)		                        	3	3.33	 	0	0	 	6	6.67	 	31	34.44	 	0	0	 	0	0	 	0	0	 	1	1.11	 	1	1.11	 	1	1.11	 	30	33.33	 	16	17.78	 	1	1.11	 	90	93.75	 	6	6.25	 	96	0.12
Aldinga Beach		                              	29	1.01	 	15	0.52	 	84	2.93	 	899	31.32	 	36	1.25	 	2	0.07	 	58	2.02	 	15	0.52	 	28	0.98	 	26	0.91	 	1153	40.17	 	522	18.19	 	3	0.1	 	2870	97.19	 	83	2.81	 	2953	3.54
Christie Downs		                             	19	0.76	 	27	1.08	 	50	2	 	1076	43.02	 	14	0.56	 	3	0.12	 	37	1.48	 	15	0.6	 	15	0.6	 	28	1.12	 	836	33.43	 	380	15.19	 	1	0.04	 	2501	95.97	 	105	4.03	 	2606	3.12
Christies Beach		                            	14	0.74	 	32	1.7	 	51	2.71	 	688	36.52	 	8	0.42	 	4	0.21	 	26	1.38	 	2	0.11	 	9	0.48	 	17	0.9	 	771	40.92	 	257	13.64	 	5	0.27	 	1884	96.71	 	64	3.29	 	1948	2.33
Christies North		                            	5	0.47	 	10	0.94	 	27	2.53	 	397	37.17	 	8	0.75	 	0	0	 	15	1.4	 	4	0.37	 	5	0.47	 	7	0.66	 	396	37.08	 	194	18.16	 	0	0	 	1068	97.18	 	31	2.82	 	1099	1.32
Hackham		                                    	19	0.84	 	18	0.8	 	56	2.49	 	980	43.56	 	15	0.67	 	1	0.04	 	31	1.38	 	15	0.67	 	14	0.62	 	18	0.8	 	737	32.76	 	344	15.29	 	2	0.09	 	2250	96.65	 	78	3.35	 	2328	2.79
Hackham East		                               	25	0.75	 	22	0.66	 	76	2.28	 	1166	34.98	 	42	1.26	 	6	0.18	 	40	1.2	 	10	0.3	 	17	0.51	 	34	1.02	 	1310	39.3	 	583	17.49	 	2	0.06	 	3333	98.14	 	63	1.86	 	3396	4.07
Hackham South		                              	16	1.11	 	8	0.56	 	34	2.37	 	629	43.8	 	11	0.77	 	1	0.07	 	24	1.67	 	6	0.42	 	8	0.56	 	5	0.35	 	454	31.62	 	240	16.71	 	0	0	 	1436	97.49	 	37	2.51	 	1473	1.76
Hallett Cove		                               	13	0.48	 	20	0.73	 	45	1.65	 	886	32.47	 	15	0.55	 	3	0.11	 	24	0.88	 	9	0.33	 	8	0.29	 	16	0.59	 	1206	44.19	 	484	17.74	 	0	0	 	2729	97.71	 	64	2.29	 	2793	3.35
Happy Valley		                               	14	0.6	 	11	0.47	 	38	1.64	 	562	24.21	 	25	1.08	 	2	0.09	 	17	0.73	 	4	0.17	 	14	0.6	 	18	0.78	 	1227	52.87	 	388	16.72	 	1	0.04	 	2321	98.1	 	45	1.9	 	2366	2.83
Karrara		                                    	14	0.43	 	14	0.43	 	40	1.24	 	1088	33.73	 	23	0.71	 	1	0.03	 	28	0.87	 	3	0.09	 	7	0.22	 	19	0.59	 	1452	45.01	 	536	16.62	 	1	0.03	 	3226	98.02	 	65	1.98	 	3291	3.94
Lonsdale		                                   	7	0.75	 	5	0.53	 	20	2.14	 	414	44.28	 	5	0.53	 	0	0	 	15	1.6	 	6	0.64	 	3	0.32	 	6	0.64	 	292	31.23	 	162	17.33	 	0	0	 	935	97.4	 	25	2.6	 	960	1.15
Mclaren Flat		                               	9	1.34	 	0	0	 	16	2.39	 	116	17.31	 	5	0.75	 	0	0	 	15	2.24	 	1	0.15	 	1	0.15	 	5	0.75	 	390	58.21	 	111	16.57	 	1	0.15	 	670	97.1	 	20	2.9	 	690	0.83
Mclaren Vale		                               	8	0.41	 	12	0.62	 	34	1.76	 	421	21.84	 	11	0.57	 	0	0	 	22	1.14	 	6	0.31	 	8	0.41	 	10	0.52	 	1100	57.05	 	295	15.3	 	1	0.05	 	1928	97.13	 	57	2.87	 	1985	2.38
Maslin Beach		                               	3	0.62	 	1	0.21	 	16	3.31	 	158	32.71	 	4	0.83	 	1	0.21	 	15	3.11	 	2	0.41	 	4	0.83	 	7	1.45	 	183	37.89	 	89	18.43	 	0	0	 	483	98.57	 	7	1.43	 	490	0.59
Moana		                                      	9	0.4	 	24	1.07	 	63	2.81	 	799	35.59	 	13	0.58	 	1	0.04	 	31	1.38	 	17	0.76	 	12	0.53	 	21	0.94	 	844	37.59	 	411	18.31	 	0	0	 	2245	97.02	 	69	2.98	 	2314	2.77
Morphett Vale		                              	38	1.11	 	27	0.79	 	69	2.02	 	1321	38.73	 	23	0.67	 	3	0.09	 	32	0.94	 	13	0.38	 	16	0.47	 	32	0.94	 	1248	36.59	 	588	17.24	 	1	0.03	 	3411	97.18	 	99	2.82	 	3510	4.2
Morphett Vale East		                         	18	0.66	 	25	0.91	 	67	2.44	 	900	32.79	 	32	1.17	 	4	0.15	 	37	1.35	 	8	0.29	 	25	0.91	 	19	0.69	 	1095	39.89	 	513	18.69	 	2	0.07	 	2745	97.76	 	63	2.24	 	2808	3.36
Morphett Vale North		                        	11	0.62	 	11	0.62	 	36	2.03	 	632	35.71	 	13	0.73	 	1	0.06	 	28	1.58	 	2	0.11	 	5	0.28	 	9	0.51	 	748	42.26	 	273	15.42	 	1	0.06	 	1770	98.39	 	29	1.61	 	1799	2.16
Morphett Vale South		                        	8	0.86	 	7	0.75	 	23	2.46	 	422	45.13	 	9	0.96	 	1	0.11	 	17	1.82	 	6	0.64	 	9	0.96	 	8	0.86	 	301	32.19	 	123	13.16	 	1	0.11	 	935	97.19	 	27	2.81	 	962	1.15
Noarlunga Downs		                            	8	0.71	 	13	1.15	 	30	2.65	 	479	42.35	 	13	1.15	 	0	0	 	25	2.21	 	3	0.27	 	11	0.97	 	5	0.44	 	365	32.27	 	179	15.83	 	0	0	 	1131	97.08	 	34	2.92	 	1165	1.4
O'Halloran Hill		                            	10	0.33	 	20	0.66	 	49	1.63	 	898	29.79	 	23	0.76	 	1	0.03	 	32	1.06	 	3	0.1	 	14	0.46	 	12	0.4	 	1403	46.55	 	547	18.15	 	2	0.07	 	3014	97.45	 	79	2.55	 	3093	3.71
O'Sullivan Beach		                           	11	0.84	 	10	0.76	 	43	3.27	 	563	42.88	 	13	0.99	 	2	0.15	 	24	1.83	 	6	0.46	 	10	0.76	 	10	0.76	 	401	30.54	 	220	16.76	 	0	0	 	1313	97.04	 	40	2.96	 	1353	1.62
Old Noarlunga		                              	8	1.11	 	13	1.8	 	16	2.22	 	217	30.06	 	3	0.42	 	0	0	 	13	1.8	 	3	0.42	 	9	1.25	 	7	0.97	 	308	42.66	 	124	17.17	 	1	0.14	 	722	97.57	 	18	2.43	 	740	0.89
Onkaparinga Hills		                          	5	0.44	 	3	0.26	 	25	2.18	 	411	35.8	 	13	1.13	 	0	0	 	28	2.44	 	6	0.52	 	9	0.78	 	8	0.7	 	414	36.06	 	225	19.6	 	1	0.09	 	1148	98.8	 	14	1.2	 	1162	1.39
Pimpala		                                    	17	0.82	 	13	0.62	 	41	1.97	 	664	31.89	 	22	1.06	 	1	0.05	 	28	1.34	 	10	0.48	 	12	0.58	 	16	0.77	 	907	43.56	 	350	16.81	 	1	0.05	 	2082	97.47	 	54	2.53	 	2136	2.56
Port Noarlunga		                             	10	0.66	 	9	0.59	 	49	3.23	 	486	32.06	 	13	0.86	 	2	0.13	 	21	1.39	 	10	0.66	 	3	0.2	 	12	0.79	 	647	42.68	 	254	16.75	 	0	0	 	1516	97.93	 	32	2.07	 	1548	1.85
Reynella		                                   	10	0.43	 	7	0.3	 	37	1.61	 	848	36.87	 	27	1.17	 	4	0.17	 	23	1	 	7	0.3	 	8	0.35	 	20	0.87	 	899	39.09	 	409	17.78	 	1	0.04	 	2300	98.29	 	40	1.71	 	2340	2.8
Reynella East		                              	27	0.8	 	32	0.95	 	48	1.42	 	1167	34.6	 	18	0.53	 	2	0.06	 	47	1.39	 	10	0.3	 	15	0.44	 	12	0.36	 	1351	40.05	 	640	18.97	 	4	0.12	 	3373	97.94	 	71	2.06	 	3444	4.13
Reynella South		                             	18	0.57	 	28	0.89	 	59	1.87	 	1200	38.08	 	15	0.48	 	4	0.13	 	40	1.27	 	10	0.32	 	10	0.32	 	35	1.11	 	1212	38.46	 	519	16.47	 	1	0.03	 	3151	96.6	 	111	3.4	 	3262	3.91
Seaford		                                    	15	0.62	 	23	0.95	 	75	3.09	 	921	37.92	 	21	0.86	 	2	0.08	 	36	1.48	 	11	0.45	 	9	0.37	 	14	0.58	 	891	36.68	 	411	16.92	 	0	0	 	2429	97.86	 	53	2.14	 	2482	2.97
Seaford Rise		                               	6	0.48	 	3	0.24	 	20	1.61	 	512	41.22	 	6	0.48	 	0	0	 	23	1.85	 	1	0.08	 	8	0.64	 	8	0.64	 	455	36.63	 	200	16.1	 	0	0	 	1242	98.26	 	22	1.74	 	1264	1.51
Sellicks Beach		                             	6	0.83	 	4	0.56	 	10	1.39	 	238	33.06	 	14	1.94	 	1	0.14	 	16	2.22	 	10	1.39	 	8	1.11	 	4	0.56	 	311	43.19	 	97	13.47	 	1	0.14	 	720	97.56	 	18	2.44	 	738	0.88
Sheidow Park		                               	15	0.62	 	17	0.7	 	40	1.64	 	868	35.65	 	21	0.86	 	2	0.08	 	35	1.44	 	6	0.25	 	7	0.29	 	8	0.33	 	1026	42.14	 	388	15.93	 	2	0.08	 	2435	97.99	 	50	2.01	 	2485	2.98
Trott Park		                                 	5	0.5	 	3	0.3	 	10	1	 	345	34.36	 	8	0.8	 	2	0.2	 	5	0.5	 	2	0.2	 	4	0.4	 	8	0.8	 	436	43.43	 	175	17.43	 	1	0.1	 	1004	98.24	 	18	1.76	 	1022	1.22
Willunga		                                   	7	0.44	 	5	0.31	 	51	3.19	 	349	21.83	 	16	1	 	2	0.13	 	19	1.19	 	6	0.38	 	13	0.81	 	5	0.31	 	848	53.03	 	277	17.32	 	1	0.06	 	1599	98.4	 	26	1.6	 	1625	1.95
Woodcroft		                                  	9	0.28	 	14	0.44	 	37	1.16	 	1116	35.08	 	16	0.5	 	2	0.06	 	28	0.88	 	6	0.19	 	8	0.25	 	10	0.31	 	1377	43.29	 	557	17.51	 	1	0.03	 	3181	98.18	 	59	1.82	 	3240	3.88
Special Hospitals		                          	1	0.38	 	4	1.52	 	2	0.76	 	81	30.8	 	2	0.76	 	1	0.38	 	0	0	 	3	1.14	 	1	0.38	 	1	0.38	 	155	58.94	 	12	4.56	 	0	0	 	263	95.29	 	13	4.71	 	276	0.33
Total Ordinary		                             	470	0.66	 	510	0.71	 	1493	2.09	 	24948	34.92	 	576	0.81	 	62	0.09	 	955	1.34	 	258	0.36	 	368	0.52	 	501	0.7	 	29179	40.84	 	12093	16.92	 	40	0.06	 	71453	97.56	 	1789	2.44	 	73242	87.74
ABSENT		                                     	51	1.22	 	21	0.5	 	151	3.62	 	1407	33.72	 	41	0.98	 	4	0.1	 	57	1.37	 	15	0.36	 	38	0.91	 	12	0.29	 	1610	38.58	 	763	18.28	 	3	0.07	 	4173	97.98	 	86	2.02	 	4259	5.1
POSTAL		                                     	19	0.83	 	30	1.31	 	51	2.23	 	800	35	 	21	0.92	 	2	0.09	 	25	1.09	 	13	0.57	 	22	0.96	 	15	0.66	 	990	43.31	 	294	12.86	 	4	0.17	 	2286	99.05	 	22	0.95	 	2308	2.76
PRE_POLL		                                   	15	0.67	 	22	0.98	 	71	3.16	 	747	33.27	 	31	1.38	 	5	0.22	 	39	1.74	 	4	0.18	 	22	0.98	 	16	0.71	 	961	42.81	 	309	13.76	 	3	0.13	 	2245	98.34	 	38	1.66	 	2283	2.73
PROVISIONAL		                                	11	0.82	 	2	0.15	 	75	5.57	 	541	40.16	 	5	0.37	 	2	0.15	 	26	1.93	 	4	0.3	 	11	0.82	 	4	0.3	 	439	32.59	 	226	16.78	 	1	0.07	 	1347	97.47	 	35	2.53	 	1382	1.66
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	1		       	-1		       	0		       	0		       	0	
Division Summary		                           	566	0.69	 	585	0.72	 	1841	2.26	 	28443	34.9	 	674	0.83	 	75	0.09	 	1102	1.35	 	294	0.36	 	461	0.57	 	548	0.67	 	33179	40.71	 	13686	16.79	 	50	0.06	 	81504	97.64	 	1970	2.36	 	83474	97.14
 																																																	


Makin (87567)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Makin)		                           	1	0.92	 	0	0	 	3	2.75	 	39	35.78	 	0	0	 	0	0	 	2	1.83	 	0	0	 	0	0	 	0	0	 	44	40.37	 	19	17.43	 	1	0.92	 	109	100	 	0	0	 	109	0.13
Banksia Park		                               	22	0.89	 	19	0.77	 	54	2.18	 	708	28.64	 	26	1.05	 	0	0	 	25	1.01	 	1	0.04	 	10	0.4	 	13	0.53	 	1176	47.57	 	417	16.87	 	1	0.04	 	2472	97.4	 	66	2.6	 	2538	2.99
Enfield North (Makin)		                      	3	0.5	 	5	0.83	 	4	0.66	 	273	45.35	 	7	1.16	 	0	0	 	10	1.66	 	1	0.17	 	1	0.17	 	1	0.17	 	211	35.05	 	86	14.29	 	0	0	 	602	96.94	 	19	3.06	 	621	0.73
Fairview Park		                              	11	0.66	 	4	0.24	 	35	2.09	 	445	26.63	 	14	0.84	 	5	0.3	 	12	0.72	 	3	0.18	 	5	0.3	 	7	0.42	 	863	51.65	 	267	15.98	 	0	0	 	1671	98.18	 	31	1.82	 	1702	2
Golden Grove		                               	4	0.84	 	2	0.42	 	4	0.84	 	115	24.26	 	14	2.95	 	1	0.21	 	2	0.42	 	2	0.42	 	1	0.21	 	4	0.84	 	262	55.27	 	63	13.29	 	0	0	 	474	98.34	 	8	1.66	 	482	0.57
Golden Grove Central		                       	9	0.3	 	18	0.6	 	62	2.06	 	980	32.63	 	28	0.93	 	6	0.2	 	22	0.73	 	5	0.17	 	10	0.33	 	10	0.33	 	1322	44.02	 	530	17.65	 	1	0.03	 	3003	98.17	 	56	1.83	 	3059	3.6
Greenwith		                                  	5	0.21	 	7	0.29	 	35	1.45	 	813	33.6	 	32	1.32	 	2	0.08	 	15	0.62	 	3	0.12	 	11	0.45	 	12	0.5	 	1087	44.92	 	398	16.45	 	0	0	 	2420	97.58	 	60	2.42	 	2480	2.92
Holden Hill North		                          	14	0.95	 	17	1.15	 	16	1.08	 	527	35.63	 	12	0.81	 	1	0.07	 	12	0.81	 	2	0.14	 	8	0.54	 	8	0.54	 	639	43.2	 	221	14.94	 	2	0.14	 	1479	95.42	 	71	4.58	 	1550	1.82
Hope Valley		                                	12	0.92	 	10	0.77	 	16	1.23	 	416	32.05	 	12	0.92	 	4	0.31	 	15	1.16	 	4	0.31	 	4	0.31	 	11	0.85	 	603	46.46	 	190	14.64	 	1	0.08	 	1298	97.23	 	37	2.77	 	1335	1.57
Ingle Farm		                                 	37	1	 	28	0.76	 	80	2.16	 	1645	44.5	 	30	0.81	 	2	0.05	 	43	1.16	 	8	0.22	 	24	0.65	 	20	0.54	 	1146	31	 	633	17.12	 	1	0.03	 	3697	96.48	 	135	3.52	 	3832	4.51
Ingle Farm North		                           	5	0.44	 	3	0.27	 	26	2.31	 	531	47.2	 	18	1.6	 	1	0.09	 	25	2.22	 	2	0.18	 	3	0.27	 	2	0.18	 	314	27.91	 	194	17.24	 	1	0.09	 	1125	96.07	 	46	3.93	 	1171	1.38
Modbury Central		                            	7	0.31	 	14	0.61	 	53	2.33	 	793	34.83	 	34	1.49	 	4	0.18	 	19	0.83	 	4	0.18	 	14	0.61	 	15	0.66	 	981	43.08	 	339	14.89	 	0	0	 	2277	97.89	 	49	2.11	 	2326	2.74
Modbury Heights		                            	21	0.58	 	21	0.58	 	47	1.3	 	1206	33.37	 	27	0.75	 	6	0.17	 	33	0.91	 	3	0.08	 	9	0.25	 	22	0.61	 	1580	43.72	 	637	17.63	 	2	0.06	 	3614	97.78	 	82	2.22	 	3696	4.35
Modbury North		                              	16	0.62	 	15	0.58	 	36	1.39	 	837	32.32	 	25	0.97	 	8	0.31	 	36	1.39	 	1	0.04	 	11	0.42	 	16	0.62	 	1081	41.74	 	508	19.61	 	0	0	 	2590	97.26	 	73	2.74	 	2663	3.13
Modbury West		                               	21	0.64	 	36	1.1	 	71	2.17	 	1145	34.94	 	32	0.98	 	5	0.15	 	34	1.04	 	6	0.18	 	7	0.21	 	20	0.61	 	1367	41.71	 	529	16.14	 	4	0.12	 	3277	97.41	 	87	2.59	 	3364	3.96
Para Hills		                                 	37	0.94	 	71	1.81	 	62	1.58	 	1498	38.12	 	44	1.12	 	4	0.1	 	44	1.12	 	5	0.13	 	17	0.43	 	35	0.89	 	1475	37.53	 	634	16.13	 	4	0.1	 	3930	96.42	 	146	3.58	 	4076	4.8
Para Hills East		                            	7	0.45	 	10	0.64	 	31	1.99	 	558	35.91	 	11	0.71	 	1	0.06	 	18	1.16	 	5	0.32	 	5	0.32	 	6	0.39	 	624	40.15	 	278	17.89	 	0	0	 	1554	97.19	 	45	2.81	 	1599	1.88
Para Hills West		                            	12	0.65	 	19	1.02	 	37	1.99	 	780	41.96	 	20	1.08	 	2	0.11	 	23	1.24	 	5	0.27	 	11	0.59	 	9	0.48	 	651	35.02	 	290	15.6	 	0	0	 	1859	96.27	 	72	3.73	 	1931	2.27
Para Vista		                                 	26	0.91	 	43	1.5	 	59	2.06	 	1066	37.13	 	34	1.18	 	7	0.24	 	26	0.91	 	4	0.14	 	14	0.49	 	21	0.73	 	1065	37.1	 	506	17.62	 	0	0	 	2871	97.42	 	76	2.58	 	2947	3.47
Pooraka		                                    	41	1.12	 	49	1.34	 	42	1.15	 	1663	45.51	 	19	0.52	 	3	0.08	 	46	1.26	 	6	0.16	 	14	0.38	 	74	2.03	 	1247	34.13	 	450	12.32	 	0	0	 	3654	96.41	 	136	3.59	 	3790	4.46
Redwood Park		                               	16	0.69	 	9	0.39	 	34	1.47	 	754	32.56	 	16	0.69	 	8	0.35	 	24	1.04	 	3	0.13	 	9	0.39	 	18	0.78	 	1028	44.39	 	397	17.14	 	0	0	 	2316	97.52	 	59	2.48	 	2375	2.8
Ridgehaven		                                 	30	0.86	 	16	0.46	 	81	2.31	 	1140	32.56	 	36	1.03	 	16	0.46	 	30	0.86	 	12	0.34	 	14	0.4	 	38	1.09	 	1537	43.9	 	548	15.65	 	3	0.09	 	3501	96.71	 	119	3.29	 	3620	4.26
St Agnes		                                   	11	0.36	 	19	0.62	 	84	2.76	 	898	29.45	 	48	1.57	 	2	0.07	 	24	0.79	 	2	0.07	 	9	0.3	 	35	1.15	 	1391	45.62	 	525	17.22	 	1	0.03	 	3049	97.69	 	72	2.31	 	3121	3.67
St Agnes West		                              	4	0.3	 	5	0.37	 	15	1.11	 	421	31.28	 	8	0.59	 	0	0	 	9	0.67	 	2	0.15	 	6	0.45	 	15	1.11	 	639	47.47	 	222	16.49	 	0	0	 	1346	97.89	 	29	2.11	 	1375	1.62
Salisbury East		                             	12	0.46	 	29	1.12	 	33	1.27	 	1057	40.78	 	29	1.12	 	4	0.15	 	24	0.93	 	6	0.23	 	8	0.31	 	23	0.89	 	938	36.19	 	428	16.51	 	1	0.04	 	2592	96.97	 	81	3.03	 	2673	3.15
Salisbury East Central		                     	14	0.44	 	26	0.82	 	88	2.76	 	1163	36.47	 	31	0.97	 	2	0.06	 	39	1.22	 	12	0.38	 	19	0.6	 	20	0.63	 	1321	41.42	 	452	14.17	 	2	0.06	 	3189	96.84	 	104	3.16	 	3293	3.88
Salisbury Heights		                          	11	0.46	 	35	1.46	 	41	1.71	 	737	30.77	 	20	0.84	 	1	0.04	 	18	0.75	 	5	0.21	 	13	0.54	 	9	0.38	 	1152	48.1	 	350	14.61	 	3	0.13	 	2395	97.91	 	51	2.09	 	2446	2.88
Surrey Downs		                               	20	0.79	 	16	0.63	 	53	2.08	 	827	32.48	 	28	1.1	 	5	0.2	 	29	1.14	 	3	0.12	 	8	0.31	 	18	0.71	 	1086	42.66	 	451	17.71	 	2	0.08	 	2546	98.07	 	50	1.93	 	2596	3.06
Tea Tree Gully		                             	11	0.76	 	9	0.62	 	14	0.96	 	402	27.69	 	18	1.24	 	3	0.21	 	7	0.48	 	1	0.07	 	3	0.21	 	19	1.31	 	751	51.72	 	214	14.74	 	0	0	 	1452	97.58	 	36	2.42	 	1488	1.75
Valley View		                                	8	0.58	 	6	0.43	 	31	2.24	 	524	37.78	 	19	1.37	 	0	0	 	11	0.79	 	5	0.36	 	11	0.79	 	14	1.01	 	532	38.36	 	225	16.22	 	1	0.07	 	1387	95.59	 	64	4.41	 	1451	1.71
Wynn Vale		                                  	19	0.42	 	20	0.44	 	72	1.6	 	1449	32.21	 	48	1.07	 	4	0.09	 	23	0.51	 	6	0.13	 	14	0.31	 	18	0.4	 	2097	46.61	 	728	16.18	 	1	0.02	 	4499	97.68	 	107	2.32	 	4606	5.42
Special Hospitals		                          	0	0	 	4	3.28	 	0	0	 	62	50.82	 	1	0.82	 	0	0	 	0	0	 	0	0	 	1	0.82	 	0	0	 	50	40.98	 	4	3.28	 	0	0	 	122	93.85	 	8	6.15	 	130	0.15
Total Ordinary		                             	467	0.65	 	585	0.81	 	1319	1.82	 	25472	35.2	 	741	1.02	 	107	0.15	 	700	0.97	 	127	0.18	 	294	0.41	 	533	0.74	 	30260	41.81	 	11733	16.21	 	32	0.04	 	72370	97.21	 	2075	2.79	 	74445	87.64
ABSENT		                                     	59	1.22	 	39	0.81	 	152	3.15	 	1742	36.09	 	64	1.33	 	7	0.15	 	77	1.6	 	17	0.35	 	37	0.77	 	25	0.52	 	1848	38.28	 	759	15.72	 	1	0.02	 	4827	97.97	 	100	2.03	 	4927	5.8
POSTAL		                                     	11	0.47	 	54	2.3	 	36	1.54	 	789	33.65	 	26	1.11	 	1	0.04	 	28	1.19	 	8	0.34	 	25	1.07	 	17	0.72	 	1062	45.29	 	287	12.24	 	1	0.04	 	2345	98.78	 	29	1.22	 	2374	2.79
