Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Frances		                                    	2	1.57	 	0	0	 	0	0	 	15	11.81	 	1	0.79	 	0	0	 	2	1.57	 	2	1.57	 	2	1.57	 	0	0	 	98	77.17	 	5	3.94	 	0	0	 	127	99.22	 	1	0.78	 	128	0.16
Furner		                                     	7	4.52	 	3	1.94	 	0	0	 	11	7.1	 	1	0.65	 	0	0	 	1	0.65	 	1	0.65	 	0	0	 	1	0.65	 	128	82.58	 	2	1.29	 	0	0	 	155	97.48	 	4	2.52	 	159	0.19
Geranium		                                   	4	2.5	 	1	0.63	 	1	0.63	 	8	5	 	3	1.88	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	132	82.5	 	11	6.88	 	0	0	 	160	97.56	 	4	2.44	 	164	0.2
Glenburnie		                                 	3	1.55	 	0	0	 	3	1.55	 	42	21.65	 	7	3.61	 	0	0	 	3	1.55	 	0	0	 	1	0.52	 	0	0	 	132	68.04	 	3	1.55	 	0	0	 	194	97.49	 	5	2.51	 	199	0.24
Glencoe		                                    	12	3.08	 	3	0.77	 	8	2.06	 	93	23.91	 	4	1.03	 	0	0	 	5	1.29	 	1	0.26	 	1	0.26	 	2	0.51	 	196	50.39	 	64	16.45	 	0	0	 	389	96.53	 	14	3.47	 	403	0.49
Goolwa		                                     	13	0.52	 	19	0.77	 	46	1.86	 	620	25.01	 	15	0.61	 	0	0	 	23	0.93	 	1	0.04	 	7	0.28	 	11	0.44	 	1306	52.68	 	417	16.82	 	1	0.04	 	2479	95.79	 	109	4.21	 	2588	3.16
Gosse		                                      	2	2.04	 	0	0	 	4	4.08	 	7	7.14	 	0	0	 	0	0	 	2	2.04	 	0	0	 	0	0	 	0	0	 	72	73.47	 	11	11.22	 	0	0	 	98	97.03	 	3	2.97	 	101	0.12
Greenways		                                  	2	1.9	 	0	0	 	0	0	 	13	12.38	 	0	0	 	0	0	 	1	0.95	 	0	0	 	0	0	 	4	3.81	 	83	79.05	 	2	1.9	 	0	0	 	105	97.22	 	3	2.78	 	108	0.13
Hindmarsh Island		                           	3	1.46	 	4	1.95	 	6	2.93	 	23	11.22	 	1	0.49	 	0	0	 	0	0	 	0	0	 	2	0.98	 	0	0	 	136	66.34	 	29	14.15	 	1	0.49	 	205	98.56	 	3	1.44	 	208	0.25
Hindmarsh Valley		                           	2	1.57	 	1	0.79	 	0	0	 	14	11.02	 	1	0.79	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	92	72.44	 	17	13.39	 	0	0	 	127	99.22	 	1	0.78	 	128	0.16
Hope Forest		                                	3	1.64	 	0	0	 	7	3.83	 	11	6.01	 	4	2.19	 	0	0	 	4	2.19	 	1	0.55	 	0	0	 	2	1.09	 	118	64.48	 	33	18.03	 	0	0	 	183	96.83	 	6	3.17	 	189	0.23
Hynam		                                      	4	2.78	 	1	0.69	 	2	1.39	 	4	2.78	 	0	0	 	0	0	 	6	4.17	 	1	0.69	 	1	0.69	 	0	0	 	119	82.64	 	6	4.17	 	0	0	 	144	100	 	0	0	 	144	0.18
