Senate - 1996 Election: Western Australia																																								
First Preference Votes by Group																																								
By Polling Place																																								


Brand (92099)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Parkerville		                                	9	0.94	 	474	49.38	 	2	0.21	 	6	0.63	 	1	0.1	 	11	1.15	 	216	22.5	 	113	11.77	 	126	13.12	 	2	0.21	 	960	96.97	 	30	3.03	 	990	1.36
Perth (Pearce)		                             	0	0	 	43	41.75	 	0	0	 	0	0	 	2	1.94	 	2	1.94	 	29	28.16	 	16	15.53	 	10	9.71	 	1	0.97	 	103	100	 	0	0	 	103	0.14
Pickering Brook		                            	3	0.86	 	206	59.37	 	0	0	 	0	0	 	5	1.44	 	4	1.15	 	69	19.88	 	18	5.19	 	41	11.82	 	1	0.29	 	347	94.04	 	22	5.96	 	369	0.51
Roleystone		                                 	21	0.74	 	1364	47.91	 	3	0.11	 	15	0.53	 	21	0.74	 	38	1.33	 	686	24.1	 	226	7.94	 	467	16.4	 	6	0.21	 	2847	97.57	 	71	2.43	 	2918	4
Rottnest (Pearce)		                          	0	0	 	51	51.52	 	0	0	 	1	1.01	 	0	0	 	2	2.02	 	20	20.2	 	15	15.15	 	10	10.1	 	0	0	 	99	94.29	 	6	5.71	 	105	0.14
Sawyers Valley		                             	2	0.66	 	145	47.85	 	1	0.33	 	1	0.33	 	1	0.33	 	4	1.32	 	79	26.07	 	37	12.21	 	32	10.56	 	1	0.33	 	303	96.81	 	10	3.19	 	313	0.43
Stoneville		                                 	6	0.66	 	429	47.3	 	0	0	 	13	1.43	 	14	1.54	 	14	1.54	 	204	22.49	 	73	8.05	 	152	16.76	 	2	0.22	 	907	97.42	 	24	2.58	 	931	1.28
Stratton		                                   	19	1.33	 	515	36.17	 	1	0.07	 	22	1.54	 	8	0.56	 	21	1.47	 	564	39.61	 	68	4.78	 	200	14.04	 	6	0.42	 	1424	97.2	 	41	2.8	 	1465	2.01
Swan View		                                  	37	1	 	1421	38.23	 	7	0.19	 	26	0.7	 	41	1.1	 	47	1.26	 	1466	39.44	 	214	5.76	 	453	12.19	 	5	0.13	 	3717	95.6	 	171	4.4	 	3888	5.33
Toodyay		                                    	19	1.57	 	606	50	 	0	0	 	2	0.17	 	29	2.39	 	36	2.97	 	290	23.93	 	65	5.36	 	162	13.37	 	3	0.25	 	1212	94.98	 	64	5.02	 	1276	1.75
Upper Swan		                                 	16	1.2	 	755	56.77	 	0	0	 	7	0.53	 	10	0.75	 	13	0.98	 	307	23.08	 	78	5.86	 	141	10.6	 	3	0.23	 	1330	97.15	 	39	2.85	 	1369	1.88
Walliston		                                  	11	0.86	 	723	56.4	 	4	0.31	 	18	1.4	 	10	0.78	 	10	0.78	 	272	21.22	 	72	5.62	 	162	12.64	 	0	0	 	1282	95.46	 	61	4.54	 	1343	1.84
Wattle Grove		                               	0	0	 	288	58.3	 	0	0	 	8	1.62	 	1	0.2	 	6	1.21	 	110	22.27	 	23	4.66	 	58	11.74	 	0	0	 	494	96.67	 	17	3.33	 	511	0.7
Wooroloo		                                   	4	1.21	 	150	45.32	 	3	0.91	 	0	0	 	5	1.51	 	4	1.21	 	88	26.59	 	36	10.88	 	41	12.39	 	0	0	 	331	95.66	 	15	4.34	 	346	0.47
Wundowie		                                   	13	2.58	 	174	34.59	 	2	0.4	 	3	0.6	 	16	3.18	 	6	1.19	 	214	42.54	 	18	3.58	 	56	11.13	 	1	0.2	 	503	95.09	 	26	4.91	 	529	0.73
Yallingup (Pearce)		                         	0	0	 	29	48.33	 	0	0	 	0	0	 	1	1.67	 	1	1.67	 	14	23.33	 	3	5	 	12	20	 	0	0	 	60	100	 	0	0	 	60	0.08
Special Hospitals		                          	5	1.85	 	171	63.1	 	0	0	 	6	2.21	 	4	1.48	 	0	0	 	63	23.25	 	4	1.48	 	18	6.64	 	0	0	 	271	95.42	 	13	4.58	 	284	0.39
Total Ordinary		                             	555	0.93	 	28861	48.21	 	81	0.14	 	569	0.95	 	835	1.39	 	755	1.26	 	16625	27.77	 	3789	6.33	 	7666	12.8	 	133	0.22	 	59869	96.33	 	2282	3.67	 	62151	85.19
ABSENT		                                     	71	1.25	 	2639	46.41	 	12	0.21	 	38	0.67	 	100	1.76	 	101	1.78	 	1605	28.23	 	494	8.69	 	613	10.78	 	13	0.23	 	5686	98.05	 	113	1.95	 	5799	7.95
POSTAL		                                     	17	1.12	 	835	55.15	 	4	0.26	 	19	1.25	 	23	1.52	 	35	2.31	 	354	23.38	 	72	4.76	 	152	10.04	 	3	0.2	 	1514	98.06	 	30	1.94	 	1544	2.12
PRE_POLL		                                   	29	1.05	 	1442	52.1	 	5	0.18	 	17	0.61	 	63	2.28	 	37	1.34	 	718	25.94	 	170	6.14	 	280	10.12	 	7	0.25	 	2768	98.68	 	37	1.32	 	2805	3.84
PROVISIONAL		                                	5	0.83	 	241	40.03	 	1	0.17	 	1	0.17	 	11	1.83	 	14	2.33	 	215	35.71	 	57	9.47	 	56	9.3	 	1	0.17	 	602	95.71	 	27	4.29	 	629	0.86
ADJUSTMENT		                                 	-2		       	7		       	1		       	3		       	3		       	-3		       	15		       	-7		       	1		       	0		       	18		       	6		       	24	
Division Summary		                           	675	0.96	 	34025	48.29	 	104	0.15	 	647	0.92	 	1035	1.47	 	939	1.33	 	19532	27.72	 	4575	6.49	 	8768	12.44	 	157	0.22	 	70457	96.58	 	2495	3.42	 	72952	96.48
 																																								


Perth (74499)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alexander Park		                             	7	0.79	 	519	58.31	 	0	0	 	6	0.67	 	9	1.01	 	5	0.56	 	212	23.82	 	51	5.73	 	80	8.99	 	1	0.11	 	890	95.7	 	40	4.3	 	930	1.32
Ashfield		                                   	18	1.8	 	298	29.74	 	2	0.2	 	9	0.9	 	8	0.8	 	15	1.5	 	480	47.9	 	66	6.59	 	104	10.38	 	2	0.2	 	1002	95.07	 	52	4.93	 	1054	1.49
Bassendean		                                 	28	1.58	 	650	36.74	 	2	0.11	 	15	0.85	 	6	0.34	 	25	1.41	 	761	43.02	 	100	5.65	 	180	10.18	 	2	0.11	 	1769	94.65	 	100	5.35	 	1869	2.64
Bassendean South		                           	23	1	 	887	38.68	 	1	0.04	 	17	0.74	 	15	0.65	 	37	1.61	 	869	37.9	 	181	7.89	 	261	11.38	 	2	0.09	 	2293	94.99	 	121	5.01	 	2414	3.41
Bayswater		                                  	19	0.83	 	761	33.06	 	3	0.13	 	10	0.43	 	8	0.35	 	31	1.35	 	1021	44.35	 	156	6.78	 	285	12.38	 	8	0.35	 	2302	92.34	 	191	7.66	 	2493	3.53
Bedford Park		                               	19	1.52	 	450	35.91	 	0	0	 	8	0.64	 	6	0.48	 	9	0.72	 	556	44.37	 	62	4.95	 	141	11.25	 	2	0.16	 	1253	95.29	 	62	4.71	 	1315	1.86
Bedford West		                               	9	0.86	 	420	39.92	 	1	0.1	 	3	0.29	 	7	0.67	 	5	0.48	 	427	40.59	 	70	6.65	 	108	10.27	 	2	0.19	 	1052	95.12	 	54	4.88	 	1106	1.56
Beechboro		                                  	22	1.19	 	543	29.41	 	0	0	 	21	1.14	 	12	0.65	 	22	1.19	 	1006	54.5	 	61	3.3	 	157	8.5	 	2	0.11	 	1846	96.3	 	71	3.7	 	1917	2.71
Beechboro East		                             	27	1.46	 	561	30.34	 	6	0.32	 	25	1.35	 	6	0.32	 	27	1.46	 	951	51.43	 	77	4.16	 	163	8.82	 	6	0.32	 	1849	96.55	 	66	3.45	 	1915	2.71
Bellevue (Perth)		                           	12	1.72	 	260	37.36	 	1	0.14	 	6	0.86	 	4	0.57	 	10	1.44	 	293	42.1	 	48	6.9	 	59	8.48	 	3	0.43	 	696	93.67	 	47	6.33	 	743	1.05
Bunbury Central (Perth)		                    	0	0	 	41	58.57	 	0	0	 	0	0	 	0	0	 	1	1.43	 	19	27.14	 	3	4.29	 	6	8.57	 	0	0	 	70	100	 	0	0	 	70	0.1
Busselton (Perth)		                          	1	0.75	 	60	45.11	 	0	0	 	0	0	 	2	1.5	 	1	0.75	 	43	32.33	 	9	6.77	 	17	12.78	 	0	0	 	133	97.79	 	3	2.21	 	136	0.19
Busselton West (Perth)		                     	1	2	 	24	48	 	1	2	 	0	0	 	1	2	 	0	0	 	18	36	 	1	2	 	4	8	 	0	0	 	50	100	 	0	0	 	50	0.07
Caversham		                                  	7	1.36	 	255	49.42	 	0	0	 	0	0	 	4	0.78	 	5	0.97	 	204	39.53	 	19	3.68	 	20	3.88	 	2	0.39	 	516	93.65	 	35	6.35	 	551	0.78
Coolbinia		                                  	7	0.88	 	427	53.58	 	1	0.13	 	2	0.25	 	6	0.75	 	7	0.88	 	219	27.48	 	55	6.9	 	73	9.16	 	0	0	 	797	96.72	 	27	3.28	 	824	1.17
Dianella		                                   	10	0.9	 	485	43.85	 	1	0.09	 	8	0.72	 	4	0.36	 	5	0.45	 	420	37.97	 	55	4.97	 	115	10.4	 	3	0.27	 	1106	94.85	 	60	5.15	 	1166	1.65
Dianella Central		                           	17	0.94	 	896	49.42	 	3	0.17	 	13	0.72	 	8	0.44	 	18	0.99	 	633	34.91	 	55	3.03	 	169	9.32	 	1	0.06	 	1813	92.88	 	139	7.12	 	1952	2.76
Dianella North		                             	10	1.04	 	404	41.91	 	3	0.31	 	6	0.62	 	7	0.73	 	14	1.45	 	339	35.17	 	60	6.22	 	119	12.34	 	2	0.21	 	964	93.96	 	62	6.04	 	1026	1.45
Dunsborough (Perth)		                        	1	0.91	 	52	47.27	 	0	0	 	0	0	 	0	0	 	2	1.82	 	31	28.18	 	9	8.18	 	15	13.64	 	0	0	 	110	99.1	 	1	0.9	 	111	0.16
East Perth		                                 	5	0.99	 	207	40.83	 	1	0.2	 	12	2.37	 	4	0.79	 	9	1.78	 	182	35.9	 	35	6.9	 	49	9.66	 	3	0.59	 	507	93.2	 	37	6.8	 	544	0.77
Eden Hill		                                  	33	1.24	 	886	33.27	 	7	0.26	 	18	0.68	 	27	1.01	 	28	1.05	 	1274	47.84	 	132	4.96	 	251	9.43	 	7	0.26	 	2663	91.45	 	249	8.55	 	2912	4.12
Embleton		                                   	22	1.16	 	668	35.18	 	2	0.11	 	8	0.42	 	14	0.74	 	24	1.26	 	899	47.34	 	84	4.42	 	170	8.95	 	8	0.42	 	1899	94.67	 	107	5.33	 	2006	2.84
Falcon (Perth)		                             	3	3.7	 	39	48.15	 	0	0	 	1	1.23	 	0	0	 	2	2.47	 	24	29.63	 	6	7.41	 	6	7.41	 	0	0	 	81	100	 	0	0	 	81	0.11
Forrest Park		                               	5	0.97	 	145	28.05	 	1	0.19	 	4	0.77	 	1	0.19	 	4	0.77	 	218	42.17	 	69	13.35	 	70	13.54	 	0	0	 	517	94.86	 	28	5.14	 	545	0.77
Guildford		                                  	12	0.97	 	475	38.37	 	0	0	 	6	0.48	 	16	1.29	 	17	1.37	 	423	34.17	 	141	11.39	 	147	11.87	 	1	0.08	 	1238	93.86	 	81	6.14	 	1319	1.87
Hazelmere		                                  	10	1.42	 	306	43.34	 	2	0.28	 	3	0.42	 	6	0.85	 	8	1.13	 	238	33.71	 	44	6.23	 	85	12.04	 	4	0.57	 	706	96.71	 	24	3.29	 	730	1.03
Highgate		                                   	53	2.52	 	539	25.65	 	5	0.24	 	5	0.24	 	10	0.48	 	19	0.9	 	993	47.26	 	266	12.66	 	208	9.9	 	3	0.14	 	2101	95.11	 	108	4.89	 	2209	3.12
Hillcrest		                                  	22	1.05	 	748	35.69	 	5	0.24	 	16	0.76	 	9	0.43	 	16	0.76	 	908	43.32	 	158	7.54	 	210	10.02	 	4	0.19	 	2096	93.07	 	156	6.93	 	2252	3.19
Inglewood		                                  	13	1.16	 	384	34.19	 	1	0.09	 	4	0.36	 	7	0.62	 	16	1.42	 	460	40.96	 	90	8.01	 	148	13.18	 	0	0	 	1123	93.27	 	81	6.73	 	1204	1.7
Inglewood Home of Peace		                    	4	1.16	 	123	35.55	 	1	0.29	 	0	0	 	4	1.16	 	4	1.16	 	142	41.04	 	28	8.09	 	39	11.27	 	1	0.29	 	346	97.19	 	10	2.81	 	356	0.5
Inglewood North		                            	15	0.94	 	626	39.2	 	1	0.06	 	7	0.44	 	8	0.5	 	7	0.44	 	621	38.89	 	96	6.01	 	213	13.34	 	3	0.19	 	1597	94.39	 	95	5.61	 	1692	2.39
Kiara		                                      	4	0.44	 	303	33.48	 	2	0.22	 	7	0.77	 	2	0.22	 	12	1.33	 	451	49.83	 	59	6.52	 	62	6.85	 	3	0.33	 	905	95.77	 	40	4.23	 	945	1.34
Lancelin (Perth)		                           	0	0	 	40	45.98	 	0	0	 	0	0	 	0	0	 	5	5.75	 	30	34.48	 	4	4.6	 	8	9.2	 	0	0	 	87	96.67	 	3	3.33	 	90	0.13
Lockridge		                                  	12	0.85	 	313	22.25	 	3	0.21	 	2	0.14	 	6	0.43	 	16	1.14	 	858	60.98	 	49	3.48	 	144	10.23	 	4	0.28	 	1407	94.05	 	89	5.95	 	1496	2.12
Mandurah Central (Perth)		                   	2	2.47	 	34	41.98	 	0	0	 	0	0	 	0	0	 	2	2.47	 	25	30.86	 	5	6.17	 	13	16.05	 	0	0	 	81	97.59	 	2	2.41	 	83	0.12
Margaret River (Perth)		                     	4	4.65	 	26	30.23	 	0	0	 	1	1.16	 	1	1.16	 	2	2.33	 	31	36.05	 	8	9.3	 	12	13.95	 	1	1.16	 	86	100	 	0	0	 	86	0.12
Maylands		                                   	43	1.64	 	872	33.26	 	2	0.08	 	13	0.5	 	21	0.8	 	31	1.18	 	1125	42.91	 	192	7.32	 	319	12.17	 	4	0.15	 	2622	94.35	 	157	5.65	 	2779	3.93
Maylands East		                              	22	1.65	 	458	34.41	 	2	0.15	 	7	0.53	 	8	0.6	 	18	1.35	 	541	40.65	 	81	6.09	 	186	13.97	 	8	0.6	 	1331	95.14	 	68	4.86	 	1399	1.98
Menora		                                     	2	0.46	 	248	56.49	 	3	0.68	 	2	0.46	 	2	0.46	 	4	0.91	 	141	32.12	 	14	3.19	 	23	5.24	 	0	0	 	439	89.05	 	54	10.95	 	493	0.7
Midland (Perth)		                            	43	1.84	 	792	33.9	 	3	0.13	 	11	0.47	 	24	1.03	 	32	1.37	 	1096	46.92	 	125	5.35	 	207	8.86	 	3	0.13	 	2336	93.18	 	171	6.82	 	2507	3.55
Midvale		                                    	16	1.1	 	387	26.53	 	2	0.14	 	7	0.48	 	13	0.89	 	9	0.62	 	782	53.6	 	112	7.68	 	128	8.77	 	3	0.21	 	1459	93.41	 	103	6.59	 	1562	2.21
Morley (Perth)		                             	6	0.79	 	294	38.48	 	2	0.26	 	4	0.52	 	6	0.79	 	7	0.92	 	323	42.28	 	42	5.5	 	80	10.47	 	0	0	 	764	93.86	 	50	6.14	 	814	1.15
Mount Lawley		                               	31	1.22	 	1127	44.39	 	2	0.08	 	9	0.35	 	14	0.55	 	18	0.71	 	769	30.29	 	231	9.1	 	330	13	 	8	0.32	 	2539	96.58	 	90	3.42	 	2629	3.72
Mount Lawley East		                          	3	0.45	 	285	42.41	 	0	0	 	7	1.04	 	6	0.89	 	7	1.04	 	227	33.78	 	61	9.08	 	74	11.01	 	2	0.3	 	672	96	 	28	4	 	700	0.99
Mount Lawley West		                          	3	0.5	 	196	32.34	 	2	0.33	 	1	0.17	 	3	0.5	 	3	0.5	 	285	47.03	 	65	10.73	 	48	7.92	 	0	0	 	606	92.94	 	46	7.06	 	652	0.92
Nannup (Perth)		                             	1	2.63	 	10	26.32	 	0	0	 	0	0	 	2	5.26	 	0	0	 	9	23.68	 	8	21.05	 	8	21.05	 	0	0	 	38	97.44	 	1	2.56	 	39	0.06
Northbridge		                                	7	2.79	 	60	23.9	 	0	0	 	1	0.4	 	1	0.4	 	0	0	 	104	41.43	 	48	19.12	 	28	11.16	 	2	0.8	 	251	95.44	 	12	4.56	 	263	0.37
North Perth		                                	5	0.71	 	280	39.49	 	0	0	 	3	0.42	 	4	0.56	 	13	1.83	 	289	40.76	 	51	7.19	 	63	8.89	 	1	0.14	 	709	90.9	 	71	9.1	 	780	1.1
North Perth Central		                        	23	1.32	 	580	33.3	 	1	0.06	 	6	0.34	 	10	0.57	 	9	0.52	 	817	46.9	 	142	8.15	 	147	8.44	 	7	0.4	 	1742	87.54	 	248	12.46	 	1990	2.81
Perth (Perth)		                              	9	1.39	 	191	29.57	 	0	0	 	6	0.93	 	4	0.62	 	12	1.86	 	299	46.28	 	68	10.53	 	55	8.51	 	2	0.31	 	646	94.31	 	39	5.69	 	685	0.97
Rottnest (Perth)		                           	1	0.92	 	48	44.04	 	1	0.92	 	0	0	 	0	0	 	2	1.83	 	26	23.85	 	17	15.6	 	14	12.84	 	0	0	 	109	100	 	0	0	 	109	0.15
Royal Perth Hospital		                       	1	0.58	 	51	29.82	 	0	0	 	0	0	 	4	2.34	 	3	1.75	 	94	54.97	 	2	1.17	 	16	9.36	 	0	0	 	171	93.96	 	11	6.04	 	182	0.26
St Anne's Hospital		                         	5	1.36	 	164	44.69	 	0	0	 	7	1.91	 	4	1.09	 	5	1.36	 	105	28.61	 	36	9.81	 	39	10.63	 	2	0.54	 	367	91.52	 	34	8.48	 	401	0.57
West Perth (Perth)		                         	6	2.76	 	69	31.8	 	0	0	 	0	0	 	0	0	 	2	0.92	 	99	45.62	 	19	8.76	 	22	10.14	 	0	0	 	217	96.88	 	7	3.13	 	224	0.32
Yallingup (Perth)		                          	2	4	 	22	44	 	0	0	 	0	0	 	0	0	 	0	0	 	12	24	 	7	14	 	6	12	 	1	2	 	50	98.04	 	1	1.96	 	51	0.07
Special Hospitals		                          	16	2.59	 	352	57.05	 	1	0.16	 	3	0.49	 	2	0.32	 	6	0.97	 	203	32.9	 	5	0.81	 	28	4.54	 	1	0.16	 	617	91.14	 	60	8.86	 	677	0.96
Total Ordinary		                             	702	1.26	 	20341	36.56	 	77	0.14	 	330	0.59	 	356	0.64	 	611	1.1	 	23625	42.46	 	3738	6.72	 	5732	10.3	 	124	0.22	 	55636	94.09	 	3492	5.91	 	59128	83.64
ABSENT		                                     	105	1.69	 	2325	37.48	 	15	0.24	 	41	0.66	 	61	0.98	 	74	1.19	 	2405	38.77	 	558	8.99	 	606	9.77	 	14	0.23	 	6204	97.42	 	164	2.58	 	6368	9.01
POSTAL		                                     	23	1.22	 	768	40.66	 	0	0	 	9	0.48	 	17	0.9	 	37	1.96	 	766	40.55	 	99	5.24	 	161	8.52	 	9	0.48	 	1889	97.57	 	47	2.43	 	1936	2.74
PRE_POLL		                                   	46	2.04	 	843	37.38	 	5	0.22	 	13	0.58	 	18	0.8	 	31	1.37	 	865	38.36	 	182	8.07	 	242	10.73	 	10	0.44	 	2255	98.43	 	36	1.57	 	2291	3.24
PROVISIONAL		                                	11	1.24	 	285	32.09	 	3	0.34	 	4	0.45	 	4	0.45	 	13	1.46	 	407	45.83	 	85	9.57	 	76	8.56	 	0	0	 	888	95.79	 	39	4.21	 	927	1.31
ADJUSTMENT		                                 	37		       	63		       	11		       	7		       	5		       	18		       	207		       	37		       	31		       	-3		       	413		       	-369		       	44	
Division Summary		                           	924	1.37	 	24625	36.6	 	111	0.16	 	404	0.6	 	461	0.69	 	784	1.17	 	28275	42.02	 	4699	6.98	 	6848	10.18	 	154	0.23	 	67285	95.18	 	3409	4.82	 	70694	94.89
 																																								


Stirling (73749)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Balcatta		                                   	52	1.88	 	1071	38.76	 	6	0.22	 	9	0.33	 	14	0.51	 	30	1.09	 	1230	44.52	 	115	4.16	 	229	8.29	 	7	0.25	 	2763	91.04	 	272	8.96	 	3035	4.29
Balcatta Central		                           	36	1.32	 	1133	41.43	 	6	0.22	 	4	0.15	 	3	0.11	 	12	0.44	 	1253	45.81	 	105	3.84	 	183	6.69	 	0	0	 	2735	91.99	 	238	8.01	 	2973	4.2
Balcatta North		                             	20	0.98	 	826	40.37	 	4	0.2	 	6	0.29	 	6	0.29	 	20	0.98	 	894	43.7	 	112	5.47	 	156	7.62	 	2	0.1	 	2046	93.68	 	138	6.32	 	2184	3.08
Balga (Stirling)		                           	24	1.43	 	412	24.54	 	2	0.12	 	5	0.3	 	7	0.42	 	37	2.2	 	944	56.22	 	89	5.3	 	156	9.29	 	3	0.18	 	1679	95.34	 	82	4.66	 	1761	2.49
Bunbury Central (Stirling)		                 	0	0	 	29	45.31	 	0	0	 	0	0	 	0	0	 	1	1.56	 	21	32.81	 	5	7.81	 	8	12.5	 	0	0	 	64	98.46	 	1	1.54	 	65	0.09
Busselton (Stirling)		                       	1	0.68	 	86	58.5	 	0	0	 	0	0	 	0	0	 	3	2.04	 	35	23.81	 	9	6.12	 	13	8.84	 	0	0	 	147	97.35	 	4	2.65	 	151	0.21
Busselton West (Stirling)		                  	1	1.49	 	43	64.18	 	0	0	 	0	0	 	0	0	 	1	1.49	 	13	19.4	 	2	2.99	 	7	10.45	 	0	0	 	67	95.71	 	3	4.29	 	70	0.1
Deanmore		                                   	5	0.41	 	619	51.03	 	1	0.08	 	6	0.49	 	4	0.33	 	11	0.91	 	345	28.44	 	95	7.83	 	122	10.06	 	5	0.41	 	1213	96.58	 	43	3.42	 	1256	1.77
Dianella Heights		                           	8	0.48	 	953	57.31	 	2	0.12	 	9	0.54	 	9	0.54	 	9	0.54	 	461	27.72	 	63	3.79	 	149	8.96	 	0	0	 	1663	95.19	 	84	4.81	 	1747	2.47
Dianella West		                              	11	0.69	 	907	57.26	 	1	0.06	 	7	0.44	 	3	0.19	 	9	0.57	 	474	29.92	 	56	3.54	 	108	6.82	 	8	0.51	 	1584	95.65	 	72	4.35	 	1656	2.34
Doubleview		                                 	21	0.69	 	1512	49.85	 	3	0.1	 	12	0.4	 	28	0.92	 	30	0.99	 	855	28.19	 	213	7.02	 	355	11.7	 	4	0.13	 	3033	96.75	 	102	3.25	 	3135	4.43
Doubleview Central		                         	12	1.13	 	436	41.17	 	2	0.19	 	3	0.28	 	9	0.85	 	19	1.79	 	378	35.69	 	84	7.93	 	114	10.76	 	2	0.19	 	1059	95.32	 	52	4.68	 	1111	1.57
Doubleview North		                           	16	1.11	 	575	39.99	 	1	0.07	 	8	0.56	 	9	0.63	 	16	1.11	 	515	35.81	 	122	8.48	 	174	12.1	 	2	0.14	 	1438	95.8	 	63	4.2	 	1501	2.12
Dunsborough (Stirling)		                     	0	0	 	78	59.54	 	0	0	 	0	0	 	1	0.76	 	1	0.76	 	23	17.56	 	12	9.16	 	16	12.21	 	0	0	 	131	98.5	 	2	1.5	 	133	0.19
Falcon (Stirling)		                          	1	0.75	 	94	70.68	 	0	0	 	0	0	 	2	1.5	 	0	0	 	17	12.78	 	7	5.26	 	12	9.02	 	0	0	 	133	98.52	 	2	1.48	 	135	0.19
Innaloo		                                    	23	1.58	 	605	41.61	 	1	0.07	 	10	0.69	 	11	0.76	 	8	0.55	 	549	37.76	 	81	5.57	 	164	11.28	 	2	0.14	 	1454	95.47	 	69	4.53	 	1523	2.15
Innaloo North		                              	11	0.85	 	486	37.59	 	3	0.23	 	7	0.54	 	10	0.77	 	20	1.55	 	546	42.23	 	85	6.57	 	121	9.36	 	4	0.31	 	1293	94.31	 	78	5.69	 	1371	1.94
Karrinyup		                                  	22	0.92	 	1392	58.15	 	3	0.13	 	17	0.71	 	15	0.63	 	25	1.04	 	547	22.85	 	146	6.1	 	219	9.15	 	8	0.33	 	2394	97.95	 	50	2.05	 	2444	3.45
Lake Gwelup (Stirling)		                     	10	0.9	 	541	48.56	 	1	0.09	 	5	0.45	 	9	0.81	 	6	0.54	 	380	34.11	 	55	4.94	 	103	9.25	 	4	0.36	 	1114	96.45	 	41	3.55	 	1155	1.63
Lancelin (Stirling)		                        	1	0.89	 	59	52.68	 	0	0	 	0	0	 	0	0	 	1	0.89	 	30	26.79	 	9	8.04	 	11	9.82	 	1	0.89	 	112	97.39	 	3	2.61	 	115	0.16
Mandurah Central (Stirling)		                	0	0	 	77	65.25	 	0	0	 	1	0.85	 	1	0.85	 	0	0	 	27	22.88	 	5	4.24	 	6	5.08	 	1	0.85	 	118	98.33	 	2	1.67	 	120	0.17
Margaret River (Stirling)		                  	1	0.72	 	72	52.17	 	0	0	 	2	1.45	 	1	0.72	 	0	0	 	30	21.74	 	16	11.59	 	16	11.59	 	0	0	 	138	99.28	 	1	0.72	 	139	0.2
Mirrabooka		                                 	19	0.89	 	676	31.65	 	2	0.09	 	9	0.42	 	8	0.37	 	28	1.31	 	1117	52.29	 	106	4.96	 	170	7.96	 	1	0.05	 	2136	94.43	 	126	5.57	 	2262	3.19
Mirrabooka Central		                         	13	0.84	 	392	25.29	 	4	0.26	 	11	0.71	 	5	0.32	 	9	0.58	 	958	61.81	 	61	3.94	 	94	6.06	 	3	0.19	 	1550	95.98	 	65	4.02	 	1615	2.28
Mirrabooka East		                            	16	1.14	 	356	25.46	 	3	0.21	 	1	0.07	 	2	0.14	 	12	0.86	 	845	60.44	 	51	3.65	 	108	7.73	 	4	0.29	 	1398	96.55	 	50	3.45	 	1448	2.04
Nannup (Stirling)		                          	0	0	 	8	33.33	 	0	0	 	0	0	 	0	0	 	0	0	 	8	33.33	 	7	29.17	 	1	4.17	 	0	0	 	24	100	 	0	0	 	24	0.03
Nollamara		                                  	22	1.15	 	670	34.99	 	3	0.16	 	16	0.84	 	7	0.37	 	28	1.46	 	899	46.95	 	98	5.12	 	168	8.77	 	4	0.21	 	1915	93.23	 	139	6.77	 	2054	2.9
Nollamara North		                            	4	0.94	 	106	25	 	0	0	 	1	0.24	 	3	0.71	 	2	0.47	 	238	56.13	 	25	5.9	 	44	10.38	 	1	0.24	 	424	94.85	 	23	5.15	 	447	0.63
Noranda West (Stirling)		                    	8	0.81	 	592	60.04	 	0	0	 	2	0.2	 	6	0.61	 	3	0.3	 	290	29.41	 	27	2.74	 	56	5.68	 	2	0.2	 	986	95.82	 	43	4.18	 	1029	1.45
North Beach (Stirling)		                     	3	0.63	 	262	55.27	 	0	0	 	6	1.27	 	2	0.42	 	7	1.48	 	107	22.57	 	34	7.17	 	53	11.18	 	0	0	 	474	96.54	 	17	3.46	 	491	0.69
Osborne		                                    	17	1.09	 	574	36.96	 	3	0.19	 	7	0.45	 	10	0.64	 	13	0.84	 	679	43.72	 	104	6.7	 	144	9.27	 	2	0.13	 	1553	93.78	 	103	6.22	 	1656	2.34
Osborne East		                               	16	1.85	 	377	43.48	 	6	0.69	 	5	0.58	 	14	1.61	 	6	0.69	 	336	38.75	 	46	5.31	 	61	7.04	 	0	0	 	867	92.04	 	75	7.96	 	942	1.33
