Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Huntingdon		                                 	0	0	  	0	0	  	1	0.49	  	0	0	  	0	0	  	0	0	  	0	0	  	45	22.17	  	0	0	  	0	0	  	25	12.32	  	102	50.25	  	19	9.36	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.48	  	7	3.45	  	1	0.49	  	0	0	  	203	97.6	  	5	2.4	  	208	0.26
Johns River		                                	4	1.89	  	1	0.47	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	45	21.23	  	2	0.94	  	0	0	  	28	13.21	  	80	37.74	  	11	5.19	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	38	17.92	  	3	1.42	  	0	0	  	0	0	  	212	97.25	  	6	2.75	  	218	0.28
Kendall		                                    	4	0.6	  	0	0	  	1	0.15	  	0	0	  	2	0.3	  	2	0.3	  	0	0	  	209	31.1	  	0	0	  	0	0	  	106	15.77	  	282	41.96	  	43	6.4	  	0	0	  	1	0.15	  	0	0	  	0	0	  	0	0	  	0	0	  	8	1.19	  	10	1.49	  	4	0.6	  	0	0	  	672	96.83	  	22	3.17	  	694	0.88
Kew		                                        	1	0.31	  	0	0	  	1	0.31	  	0	0	  	0	0	  	0	0	  	0	0	  	102	31.58	  	2	0.62	  	0	0	  	46	14.24	  	140	43.34	  	13	4.02	  	1	0.31	  	2	0.62	  	0	0	  	0	0	  	0	0	  	0	0	  	7	2.17	  	8	2.48	  	0	0	  	0	0	  	323	94.44	  	19	5.56	  	342	0.43
Killabakh		                                  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.95	  	0	0	  	17	16.19	  	1	0.95	  	0	0	  	14	13.33	  	58	55.24	  	11	10.48	  	1	0.95	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.95	  	1	0.95	  	0	0	  	0	0	  	105	96.33	  	4	3.67	  	109	0.14
Kings Creek		                                	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	57	25.79	  	0	0	  	0	0	  	38	17.19	  	104	47.06	  	14	6.33	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	7	3.17	  	0	0	  	1	0.45	  	0	0	  	221	96.51	  	8	3.49	  	229	0.29
Krambach		                                   	0	0	  	1	0.3	  	2	0.6	  	0	0	  	2	0.6	  	0	0	  	0	0	  	79	23.72	  	0	0	  	0	0	  	67	20.12	  	151	45.35	  	15	4.5	  	1	0.3	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	7	2.1	  	8	2.4	  	0	0	  	0	0	  	333	95.69	  	15	4.31	  	348	0.44
Lake Cathie		                                	7	0.68	  	1	0.1	  	4	0.39	  	0	0	  	3	0.29	  	3	0.29	  	0	0	  	391	38.07	  	0	0	  	1	0.1	  	123	11.98	  	395	38.46	  	59	5.74	  	4	0.39	  	1	0.1	  	0	0	  	0	0	  	0	0	  	0	0	  	13	1.27	  	20	1.95	  	2	0.19	  	0	0	  	1027	95.62	  	47	4.38	  	1074	1.36
Lansdowne		                                  	8	1.49	  	0	0	  	1	0.19	  	0	0	  	0	0	  	0	0	  	0	0	  	128	23.79	  	1	0.19	  	0	0	  	131	24.35	  	224	41.64	  	22	4.09	  	3	0.56	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	10	1.86	  	9	1.67	  	1	0.19	  	0	0	  	538	96.42	  	20	3.58	  	558	0.7
Laurieton		                                  	19	0.92	  	3	0.15	  	6	0.29	  	1	0.05	  	3	0.15	  	0	0	  	2	0.1	  	752	36.47	  	1	0.05	  	0	0	  	276	13.39	  	803	38.94	  	131	6.35	  	4	0.19	  	6	0.29	  	0	0	  	1	0.05	  	0	0	  	0	0	  	30	1.45	  	19	0.92	  	5	0.24	  	0	0	  	2062	94.37	  	123	5.63	  	2185	2.76
Long Flat		                                  	1	0.53	  	0	0	  	1	0.53	  	0	0	  	0	0	  	1	0.53	  	0	0	  	47	25.13	  	1	0.53	  	0	0	  	48	25.67	  	73	39.04	  	9	4.81	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.6	  	3	1.6	  	0	0	  	0	0	  	187	95.9	  	8	4.1	  	195	0.25
Lorne		                                      	1	0.92	  	0	0	  	0	0	  	0	0	  	1	0.92	  	0	0	  	0	0	  	16	14.68	  	0	0	  	0	0	  	8	7.34	  	60	55.05	  	13	11.93	  	1	0.92	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	3.67	  	5	4.59	  	0	0	  	0	0	  	109	98.2	  	2	1.8	  	111	0.14
Manning Point		                              	5	2.43	  	1	0.49	  	0	0	  	1	0.49	  	0	0	  	0	0	  	0	0	  	82	39.81	  	0	0	  	1	0.49	  	29	14.08	  	72	34.95	  	7	3.4	  	0	0	  	0	0	  	0	0	  	1	0.49	  	0	0	  	0	0	  	0	0	  	7	3.4	  	0	0	  	0	0	  	206	95.81	  	9	4.19	  	215	0.27
Marlee		                                     	0	0	  	0	0	  	2	1.08	  	0	0	  	0	0	  	0	0	  	0	0	  	51	27.42	  	0	0	  	0	0	  	24	12.9	  	81	43.55	  	12	6.45	  	0	0	  	1	0.54	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.61	  	11	5.91	  	0	0	  	1	0.54	  	186	97.38	  	5	2.62	  	191	0.24
Mitchells Island		                           	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	54	26.09	  	0	0	  	0	0	  	36	17.39	  	102	49.28	  	8	3.86	  	0	0	  	1	0.48	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.48	  	5	2.42	  	0	0	  	0	0	  	207	93.67	  	14	6.33	  	221	0.28
Moorland		                                   	3	0.96	  	0	0	  	1	0.32	  	0	0	  	1	0.32	  	1	0.32	  	0	0	  	82	26.37	  	1	0.32	  	2	0.64	  	58	18.65	  	139	44.69	  	8	2.57	  	2	0.64	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	2.57	  	3	0.96	  	2	0.64	  	0	0	  	311	98.42	  	5	1.58	  	316	0.4
Mount George		                               	3	1.17	  	0	0	  	1	0.39	  	0	0	  	1	0.39	  	2	0.78	  	0	0	  	53	20.62	  	0	0	  	1	0.39	  	53	20.62	  	124	48.25	  	11	4.28	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	1.56	  	3	1.17	  	1	0.39	  	0	0	  	257	96.98	  	8	3.02	  	265	0.33
Nabiac		                                     	4	0.5	  	0	0	  	2	0.25	  	2	0.25	  	3	0.37	  	1	0.12	  	0	0	  	195	24.34	  	0	0	  	0	0	  	153	19.1	  	367	45.82	  	45	5.62	  	0	0	  	1	0.12	  	0	0	  	1	0.12	  	0	0	  	0	0	  	11	1.37	  	14	1.75	  	2	0.25	  	0	0	  	801	97.68	  	19	2.32	  	820	1.04
North Haven		                                	9	0.68	  	0	0	  	1	0.08	  	0	0	  	2	0.15	  	4	0.3	  	0	0	  	544	41.24	  	2	0.15	  	0	0	  	189	14.33	  	464	35.18	  	68	5.16	  	3	0.23	  	2	0.15	  	0	0	  	0	0	  	0	0	  	1	0.08	  	10	0.76	  	17	1.29	  	3	0.23	  	0	0	  	1319	95.58	  	61	4.42	  	1380	1.74
Old Bar		                                    	12	0.63	  	1	0.05	  	3	0.16	  	0	0	  	0	0	  	3	0.16	  	2	0.1	  	655	34.35	  	0	0	  	2	0.1	  	268	14.05	  	736	38.59	  	122	6.4	  	1	0.05	  	7	0.37	  	0	0	  	0	0	  	0	0	  	0	0	  	42	2.2	  	46	2.41	  	6	0.31	  	1	0.05	  	1907	96.51	  	69	3.49	  	1976	2.5
Oxley Island		                               	1	0.67	  	1	0.67	  	0	0	  	0	0	  	0	0	  	1	0.67	  	0	0	  	30	20	  	1	0.67	  	0	0	  	19	12.67	  	85	56.67	  	7	4.67	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	2	  	2	1.33	  	0	0	  	0	0	  	150	99.34	  	1	0.66	  	151	0.19
Port Macquarie Central		                     	4	0.36	  	1	0.09	  	4	0.36	  	0	0	  	1	0.09	  	2	0.18	  	0	0	  	353	31.57	  	0	0	  	0	0	  	140	12.52	  	475	42.49	  	63	5.64	  	5	0.45	  	4	0.36	  	0	0	  	0	0	  	0	0	  	0	0	  	26	2.33	  	35	3.13	  	5	0.45	  	0	0	  	1118	97.73	  	26	2.27	  	1144	1.44
Port Macquarie Civic		                       	14	0.71	  	0	0	  	6	0.3	  	0	0	  	1	0.05	  	3	0.15	  	0	0	  	601	30.32	  	0	0	  	0	0	  	204	10.29	  	929	46.87	  	111	5.6	  	5	0.25	  	5	0.25	  	0	0	  	3	0.15	  	0	0	  	1	0.05	  	45	2.27	  	38	1.92	  	16	0.81	  	0	0	  	1982	95.7	  	89	4.3	  	2071	2.62
Port Macquarie East		                        	33	0.88	  	2	0.05	  	2	0.05	  	0	0	  	5	0.13	  	7	0.19	  	2	0.05	  	1209	32.27	  	3	0.08	  	0	0	  	427	11.4	  	1659	44.29	  	232	6.19	  	9	0.24	  	4	0.11	  	0	0	  	1	0.03	  	0	0	  	0	0	  	57	1.52	  	78	2.08	  	13	0.35	  	3	0.08	  	3746	96.25	  	146	3.75	  	3892	4.92
Port Macquarie Hospital		                    	3	0.78	  	0	0	  	1	0.26	  	0	0	  	0	0	  	0	0	  	0	0	  	106	27.6	  	0	0	  	0	0	  	43	11.2	  	189	49.22	  	26	6.77	  	1	0.26	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	1.04	  	10	2.6	  	1	0.26	  	0	0	  	384	98.97	  	4	1.03	  	388	0.49
Port Macquarie South		                       	6	0.26	  	1	0.04	  	0	0	  	0	0	  	0	0	  	3	0.13	  	0	0	  	654	28.29	  	0	0	  	2	0.09	  	230	9.95	  	1164	50.35	  	156	6.75	  	3	0.13	  	3	0.13	  	1	0.04	  	0	0	  	0	0	  	0	0	  	49	2.12	  	34	1.47	  	6	0.26	  	0	0	  	2312	96.94	  	73	3.06	  	2385	3.01
Port Macquarie West		                        	30	0.89	  	2	0.06	  	4	0.12	  	2	0.06	  	6	0.18	  	7	0.21	  	0	0	  	1047	31.07	  	4	0.12	  	0	0	  	448	13.29	  	1518	45.04	  	179	5.31	  	4	0.12	  	8	0.24	  	0	0	  	1	0.03	  	0	0	  	0	0	  	57	1.69	  	42	1.25	  	11	0.33	  	0	0	  	3370	95.41	  	162	4.59	  	3532	4.46
Purfleet		                                   	1	0.63	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	55	34.38	  	0	0	  	0	0	  	14	8.75	  	73	45.63	  	9	5.63	  	1	0.63	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	5	3.13	  	1	0.63	  	1	0.63	  	0	0	  	160	99.38	  	1	0.62	  	161	0.2
Settlement Shores		                          	5	0.44	  	0	0	  	2	0.18	  	1	0.09	  	2	0.18	  	2	0.18	  	1	0.09	  	334	29.56	  	1	0.09	  	0	0	  	117	10.35	  	562	49.73	  	78	6.9	  	1	0.09	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	15	1.33	  	9	0.8	  	0	0	  	0	0	  	1130	95.04	  	59	4.96	  	1189	1.5
Sydney (Lyne)		                              	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	10	23.26	  	0	0	  	0	0	  	2	4.65	  	27	62.79	  	1	2.33	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	6.98	  	0	0	  	0	0	  	43	93.48	  	3	6.52	  	46	0.06
Tacking Point		                              	15	0.55	  	0	0	  	0	0	  	1	0.04	  	3	0.11	  	5	0.18	  	0	0	  	758	28.03	  	0	0	  	3	0.11	  	271	10.02	  	1350	49.93	  	185	6.84	  	0	0	  	8	0.3	  	0	0	  	0	0	  	0	0	  	0	0	  	56	2.07	  	7	0.26	  	42	1.55	  	0	0	  	2704	97.37	  	73	2.63	  	2777	3.51
Taree		                                      	15	0.83	  	1	0.06	  	4	0.22	  	0	0	  	4	0.22	  	5	0.28	  	0	0	  	593	32.96	  	2	0.11	  	0	0	  	257	14.29	  	738	41.02	  	94	5.23	  	3	0.17	  	6	0.33	  	0	0	  	2	0.11	  	1	0.06	  	0	0	  	34	1.89	  	30	1.67	  	9	0.5	  	1	0.06	  	1799	96.51	  	65	3.49	  	1864	2.35
Taree Central		                              	2	0.29	  	0	0	  	1	0.15	  	0	0	  	2	0.29	  	1	0.15	  	0	0	  	179	26.17	  	2	0.29	  	0	0	  	92	13.45	  	327	47.81	  	51	7.46	  	2	0.29	  	2	0.29	  	0	0	  	0	0	  	0	0	  	0	0	  	8	1.17	  	13	1.9	  	2	0.29	  	0	0	  	684	95.13	  	35	4.87	  	719	0.91
Taree Hospital		                             	2	0.84	  	0	0	  	0	0	  	0	0	  	1	0.42	  	1	0.42	  	0	0	  	70	29.41	  	0	0	  	0	0	  	34	14.29	  	101	42.44	  	17	7.14	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	7	2.94	  	5	2.1	  	0	0	  	0	0	  	238	98.35	  	4	1.65	  	242	0.31
Taree North		                                	13	1.05	  	2	0.16	  	2	0.16	  	0	0	  	6	0.49	  	2	0.16	  	0	0	  	501	40.53	  	1	0.08	  	0	0	  	234	18.93	  	383	30.99	  	39	3.16	  	3	0.24	  	2	0.16	  	1	0.08	  	1	0.08	  	0	0	  	0	0	  	33	2.67	  	9	0.73	  	4	0.32	  	0	0	  	1236	96.41	  	46	3.59	  	1282	1.62
Taree West		                                 	11	0.4	  	3	0.11	  	7	0.25	  	2	0.07	  	3	0.11	  	5	0.18	  	2	0.07	  	730	26.23	  	8	0.29	  	3	0.11	  	332	11.93	  	1421	51.06	  	136	4.89	  	9	0.32	  	4	0.14	  	0	0	  	0	0	  	0	0	  	0	0	  	54	1.94	  	39	1.4	  	11	0.4	  	3	0.11	  	2783	96.87	  	90	3.13	  	2873	3.63
Tinonee		                                    	3	0.39	  	0	0	  	3	0.39	  	0	0	  	0	0	  	2	0.26	  	0	0	  	186	24	  	2	0.26	  	1	0.13	  	104	13.42	  	365	47.1	  	70	9.03	  	2	0.26	  	2	0.26	  	1	0.13	  	1	0.13	  	0	0	  	0	0	  	25	3.23	  	6	0.77	  	1	0.13	  	1	0.13	  	775	97.48	  	20	2.52	  	795	1
Tuncurry		                                   	22	0.66	  	1	0.03	  	7	0.21	  	0	0	  	1	0.03	  	2	0.06	  	2	0.06	  	1190	35.78	  	3	0.09	  	2	0.06	  	448	13.47	  	1446	43.48	  	132	3.97	  	6	0.18	  	4	0.12	  	1	0.03	  	3	0.09	  	0	0	  	0	0	  	19	0.57	  	23	0.69	  	13	0.39	  	1	0.03	  	3326	94.57	  	191	5.43	  	3517	4.44
Upper Lansdowne		                            	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.76	  	0	0	  	35	26.52	  	0	0	  	0	0	  	29	21.97	  	50	37.88	  	16	12.12	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.76	  	0	0	  	0	0	  	132	97.78	  	3	2.22	  	135	0.17
Wauchope		                                   	18	1.07	  	0	0	  	4	0.24	  	1	0.06	  	10	0.59	  	4	0.24	  	2	0.12	  	467	27.7	  	5	0.3	  	0	0	  	225	13.35	  	795	47.15	  	81	4.8	  	4	0.24	  	4	0.24	  	0	0	  	1	0.06	  	0	0	  	0	0	  	29	1.72	  	28	1.66	  	7	0.42	  	1	0.06	  	1686	96.01	  	70	3.99	  	1756	2.22
Wauchope South		                             	9	0.63	  	0	0	  	4	0.28	  	0	0	  	3	0.21	  	7	0.49	  	1	0.07	  	403	28.24	  	2	0.14	  	1	0.07	  	215	15.07	  	677	47.44	  	61	4.27	  	0	0	  	6	0.42	  	0	0	  	1	0.07	  	0	0	  	0	0	  	22	1.54	  	10	0.7	  	5	0.35	  	0	0	  	1427	95.26	  	71	4.74	  	1498	1.89
Wherrol Flat		                               	1	0.58	  	1	0.58	  	0	0	  	0	0	  	0	0	  	2	1.17	  	0	0	  	41	23.98	  	0	0	  	0	0	  	19	11.11	  	73	42.69	  	17	9.94	  	0	0	  	1	0.58	  	1	0.58	  	0	0	  	0	0	  	0	0	  	9	5.26	  	6	3.51	  	0	0	  	0	0	  	171	97.16	  	5	2.84	  	176	0.22
Wingham		                                    	11	0.75	  	0	0	  	2	0.14	  	1	0.07	  	6	0.41	  	3	0.2	  	0	0	  	431	29.34	  	6	0.41	  	0	0	  	232	15.79	  	637	43.36	  	82	5.58	  	1	0.07	  	4	0.27	  	0	0	  	3	0.2	  	1	0.07	  	1	0.07	  	23	1.57	  	21	1.43	  	4	0.27	  	0	0	  	1469	96.01	  	61	3.99	  	1530	1.93
Wingham West		                               	10	0.58	  	1	0.06	  	3	0.17	  	0	0	  	5	0.29	  	5	0.29	  	0	0	  	519	30.03	  	12	0.69	  	1	0.06	  	273	15.8	  	762	44.1	  	61	3.53	  	3	0.17	  	6	0.35	  	0	0	  	1	0.06	  	1	0.06	  	0	0	  	33	1.91	  	21	1.22	  	10	0.58	  	1	0.06	  	1728	95.84	  	75	4.16	  	1803	2.28
Special Hospitals		                          	8	1.2	  	1	0.15	  	0	0	  	0	0	  	1	0.15	  	0	0	  	0	0	  	193	29.07	  	2	0.3	  	2	0.3	  	39	5.87	  	390	58.73	  	13	1.96	  	2	0.3	  	0	0	  	1	0.15	  	0	0	  	0	0	  	0	0	  	6	0.9	  	3	0.45	  	3	0.45	  	0	0	  	664	94.32	  	40	5.68	  	704	0.89
Total Ordinary		                             	425	0.68	  	32	0.05	  	109	0.17	  	15	0.02	  	95	0.15	  	116	0.18	  	20	0.03	  	19562	31.1	  	89	0.14	  	28	0.04	  	8408	13.37	  	28072	44.63	  	3414	5.43	  	112	0.18	  	119	0.19	  	6	0.01	  	22	0.03	  	3	0	  	5	0.01	  	1075	1.71	  	920	1.46	  	239	0.38	  	18	0.03	  	62904	96.11	  	2549	3.89	  	65453	82.67
ABSENT		                                     	36	0.75	  	2	0.04	  	13	0.27	  	1	0.02	  	11	0.23	  	8	0.17	  	1	0.02	  	1530	31.87	  	6	0.12	  	2	0.04	  	584	12.16	  	2005	41.76	  	295	6.14	  	5	0.1	  	15	0.31	  	0	0	  	1	0.02	  	0	0	  	1	0.02	  	103	2.15	  	155	3.23	  	24	0.5	  	3	0.06	  	4801	98.18	  	89	1.82	  	4890	6.18
POSTAL		                                     	12	0.68	  	0	0	  	2	0.11	  	0	0	  	6	0.34	  	2	0.11	  	0	0	  	432	24.34	  	0	0	  	0	0	  	262	14.76	  	867	48.85	  	110	6.2	  	6	0.34	  	6	0.34	  	0	0	  	0	0	  	0	0	  	1	0.06	  	37	2.08	  	24	1.35	  	7	0.39	  	1	0.06	  	1775	99.05	  	17	0.95	  	1792	2.26
PRE_POLL		                                   	30	0.5	  	5	0.08	  	14	0.24	  	3	0.05	  	6	0.1	  	6	0.1	  	1	0.02	  	1639	27.57	  	6	0.1	  	0	0	  	815	13.71	  	2819	47.43	  	312	5.25	  	8	0.13	  	10	0.17	  	0	0	  	5	0.08	  	1	0.02	  	0	0	  	122	2.05	  	112	1.88	  	26	0.44	  	4	0.07	  	5944	98.22	  	108	1.78	  	6052	7.64
PROVISIONAL		                                	18	1.88	  	0	0	  	10	1.04	  	0	0	  	5	0.52	  	4	0.42	  	2	0.21	  	347	36.15	  	0	0	  	1	0.1	  	144	15	  	316	32.92	  	46	4.79	  	2	0.21	  	4	0.42	  	1	0.1	  	0	0	  	1	0.1	  	0	0	  	25	2.6	  	27	2.81	  	7	0.73	  	0	0	  	960	97.26	  	27	2.74	  	987	1.25
Division Summary		                           	521	0.68	  	39	0.05	  	148	0.19	  	19	0.02	  	123	0.16	  	136	0.18	  	24	0.03	  	23510	30.78	  	101	0.13	  	31	0.04	  	10213	13.37	  	34079	44.62	  	4177	5.47	  	133	0.17	  	154	0.2	  	7	0.01	  	28	0.04	  	5	0.01	  	7	0.01	  	1362	1.78	  	1238	1.62	  	303	0.4	  	26	0.03	  	76384	96.48	  	2790	3.52	  	79174	96.3


Macarthur (91700)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Airds (Macarthur)		                          	0	0	  	0	0	  	0	0	  	0	0	  	2	1.54	  	1	0.77	  	2	1.54	  	69	53.08	  	0	0	  	0	0	  	16	12.31	  	33	25.38	  	4	3.08	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	2.31	  	0	0	  	0	0	  	0	0	  	130	92.2	  	11	7.8	  	141	0.16
Ambarvale		                                  	26	0.81	  	4	0.13	  	3	0.09	  	0	0	  	3	0.09	  	5	0.16	  	8	0.25	  	1414	44.3	  	0	0	  	0	0	  	338	10.59	  	1041	32.61	  	193	6.05	  	3	0.09	  	6	0.19	  	0	0	  	3	0.09	  	0	0	  	0	0	  	53	1.66	  	64	2.01	  	28	0.88	  	0	0	  	3192	96.76	  	107	3.24	  	3299	3.75
Ambarvale West		                             	10	0.6	  	2	0.12	  	2	0.12	  	0	0	  	0	0	  	2	0.12	  	7	0.42	  	754	45.5	  	1	0.06	  	2	0.12	  	166	10.02	  	532	32.11	  	95	5.73	  	0	0	  	4	0.24	  	0	0	  	0	0	  	1	0.06	  	2	0.12	  	20	1.21	  	40	2.41	  	15	0.91	  	2	0.12	  	1657	97.13	  	49	2.87	  	1706	1.94
Appin		                                      	5	0.59	  	2	0.24	  	1	0.12	  	0	0	  	0	0	  	4	0.47	  	2	0.24	  	279	33.1	  	1	0.12	  	0	0	  	115	13.64	  	318	37.72	  	84	9.96	  	1	0.12	  	2	0.24	  	0	0	  	0	0	  	0	0	  	0	0	  	10	1.19	  	14	1.66	  	5	0.59	  	0	0	  	843	96.79	  	28	3.21	  	871	0.99
Austral		                                    	26	1.68	  	5	0.32	  	3	0.19	  	1	0.06	  	3	0.19	  	3	0.19	  	4	0.26	  	479	31.02	  	5	0.32	  	0	0	  	223	14.44	  	633	41	  	66	4.27	  	0	0	  	4	0.26	  	0	0	  	0	0	  	0	0	  	1	0.06	  	38	2.46	  	22	1.42	  	27	1.75	  	1	0.06	  	1544	94.26	  	94	5.74	  	1638	1.86
Badgerys Creek		                             	3	1.45	  	0	0	  	2	0.97	  	0	0	  	0	0	  	0	0	  	0	0	  	72	34.78	  	1	0.48	  	1	0.48	  	25	12.08	  	86	41.55	  	9	4.35	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	1.93	  	4	1.93	  	0	0	  	207	94.52	  	12	5.48	  	219	0.25
Bargo		                                      	11	0.71	  	4	0.26	  	3	0.19	  	0	0	  	4	0.26	  	0	0	  	3	0.19	  	615	39.65	  	0	0	  	1	0.06	  	235	15.15	  	523	33.72	  	82	5.29	  	0	0	  	3	0.19	  	0	0	  	0	0	  	0	0	  	1	0.06	  	21	1.35	  	41	2.64	  	4	0.26	  	0	0	  	1551	97.12	  	46	2.88	  	1597	1.82
Berrima		                                    	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	91	22.25	  	0	0	  	0	0	  	42	10.27	  	227	55.5	  	33	8.07	  	1	0.24	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	9	2.2	  	6	1.47	  	0	0	  	0	0	  	409	97.61	  	10	2.39	  	419	0.48
Bowral		                                     	10	0.38	  	0	0	  	4	0.15	  	0	0	  	2	0.08	  	4	0.15	  	2	0.08	  	492	18.87	  	1	0.04	  	1	0.04	  	139	5.33	  	1467	56.25	  	296	11.35	  	7	0.27	  	7	0.27	  	0	0	  	1	0.04	  	0	0	  	0	0	  	76	2.91	  	88	3.37	  	11	0.42	  	0	0	  	2608	97.5	  	67	2.5	  	2675	3.04
Bowral South		                               	8	0.47	  	0	0	  	1	0.06	  	0	0	  	1	0.06	  	1	0.06	  	2	0.12	  	443	25.85	  	0	0	  	1	0.06	  	104	6.07	  	884	51.58	  	165	9.63	  	2	0.12	  	2	0.12	  	0	0	  	0	0	  	0	0	  	0	0	  	47	2.74	  	37	2.16	  	14	0.82	  	2	0.12	  	1714	96.84	  	56	3.16	  	1770	2.01
Bradbury (Macarthur)		                       	26	0.77	  	5	0.15	  	3	0.09	  	0	0	  	8	0.24	  	11	0.33	  	7	0.21	  	1220	36.18	  	5	0.15	  	2	0.06	  	417	12.37	  	1214	36	  	274	8.13	  	11	0.33	  	18	0.53	  	0	0	  	2	0.06	  	0	0	  	1	0.03	  	54	1.6	  	69	2.05	  	23	0.68	  	2	0.06	  	3372	97.04	  	103	2.96	  	3475	3.96
Bradbury East		                              	4	1.02	  	1	0.26	  	2	0.51	  	0	0	  	0	0	  	0	0	  	2	0.51	  	190	48.47	  	0	0	  	0	0	  	52	13.27	  	101	25.77	  	26	6.63	  	1	0.26	  	1	0.26	  	0	0	  	0	0	  	0	0	  	0	0	  	4	1.02	  	6	1.53	  	2	0.51	  	0	0	  	392	98.74	  	5	1.26	  	397	0.45
Bradbury South		                             	7	0.4	  	4	0.23	  	1	0.06	  	0	0	  	0	0	  	1	0.06	  	9	0.51	  	719	41.06	  	0	0	  	2	0.11	  	232	13.25	  	582	33.24	  	97	5.54	  	1	0.06	  	4	0.23	  	1	0.06	  	1	0.06	  	0	0	  	1	0.06	  	21	1.2	  	50	2.86	  	18	1.03	  	0	0	  	1751	97.01	  	54	2.99	  	1805	2.05
Bringelly		                                  	11	1	  	7	0.64	  	0	0	  	0	0	  	0	0	  	3	0.27	  	2	0.18	  	301	27.44	  	3	0.27	  	2	0.18	  	169	15.41	  	505	46.03	  	57	5.2	  	1	0.09	  	3	0.27	  	0	0	  	0	0	  	0	0	  	0	0	  	10	0.91	  	17	1.55	  	5	0.46	  	1	0.09	  	1097	95.23	  	55	4.77	  	1152	1.31
