Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Huntingdale		                                	375	11.78	  	6	0.19	  	10	0.31	  	10	0.31	  	1077	33.84	  	0	0	  	3	0.09	  	5	0.16	  	2	0.06	  	1270	39.9	  	9	0.28	  	69	2.17	  	106	3.33	  	4	0.13	  	4	0.13	  	230	7.23	  	1	0.03	  	2	0.06	  	3183	98.12	  	61	1.88	  	3244	4.24
Jarrahdale		                                 	72	19.2	  	3	0.8	  	4	1.07	  	0	0	  	98	26.13	  	0	0	  	0	0	  	2	0.53	  	0	0	  	140	37.33	  	2	0.53	  	2	0.53	  	30	8	  	1	0.27	  	0	0	  	19	5.07	  	2	0.53	  	0	0	  	375	94.22	  	23	5.78	  	398	0.52
Kalbarri (Canning)		                         	9	12.5	  	1	1.39	  	0	0	  	1	1.39	  	33	45.83	  	0	0	  	0	0	  	0	0	  	1	1.39	  	19	26.39	  	0	0	  	3	4.17	  	3	4.17	  	0	0	  	0	0	  	2	2.78	  	0	0	  	0	0	  	72	100	  	0	0	  	72	0.09
Kelmscott		                                  	255	13.9	  	10	0.55	  	0	0	  	3	0.16	  	492	26.83	  	1	0.05	  	0	0	  	3	0.16	  	2	0.11	  	827	45.09	  	4	0.22	  	37	2.02	  	101	5.51	  	1	0.05	  	1	0.05	  	96	5.23	  	0	0	  	1	0.05	  	1834	97.61	  	45	2.39	  	1879	2.45
Kelmscott East		                             	239	11.49	  	4	0.19	  	8	0.38	  	3	0.14	  	870	41.83	  	1	0.05	  	1	0.05	  	1	0.05	  	1	0.05	  	566	27.21	  	5	0.24	  	47	2.26	  	149	7.16	  	10	0.48	  	2	0.1	  	171	8.22	  	2	0.1	  	0	0	  	2080	97.84	  	46	2.16	  	2126	2.78
Kelmscott North		                            	184	13.11	  	5	0.36	  	7	0.5	  	5	0.36	  	500	35.61	  	1	0.07	  	1	0.07	  	2	0.14	  	2	0.14	  	499	35.54	  	5	0.36	  	19	1.35	  	66	4.7	  	2	0.14	  	1	0.07	  	102	7.26	  	3	0.21	  	0	0	  	1404	97.7	  	33	2.3	  	1437	1.88
Kenwick		                                    	309	14.34	  	7	0.32	  	9	0.42	  	3	0.14	  	635	29.47	  	1	0.05	  	6	0.28	  	6	0.28	  	3	0.14	  	906	42.04	  	3	0.14	  	47	2.18	  	104	4.83	  	2	0.09	  	4	0.19	  	110	5.1	  	0	0	  	0	0	  	2155	96.9	  	69	3.1	  	2224	2.91
Maddington		                                 	425	14.3	  	15	0.5	  	10	0.34	  	7	0.24	  	783	26.34	  	1	0.03	  	24	0.81	  	7	0.24	  	4	0.13	  	1356	45.61	  	13	0.44	  	44	1.48	  	130	4.37	  	1	0.03	  	3	0.1	  	147	4.94	  	2	0.07	  	1	0.03	  	2973	96.4	  	111	3.6	  	3084	4.03
Maddington East		                            	130	15.33	  	5	0.59	  	2	0.24	  	5	0.59	  	248	29.25	  	0	0	  	0	0	  	2	0.24	  	0	0	  	366	43.16	  	2	0.24	  	5	0.59	  	46	5.42	  	2	0.24	  	0	0	  	34	4.01	  	1	0.12	  	0	0	  	848	97.7	  	20	2.3	  	868	1.13
Maddington North		                           	99	14.64	  	6	0.89	  	1	0.15	  	0	0	  	221	32.69	  	0	0	  	1	0.15	  	2	0.3	  	0	0	  	287	42.46	  	3	0.44	  	0	0	  	27	3.99	  	2	0.3	  	0	0	  	26	3.85	  	0	0	  	1	0.15	  	676	96.3	  	26	3.7	  	702	0.92
Mundijong		                                  	140	16.63	  	3	0.36	  	3	0.36	  	0	0	  	328	38.95	  	1	0.12	  	2	0.24	  	2	0.24	  	1	0.12	  	255	30.29	  	2	0.24	  	5	0.59	  	48	5.7	  	1	0.12	  	2	0.24	  	47	5.58	  	1	0.12	  	1	0.12	  	842	97.23	  	24	2.77	  	866	1.13
North Dandalup		                             	27	9.25	  	3	1.03	  	4	1.37	  	0	0	  	125	42.81	  	0	0	  	0	0	  	0	0	  	2	0.68	  	100	34.25	  	1	0.34	  	8	2.74	  	8	2.74	  	3	1.03	  	0	0	  	11	3.77	  	0	0	  	0	0	  	292	96.69	  	10	3.31	  	302	0.39
Oakford		                                    	147	16.67	  	1	0.11	  	3	0.34	  	0	0	  	414	46.94	  	1	0.11	  	0	0	  	1	0.11	  	0	0	  	241	27.32	  	1	0.11	  	5	0.57	  	34	3.85	  	1	0.11	  	2	0.23	  	31	3.51	  	0	0	  	0	0	  	882	98.55	  	13	1.45	  	895	1.17
Perth (Canning)		                            	12	14.46	  	0	0	  	0	0	  	0	0	  	25	30.12	  	0	0	  	1	1.2	  	1	1.2	  	0	0	  	29	34.94	  	0	0	  	2	2.41	  	8	9.64	  	0	0	  	0	0	  	5	6.02	  	0	0	  	0	0	  	83	100	  	0	0	  	83	0.11
Pinjarra		                                   	267	18.44	  	7	0.48	  	7	0.48	  	3	0.21	  	543	37.5	  	0	0	  	0	0	  	4	0.28	  	7	0.48	  	480	33.15	  	6	0.41	  	33	2.28	  	46	3.18	  	0	0	  	1	0.07	  	43	2.97	  	0	0	  	1	0.07	  	1448	95.51	  	68	4.49	  	1516	1.98
Rottnest (Canning)		                         	2	6.06	  	0	0	  	0	0	  	0	0	  	18	54.55	  	0	0	  	0	0	  	0	0	  	0	0	  	8	24.24	  	0	0	  	0	0	  	4	12.12	  	0	0	  	0	0	  	1	3.03	  	0	0	  	0	0	  	33	100	  	0	0	  	33	0.04
Serpentine		                                 	180	19.4	  	4	0.43	  	9	0.97	  	0	0	  	424	45.69	  	0	0	  	0	0	  	0	0	  	0	0	  	215	23.17	  	2	0.22	  	8	0.86	  	39	4.2	  	0	0	  	2	0.22	  	45	4.85	  	0	0	  	0	0	  	928	97.79	  	21	2.21	  	949	1.24
Strawberry Fields		                          	314	14.56	  	11	0.51	  	5	0.23	  	5	0.23	  	575	26.66	  	2	0.09	  	1	0.05	  	12	0.56	  	5	0.23	  	963	44.65	  	12	0.56	  	48	2.23	  	96	4.45	  	0	0	  	1	0.05	  	107	4.96	  	0	0	  	0	0	  	2157	97.16	  	63	2.84	  	2220	2.9
Thornlie (Canning)		                         	379	10.88	  	6	0.17	  	6	0.17	  	8	0.23	  	1231	35.35	  	1	0.03	  	5	0.14	  	6	0.17	  	1	0.03	  	1408	40.44	  	9	0.26	  	72	2.07	  	124	3.56	  	3	0.09	  	2	0.06	  	218	6.26	  	3	0.09	  	0	0	  	3482	98.22	  	63	1.78	  	3545	4.63
Thornlie East		                              	382	12.99	  	12	0.41	  	9	0.31	  	9	0.31	  	955	32.47	  	2	0.07	  	8	0.27	  	8	0.27	  	6	0.2	  	1146	38.97	  	10	0.34	  	62	2.11	  	138	4.69	  	3	0.1	  	1	0.03	  	189	6.43	  	0	0	  	1	0.03	  	2941	96.81	  	97	3.19	  	3038	3.97
Thornlie South (Canning)		                   	26	10.88	  	0	0	  	1	0.42	  	0	0	  	87	36.4	  	1	0.42	  	0	0	  	2	0.84	  	0	0	  	103	43.1	  	0	0	  	7	2.93	  	7	2.93	  	0	0	  	0	0	  	5	2.09	  	0	0	  	0	0	  	239	97.95	  	5	2.05	  	244	0.32
Thornlie West (Canning)		                    	128	10.65	  	4	0.33	  	3	0.25	  	2	0.17	  	411	34.19	  	1	0.08	  	0	0	  	4	0.33	  	3	0.25	  	504	41.93	  	2	0.17	  	17	1.41	  	53	4.41	  	2	0.17	  	2	0.17	  	64	5.32	  	2	0.17	  	0	0	  	1202	96.62	  	42	3.38	  	1244	1.63
Westfield		                                  	185	13.34	  	7	0.5	  	3	0.22	  	4	0.29	  	396	28.55	  	1	0.07	  	1	0.07	  	0	0	  	3	0.22	  	632	45.57	  	1	0.07	  	27	1.95	  	65	4.69	  	2	0.14	  	1	0.07	  	56	4.04	  	1	0.07	  	2	0.14	  	1387	97.81	  	31	2.19	  	1418	1.85
Westfield South		                            	254	14.59	  	5	0.29	  	5	0.29	  	4	0.23	  	397	22.8	  	0	0	  	2	0.11	  	2	0.11	  	1	0.06	  	837	48.08	  	9	0.52	  	34	1.95	  	81	4.65	  	5	0.29	  	2	0.11	  	101	5.8	  	1	0.06	  	1	0.06	  	1741	97.75	  	40	2.25	  	1781	2.33
Wungong		                                    	205	14.64	  	8	0.57	  	4	0.29	  	1	0.07	  	320	22.86	  	1	0.07	  	4	0.29	  	6	0.43	  	3	0.21	  	687	49.07	  	9	0.64	  	36	2.57	  	56	4	  	0	0	  	0	0	  	60	4.29	  	0	0	  	0	0	  	1400	98.73	  	18	1.27	  	1418	1.85
Yunderup		                                   	145	18.28	  	0	0	  	0	0	  	1	0.13	  	377	47.54	  	0	0	  	2	0.25	  	2	0.25	  	2	0.25	  	205	25.85	  	5	0.63	  	5	0.63	  	17	2.14	  	2	0.25	  	1	0.13	  	29	3.66	  	0	0	  	0	0	  	793	97.66	  	19	2.34	  	812	1.06
Yunderup North		                             	79	26.33	  	0	0	  	0	0	  	1	0.33	  	121	40.33	  	0	0	  	0	0	  	0	0	  	0	0	  	75	25	  	0	0	  	0	0	  	18	6	  	0	0	  	0	0	  	6	2	  	0	0	  	0	0	  	300	97.72	  	7	2.28	  	307	0.4
Special Hospitals		                          	50	13.93	  	1	0.28	  	3	0.84	  	0	0	  	153	42.62	  	0	0	  	1	0.28	  	1	0.28	  	0	0	  	131	36.49	  	3	0.84	  	7	1.95	  	1	0.28	  	0	0	  	2	0.56	  	6	1.67	  	0	0	  	0	0	  	359	96.51	  	13	3.49	  	372	0.49
Total Ordinary		                             	9146	14.25	  	222	0.35	  	201	0.31	  	119	0.19	  	21315	33.21	  	30	0.05	  	96	0.15	  	129	0.2	  	96	0.15	  	24944	38.86	  	235	0.37	  	1164	1.81	  	2943	4.59	  	103	0.16	  	84	0.13	  	3306	5.15	  	32	0.05	  	22	0.03	  	64187	97.35	  	1746	2.65	  	65933	86.14
ABSENT		                                     	847	15.89	  	30	0.56	  	24	0.45	  	15	0.28	  	1684	31.6	  	1	0.02	  	10	0.19	  	17	0.32	  	7	0.13	  	1927	36.16	  	27	0.51	  	92	1.73	  	354	6.64	  	15	0.28	  	3	0.06	  	265	4.97	  	8	0.15	  	3	0.06	  	5329	98.12	  	102	1.88	  	5431	7.1
POSTAL		                                     	339	16.88	  	5	0.25	  	12	0.6	  	3	0.15	  	755	37.6	  	1	0.05	  	2	0.1	  	3	0.15	  	7	0.35	  	640	31.87	  	2	0.1	  	37	1.84	  	82	4.08	  	3	0.15	  	6	0.3	  	108	5.38	  	3	0.15	  	0	0	  	2008	99.5	  	10	0.5	  	2018	2.64
PRE_POLL		                                   	363	15.13	  	15	0.63	  	21	0.88	  	4	0.17	  	841	35.04	  	0	0	  	2	0.08	  	4	0.17	  	1	0.04	  	890	37.08	  	8	0.33	  	38	1.58	  	97	4.04	  	5	0.21	  	5	0.21	  	103	4.29	  	2	0.08	  	1	0.04	  	2400	99.05	  	23	0.95	  	2423	3.17
PROVISIONAL		                                	107	14.84	  	8	1.11	  	4	0.55	  	2	0.28	  	189	26.21	  	0	0	  	6	0.83	  	1	0.14	  	1	0.14	  	326	45.21	  	3	0.42	  	7	0.97	  	46	6.38	  	2	0.28	  	0	0	  	19	2.64	  	0	0	  	0	0	  	721	97.3	  	20	2.7	  	741	0.97
Division Summary		                           	10802	14.47	  	280	0.38	  	262	0.35	  	143	0.19	  	24784	33.2	  	32	0.04	  	116	0.16	  	154	0.21	  	112	0.15	  	28727	38.48	  	275	0.37	  	1338	1.79	  	3522	4.72	  	128	0.17	  	98	0.13	  	3801	5.09	  	45	0.06	  	26	0.03	  	74645	97.52	  	1901	2.48	  	76546	95.65


Cowan (77186)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alexander Heights		                          	212	9.13	  	6	0.26	  	3	0.13	  	3	0.13	  	875	37.7	  	1	0.04	  	5	0.22	  	7	0.3	  	3	0.13	  	919	39.6	  	7	0.3	  	36	1.55	  	77	3.32	  	2	0.09	  	1	0.04	  	161	6.94	  	2	0.09	  	1	0.04	  	2321	97.93	  	49	2.07	  	2370	3.18
Alexander Heights West		                     	127	9.55	  	0	0	  	4	0.3	  	1	0.08	  	424	31.88	  	1	0.08	  	1	0.08	  	1	0.08	  	0	0	  	613	46.09	  	5	0.38	  	14	1.05	  	58	4.36	  	0	0	  	2	0.15	  	77	5.79	  	1	0.08	  	1	0.08	  	1330	98.08	  	26	1.92	  	1356	1.82
Ballajura		                                  	176	8.12	  	13	0.6	  	4	0.18	  	3	0.14	  	848	39.11	  	1	0.05	  	3	0.14	  	2	0.09	  	1	0.05	  	886	40.87	  	12	0.55	  	30	1.38	  	75	3.46	  	3	0.14	  	3	0.14	  	106	4.89	  	2	0.09	  	0	0	  	2168	97.26	  	61	2.74	  	2229	2.99
Ballajura Central		                          	361	7.74	  	13	0.28	  	9	0.19	  	10	0.21	  	1718	36.83	  	1	0.02	  	13	0.28	  	12	0.26	  	5	0.11	  	2014	43.17	  	13	0.28	  	30	0.64	  	168	3.6	  	2	0.04	  	6	0.13	  	286	6.13	  	3	0.06	  	1	0.02	  	4665	97.43	  	123	2.57	  	4788	6.42
Ballajura South		                            	226	8.82	  	9	0.35	  	6	0.23	  	3	0.12	  	752	29.35	  	0	0	  	4	0.16	  	6	0.23	  	1	0.04	  	1303	50.86	  	9	0.35	  	20	0.78	  	89	3.47	  	6	0.23	  	6	0.23	  	118	4.61	  	3	0.12	  	1	0.04	  	2562	97.16	  	75	2.84	  	2637	3.53
Beechboro West (Cowan)		                     	5	3.11	  	0	0	  	2	1.24	  	0	0	  	47	29.19	  	0	0	  	0	0	  	0	0	  	0	0	  	88	54.66	  	2	1.24	  	2	1.24	  	5	3.11	  	0	0	  	1	0.62	  	9	5.59	  	0	0	  	0	0	  	161	96.99	  	5	3.01	  	166	0.22
Broome (Cowan)		                             	3	6.82	  	0	0	  	0	0	  	0	0	  	22	50	  	0	0	  	0	0	  	1	2.27	  	0	0	  	14	31.82	  	0	0	  	0	0	  	3	6.82	  	0	0	  	0	0	  	1	2.27	  	0	0	  	0	0	  	44	100	  	0	0	  	44	0.06
Camboon		                                    	163	6.38	  	9	0.35	  	4	0.16	  	3	0.12	  	1123	43.97	  	1	0.04	  	12	0.47	  	3	0.12	  	0	0	  	955	37.39	  	7	0.27	  	23	0.9	  	84	3.29	  	9	0.35	  	3	0.12	  	154	6.03	  	1	0.04	  	0	0	  	2554	96.16	  	102	3.84	  	2656	3.56
Carnarvon (Cowan)		                          	4	17.39	  	0	0	  	0	0	  	0	0	  	10	43.48	  	0	0	  	0	0	  	0	0	  	0	0	  	8	34.78	  	0	0	  	0	0	  	1	4.35	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	23	95.83	  	1	4.17	  	24	0.03
Exmouth (Cowan)		                            	3	8.82	  	1	2.94	  	1	2.94	  	0	0	  	14	41.18	  	0	0	  	0	0	  	0	0	  	0	0	  	10	29.41	  	0	0	  	0	0	  	2	5.88	  	0	0	  	0	0	  	2	5.88	  	1	2.94	  	0	0	  	34	94.44	  	2	5.56	  	36	0.05
Girrawheen		                                 	214	10.12	  	7	0.33	  	2	0.09	  	7	0.33	  	357	16.88	  	4	0.19	  	7	0.33	  	6	0.28	  	3	0.14	  	1322	62.51	  	10	0.47	  	22	1.04	  	58	2.74	  	2	0.09	  	1	0.05	  	90	4.26	  	3	0.14	  	0	0	  	2115	96.31	  	81	3.69	  	2196	2.94
Girrawheen Central		                         	75	12.89	  	2	0.34	  	1	0.17	  	1	0.17	  	99	17.01	  	1	0.17	  	8	1.37	  	0	0	  	1	0.17	  	352	60.48	  	5	0.86	  	3	0.52	  	18	3.09	  	0	0	  	1	0.17	  	15	2.58	  	0	0	  	0	0	  	582	97.82	  	13	2.18	  	595	0.8
Girrawheen East		                            	124	7.53	  	6	0.36	  	4	0.24	  	4	0.24	  	272	16.52	  	1	0.06	  	4	0.24	  	1	0.06	  	2	0.12	  	1081	65.67	  	4	0.24	  	19	1.15	  	59	3.58	  	4	0.24	  	0	0	  	59	3.58	  	2	0.12	  	0	0	  	1646	94.71	  	92	5.29	  	1738	2.33
Greenwood		                                  	261	7.25	  	9	0.25	  	9	0.25	  	6	0.17	  	1518	42.15	  	1	0.03	  	2	0.06	  	7	0.19	  	4	0.11	  	1167	32.41	  	14	0.39	  	61	1.69	  	198	5.5	  	8	0.22	  	3	0.08	  	333	9.25	  	0	0	  	0	0	  	3601	97.88	  	78	2.12	  	3679	4.93
Greenwood East		                             	68	8.43	  	2	0.25	  	3	0.37	  	1	0.12	  	293	36.31	  	0	0	  	4	0.5	  	1	0.12	  	3	0.37	  	312	38.66	  	3	0.37	  	6	0.74	  	56	6.94	  	1	0.12	  	1	0.12	  	52	6.44	  	1	0.12	  	0	0	  	807	97.11	  	24	2.89	  	831	1.11
Greenwood West		                             	168	8.85	  	5	0.26	  	1	0.05	  	3	0.16	  	757	39.88	  	0	0	  	2	0.11	  	4	0.21	  	2	0.11	  	633	33.35	  	9	0.47	  	12	0.63	  	116	6.11	  	4	0.21	  	5	0.26	  	177	9.33	  	0	0	  	0	0	  	1898	97.63	  	46	2.37	  	1944	2.61
Hampton Park (Cowan)		                       	92	9.21	  	6	0.6	  	0	0	  	0	0	  	370	37.04	  	1	0.1	  	5	0.5	  	2	0.2	  	2	0.2	  	401	40.14	  	3	0.3	  	12	1.2	  	35	3.5	  	3	0.3	  	2	0.2	  	64	6.41	  	1	0.1	  	0	0	  	999	96.15	  	40	3.85	  	1039	1.39
Kalbarri (Cowan)		                           	6	8.11	  	0	0	  	0	0	  	0	0	  	33	44.59	  	0	0	  	0	0	  	1	1.35	  	1	1.35	  	22	29.73	  	0	0	  	0	0	  	5	6.76	  	0	0	  	1	1.35	  	5	6.76	  	0	0	  	0	0	  	74	100	  	0	0	  	74	0.1
Kingsley		                                   	304	7.98	  	6	0.16	  	5	0.13	  	1	0.03	  	1709	44.88	  	0	0	  	2	0.05	  	5	0.13	  	3	0.08	  	1206	31.67	  	14	0.37	  	39	1.02	  	206	5.41	  	7	0.18	  	1	0.03	  	298	7.83	  	0	0	  	2	0.05	  	3808	98.12	  	73	1.88	  	3881	5.2
Kingsley East		                              	72	5.93	  	0	0	  	3	0.25	  	1	0.08	  	563	46.38	  	1	0.08	  	1	0.08	  	1	0.08	  	0	0	  	366	30.15	  	6	0.49	  	7	0.58	  	61	5.02	  	3	0.25	  	2	0.16	  	126	10.38	  	1	0.08	  	0	0	  	1214	98.78	  	15	1.22	  	1229	1.65
Kingsley South		                             	161	6.37	  	7	0.28	  	7	0.28	  	4	0.16	  	1185	46.88	  	4	0.16	  	6	0.24	  	1	0.04	  	3	0.12	  	798	31.57	  	9	0.36	  	20	0.79	  	96	3.8	  	6	0.24	  	1	0.04	  	217	8.58	  	2	0.08	  	1	0.04	  	2528	97.87	  	55	2.13	  	2583	3.46
Koondoola		                                  	220	10.29	  	4	0.19	  	7	0.33	  	3	0.14	  	413	19.32	  	2	0.09	  	6	0.28	  	3	0.14	  	0	0	  	1273	59.54	  	11	0.51	  	25	1.17	  	100	4.68	  	0	0	  	3	0.14	  	67	3.13	  	1	0.05	  	0	0	  	2138	96.26	  	83	3.74	  	2221	2.98
Landsdale		                                  	62	7.28	  	1	0.12	  	2	0.23	  	1	0.12	  	358	42.02	  	0	0	  	2	0.23	  	0	0	  	0	0	  	311	36.5	  	5	0.59	  	18	2.11	  	26	3.05	  	1	0.12	  	0	0	  	64	7.51	  	1	0.12	  	0	0	  	852	98.5	  	13	1.5	  	865	1.16
Marangaroo		                                 	225	9.16	  	5	0.2	  	4	0.16	  	6	0.24	  	745	30.33	  	4	0.16	  	10	0.41	  	4	0.16	  	7	0.29	  	1212	49.35	  	11	0.45	  	32	1.3	  	66	2.69	  	5	0.2	  	2	0.08	  	114	4.64	  	2	0.08	  	2	0.08	  	2456	96.62	  	86	3.38	  	2542	3.41
Marangaroo Central		                         	252	9.2	  	7	0.26	  	3	0.11	  	7	0.26	  	769	28.09	  	3	0.11	  	13	0.47	  	6	0.22	  	7	0.26	  	1408	51.42	  	6	0.22	  	52	1.9	  	87	3.18	  	2	0.07	  	4	0.15	  	111	4.05	  	0	0	  	1	0.04	  	2738	97.82	  	61	2.18	  	2799	3.75
Morley North		                               	143	10.55	  	2	0.15	  	4	0.29	  	4	0.29	  	497	36.65	  	3	0.22	  	1	0.07	  	1	0.07	  	5	0.37	  	516	38.05	  	4	0.29	  	7	0.52	  	65	4.79	  	4	0.29	  	3	0.22	  	95	7.01	  	1	0.07	  	1	0.07	  	1356	95.97	  	57	4.03	  	1413	1.89
Noranda		                                    	139	6.09	  	3	0.13	  	5	0.22	  	4	0.18	  	879	38.52	  	0	0	  	6	0.26	  	0	0	  	7	0.31	  	976	42.77	  	5	0.22	  	21	0.92	  	82	3.59	  	3	0.13	  	8	0.35	  	143	6.27	  	0	0	  	1	0.04	  	2282	96.12	  	92	3.88	  	2374	3.18
Noranda West (Cowan)		                       	68	5.4	  	1	0.08	  	1	0.08	  	4	0.32	  	574	45.56	  	0	0	  	6	0.48	  	0	0	  	1	0.08	  	462	36.67	  	3	0.24	  	7	0.56	  	46	3.65	  	0	0	  	1	0.08	  	83	6.59	  	2	0.16	  	1	0.08	  	1260	96.55	  	45	3.45	  	1305	1.75
Perth (Cowan)		                              	7	7.14	  	0	0	  	0	0	  	0	0	  	33	33.67	  	0	0	  	0	0	  	0	0	  	0	0	  	45	45.92	  	1	1.02	  	1	1.02	  	4	4.08	  	0	0	  	0	0	  	7	7.14	  	0	0	  	0	0	  	98	98	  	2	2	  	100	0.13
Rottnest (Cowan)		                           	2	6.25	  	0	0	  	0	0	  	0	0	  	15	46.88	  	0	0	  	0	0	  	0	0	  	0	0	  	12	37.5	  	0	0	  	0	0	  	3	9.38	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	32	100	  	0	0	  	32	0.04
Wanneroo (Cowan)		                           	405	11.94	  	14	0.41	  	6	0.18	  	6	0.18	  	1244	36.66	  	1	0.03	  	4	0.12	  	8	0.24	  	3	0.09	  	1215	35.81	  	9	0.27	  	38	1.12	  	197	5.81	  	5	0.15	  	6	0.18	  	222	6.54	  	9	0.27	  	1	0.03	  	3393	96.47	  	124	3.53	  	3517	4.71
Wanneroo East (Cowan)		                      	328	11.44	  	13	0.45	  	9	0.31	  	1	0.03	  	1133	39.52	  	0	0	  	0	0	  	8	0.28	  	1	0.03	  	1038	36.21	  	10	0.35	  	32	1.12	  	128	4.46	  	2	0.07	  	7	0.24	  	154	5.37	  	2	0.07	  	1	0.03	  	2867	96.6	  	101	3.4	  	2968	3.98
Warwick		                                    	92	7.47	  	5	0.41	  	1	0.08	  	3	0.24	  	468	38.02	  	0	0	  	2	0.16	  	0	0	  	3	0.24	  	459	37.29	  	3	0.24	  	6	0.49	  	72	5.85	  	3	0.24	  	2	0.16	  	111	9.02	  	1	0.08	  	0	0	  	1231	98.01	  	25	1.99	  	1256	1.68
Warwick West		                               	59	6	  	2	0.2	  	2	0.2	  	0	0	  	484	49.19	  	0	0	  	0	0	  	1	0.1	  	1	0.1	  	300	30.49	  	3	0.3	  	3	0.3	  	49	4.98	  	0	0	  	0	0	  	80	8.13	  	0	0	  	0	0	  	984	97.33	  	27	2.67	  	1011	1.36
Woodvale		                                   	164	7.89	  	3	0.14	  	4	0.19	  	4	0.19	  	1033	49.69	  	1	0.05	  	1	0.05	  	1	0.05	  	4	0.19	  	607	29.2	  	3	0.14	  	18	0.87	  	63	3.03	  	6	0.29	  	2	0.1	  	161	7.74	  	1	0.05	  	3	0.14	  	2079	98.02	  	42	1.98	  	2121	2.84
Woodvale North		                             	184	5.67	  	2	0.06	  	5	0.15	  	7	0.22	  	1654	51	  	2	0.06	  	1	0.03	  	3	0.09	  	3	0.09	  	940	28.99	  	13	0.4	  	30	0.93	  	154	4.75	  	7	0.22	  	1	0.03	  	235	7.25	  	1	0.03	  	1	0.03	  	3243	98.57	  	47	1.43	  	3290	4.41
Special Hospitals		                          	9	3.67	  	0	0	  	3	1.22	  	0	0	  	131	53.47	  	0	0	  	0	0	  	1	0.41	  	0	0	  	90	36.73	  	1	0.41	  	2	0.82	  	2	0.82	  	0	0	  	0	0	  	6	2.45	  	0	0	  	0	0	  	245	93.87	  	16	6.13	  	261	0.35
Total Ordinary		                             	5184	8.31	  	163	0.26	  	124	0.2	  	101	0.16	  	23419	37.54	  	34	0.05	  	131	0.21	  	97	0.16	  	76	0.12	  	25334	40.61	  	220	0.35	  	648	1.04	  	2614	4.19	  	98	0.16	  	79	0.13	  	4003	6.42	  	44	0.07	  	19	0.03	  	62388	97.22	  	1782	2.78	  	64170	86.02
ABSENT		                                     	478	9.27	  	29	0.56	  	22	0.43	  	13	0.25	  	1860	36.05	  	3	0.06	  	19	0.37	  	21	0.41	  	9	0.17	  	1992	38.61	  	16	0.31	  	69	1.34	  	324	6.28	  	7	0.14	  	5	0.1	  	285	5.52	  	6	0.12	  	1	0.02	  	5159	97.93	  	109	2.07	  	5268	7.06
POSTAL		                                     	224	10.65	  	5	0.24	  	14	0.67	  	2	0.1	  	897	42.65	  	0	0	  	3	0.14	  	9	0.43	  	0	0	  	726	34.52	  	4	0.19	  	36	1.71	  	64	3.04	  	1	0.05	  	6	0.29	  	107	5.09	  	3	0.14	  	2	0.1	  	2103	99.39	  	13	0.61	  	2116	2.84
PRE_POLL		                                   	231	9.74	  	5	0.21	  	7	0.3	  	2	0.08	  	955	40.28	  	2	0.08	  	5	0.21	  	5	0.21	  	2	0.08	  	854	36.02	  	5	0.21	  	29	1.22	  	116	4.89	  	0	0	  	3	0.13	  	145	6.12	  	3	0.13	  	2	0.08	  	2371	98.79	  	29	1.21	  	2400	3.22
PROVISIONAL		                                	56	8.79	  	1	0.16	  	0	0	  	5	0.78	  	146	22.92	  	0	0	  	2	0.31	  	5	0.78	  	2	0.31	  	362	56.83	  	2	0.31	  	5	0.78	  	28	4.4	  	2	0.31	  	2	0.31	  	18	2.83	  	1	0.16	  	0	0	  	637	98.15	  	12	1.85	  	649	0.87
Division Summary		                           	6173	8.5	  	203	0.28	  	167	0.23	  	123	0.17	  	27277	37.54	  	39	0.05	  	160	0.22	  	137	0.19	  	89	0.12	  	29268	40.28	  	247	0.34	  	787	1.08	  	3146	4.33	  	108	0.15	  	95	0.13	  	4558	6.27	  	57	0.08	  	24	0.03	  	72658	97.39	  	1945	2.61	  	74603	96.65


