Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Brunswick South East		                       	4	0.34	  	1	0.08	  	206	17.25	  	10	0.84	  	124	10.39	  	3	0.25	  	2	0.17	  	0	0	  	2	0.17	  	15	1.26	  	546	45.73	  	259	21.69	  	0	0	  	1	0.08	  	0	0	  	11	0.92	  	1	0.08	  	4	0.34	  	2	0.17	  	2	0.17	  	1	0.08	  	1194	94.84	  	65	5.16	  	1259	1.51
Brunswick South West		                       	7	0.31	  	1	0.04	  	320	14.01	  	17	0.74	  	101	4.42	  	1	0.04	  	2	0.09	  	2	0.09	  	12	0.53	  	18	0.79	  	1214	53.15	  	533	23.34	  	1	0.04	  	4	0.18	  	2	0.09	  	33	1.44	  	0	0	  	11	0.48	  	1	0.04	  	2	0.09	  	2	0.09	  	2284	93.49	  	159	6.51	  	2443	2.94
Carlton		                                    	8	0.43	  	1	0.05	  	220	11.75	  	28	1.5	  	134	7.16	  	2	0.11	  	0	0	  	4	0.21	  	11	0.59	  	13	0.69	  	1116	59.62	  	274	14.64	  	2	0.11	  	2	0.11	  	4	0.21	  	34	1.82	  	3	0.16	  	8	0.43	  	8	0.43	  	0	0	  	0	0	  	1872	95.07	  	97	4.93	  	1969	2.37
Carlton Central		                            	5	0.26	  	4	0.21	  	363	18.74	  	11	0.57	  	256	13.22	  	3	0.15	  	0	0	  	0	0	  	5	0.26	  	13	0.67	  	860	44.4	  	384	19.82	  	2	0.1	  	2	0.1	  	0	0	  	18	0.93	  	2	0.1	  	2	0.1	  	5	0.26	  	1	0.05	  	1	0.05	  	1937	96.8	  	64	3.2	  	2001	2.4
Carlton North		                              	8	0.42	  	0	0	  	395	20.82	  	20	1.05	  	193	10.17	  	3	0.16	  	3	0.16	  	1	0.05	  	3	0.16	  	14	0.74	  	773	40.75	  	446	23.51	  	1	0.05	  	5	0.26	  	1	0.05	  	20	1.05	  	0	0	  	3	0.16	  	4	0.21	  	1	0.05	  	3	0.16	  	1897	94.43	  	112	5.57	  	2009	2.41
Carlton South		                              	2	0.22	  	1	0.11	  	191	20.72	  	9	0.98	  	83	9	  	0	0	  	1	0.11	  	0	0	  	0	0	  	2	0.22	  	327	35.47	  	294	31.89	  	0	0	  	0	0	  	0	0	  	8	0.87	  	0	0	  	1	0.11	  	1	0.11	  	0	0	  	2	0.22	  	922	98.29	  	16	1.71	  	938	1.13
Clifton Hill		                               	6	0.38	  	1	0.06	  	326	20.86	  	11	0.7	  	155	9.92	  	0	0	  	0	0	  	1	0.06	  	5	0.32	  	12	0.77	  	695	44.47	  	327	20.92	  	2	0.13	  	0	0	  	1	0.06	  	18	1.15	  	2	0.13	  	0	0	  	0	0	  	0	0	  	1	0.06	  	1563	97.32	  	43	2.68	  	1606	1.93
Collingwood		                                	13	0.51	  	2	0.08	  	296	11.7	  	40	1.58	  	183	7.24	  	3	0.12	  	0	0	  	2	0.08	  	5	0.2	  	22	0.87	  	1511	59.75	  	389	15.38	  	0	0	  	4	0.16	  	0	0	  	31	1.23	  	0	0	  	4	0.16	  	24	0.95	  	0	0	  	0	0	  	2529	96.42	  	94	3.58	  	2623	3.15
Collingwood North		                          	1	0.06	  	0	0	  	278	17.62	  	9	0.57	  	184	11.66	  	2	0.13	  	5	0.32	  	0	0	  	1	0.06	  	11	0.7	  	725	45.94	  	341	21.61	  	0	0	  	0	0	  	0	0	  	18	1.14	  	2	0.13	  	0	0	  	0	0	  	0	0	  	1	0.06	  	1578	97.41	  	42	2.59	  	1620	1.95
Delbridge		                                  	1	0.15	  	0	0	  	144	21.46	  	3	0.45	  	72	10.73	  	0	0	  	1	0.15	  	0	0	  	1	0.15	  	3	0.45	  	280	41.73	  	150	22.35	  	1	0.15	  	2	0.3	  	1	0.15	  	6	0.89	  	1	0.15	  	2	0.3	  	3	0.45	  	0	0	  	0	0	  	671	97.25	  	19	2.75	  	690	0.83
East Melbourne		                             	2	0.13	  	2	0.13	  	251	16.35	  	10	0.65	  	93	6.06	  	2	0.13	  	1	0.07	  	0	0	  	1	0.07	  	7	0.46	  	407	26.51	  	721	46.97	  	0	0	  	4	0.26	  	1	0.07	  	27	1.76	  	2	0.13	  	2	0.13	  	2	0.13	  	0	0	  	0	0	  	1535	97.9	  	33	2.1	  	1568	1.88
Edward		                                     	11	0.39	  	4	0.14	  	373	13.19	  	49	1.73	  	220	7.78	  	2	0.07	  	5	0.18	  	2	0.07	  	7	0.25	  	32	1.13	  	1534	54.24	  	532	18.81	  	1	0.04	  	3	0.11	  	3	0.11	  	30	1.06	  	2	0.07	  	9	0.32	  	3	0.11	  	1	0.04	  	5	0.18	  	2828	95.28	  	140	4.72	  	2968	3.57
Fitzroy		                                    	20	0.6	  	4	0.12	  	464	13.86	  	46	1.37	  	456	13.62	  	1	0.03	  	3	0.09	  	1	0.03	  	10	0.3	  	29	0.87	  	1804	53.9	  	436	13.03	  	4	0.12	  	2	0.06	  	2	0.06	  	33	0.99	  	5	0.15	  	3	0.09	  	20	0.6	  	2	0.06	  	2	0.06	  	3347	96.46	  	123	3.54	  	3470	4.17
Fitzroy Central		                            	5	0.6	  	1	0.12	  	160	19.05	  	7	0.83	  	107	12.74	  	0	0	  	0	0	  	2	0.24	  	5	0.6	  	6	0.71	  	333	39.64	  	202	24.05	  	0	0	  	0	0	  	0	0	  	10	1.19	  	0	0	  	1	0.12	  	0	0	  	1	0.12	  	0	0	  	840	96.33	  	32	3.67	  	872	1.05
Fitzroy North		                              	14	0.51	  	1	0.04	  	464	17.02	  	18	0.66	  	322	11.81	  	0	0	  	0	0	  	2	0.07	  	4	0.15	  	18	0.66	  	1312	48.11	  	505	18.52	  	0	0	  	6	0.22	  	0	0	  	38	1.39	  	2	0.07	  	2	0.07	  	17	0.62	  	1	0.04	  	1	0.04	  	2727	96.63	  	95	3.37	  	2822	3.39
Flemington		                                 	6	0.22	  	2	0.07	  	257	9.64	  	56	2.1	  	124	4.65	  	2	0.07	  	0	0	  	2	0.07	  	9	0.34	  	17	0.64	  	1709	64.08	  	446	16.72	  	0	0	  	4	0.15	  	1	0.04	  	24	0.9	  	2	0.07	  	3	0.11	  	2	0.07	  	0	0	  	1	0.04	  	2667	96.77	  	89	3.23	  	2756	3.31
Hotham Hill		                                	3	0.32	  	1	0.11	  	52	5.53	  	21	2.23	  	22	2.34	  	2	0.21	  	0	0	  	0	0	  	1	0.11	  	8	0.85	  	761	80.96	  	54	5.74	  	0	0	  	4	0.43	  	0	0	  	7	0.74	  	1	0.11	  	2	0.21	  	0	0	  	1	0.11	  	0	0	  	940	92.79	  	73	7.21	  	1013	1.22
Kensington		                                 	9	0.45	  	3	0.15	  	269	13.33	  	24	1.19	  	102	5.05	  	1	0.05	  	1	0.05	  	0	0	  	7	0.35	  	16	0.79	  	1140	56.49	  	391	19.38	  	0	0	  	2	0.1	  	24	1.19	  	22	1.09	  	0	0	  	6	0.3	  	1	0.05	  	0	0	  	0	0	  	2018	96.56	  	72	3.44	  	2090	2.51
Melbourne (Melbourne)		                      	2	0.13	  	1	0.06	  	250	15.67	  	37	2.32	  	162	10.16	  	2	0.13	  	2	0.13	  	0	0	  	6	0.38	  	10	0.63	  	549	34.42	  	546	34.23	  	0	0	  	1	0.06	  	0	0	  	18	1.13	  	3	0.19	  	1	0.06	  	2	0.13	  	0	0	  	3	0.19	  	1595	97.49	  	41	2.51	  	1636	1.97
Merri		                                      	4	0.36	  	1	0.09	  	180	16.13	  	6	0.54	  	126	11.29	  	1	0.09	  	1	0.09	  	1	0.09	  	3	0.27	  	17	1.52	  	548	49.1	  	203	18.19	  	3	0.27	  	0	0	  	0	0	  	12	1.08	  	1	0.09	  	4	0.36	  	3	0.27	  	0	0	  	2	0.18	  	1116	94.66	  	63	5.34	  	1179	1.42
Newmarket		                                  	7	0.33	  	0	0	  	337	15.98	  	23	1.09	  	138	6.54	  	0	0	  	1	0.05	  	0	0	  	2	0.09	  	11	0.52	  	1074	50.92	  	473	22.43	  	0	0	  	2	0.09	  	2	0.09	  	24	1.14	  	2	0.09	  	5	0.24	  	6	0.28	  	0	0	  	2	0.09	  	2109	92.58	  	169	7.42	  	2278	2.74
North Melbourne		                            	1	0.06	  	1	0.06	  	264	15.27	  	24	1.39	  	152	8.79	  	2	0.12	  	2	0.12	  	1	0.06	  	8	0.46	  	13	0.75	  	769	44.48	  	433	25.04	  	2	0.12	  	6	0.35	  	0	0	  	28	1.62	  	3	0.17	  	7	0.4	  	11	0.64	  	0	0	  	2	0.12	  	1729	96.54	  	62	3.46	  	1791	2.15
North Melbourne Central		                    	3	0.23	  	2	0.16	  	234	18.18	  	30	2.33	  	112	8.7	  	0	0	  	1	0.08	  	0	0	  	3	0.23	  	6	0.47	  	565	43.9	  	286	22.22	  	0	0	  	12	0.93	  	2	0.16	  	21	1.63	  	0	0	  	4	0.31	  	6	0.47	  	0	0	  	0	0	  	1287	95.47	  	61	4.53	  	1348	1.62
Parkville		                                  	0	0	  	0	0	  	282	23.58	  	14	1.17	  	114	9.53	  	2	0.17	  	1	0.08	  	0	0	  	3	0.25	  	7	0.59	  	355	29.68	  	391	32.69	  	11	0.92	  	1	0.08	  	1	0.08	  	11	0.92	  	2	0.17	  	1	0.08	  	0	0	  	0	0	  	0	0	  	1196	98.36	  	20	1.64	  	1216	1.46
Richmond		                                   	12	0.37	  	1	0.03	  	532	16.55	  	27	0.84	  	220	6.84	  	1	0.03	  	1	0.03	  	1	0.03	  	4	0.12	  	21	0.65	  	1345	41.84	  	975	30.33	  	4	0.12	  	5	0.16	  	1	0.03	  	47	1.46	  	3	0.09	  	2	0.06	  	11	0.34	  	1	0.03	  	1	0.03	  	3215	96.58	  	114	3.42	  	3329	4
Richmond Central		                           	5	0.29	  	1	0.06	  	271	15.7	  	14	0.81	  	83	4.81	  	1	0.06	  	1	0.06	  	0	0	  	4	0.23	  	20	1.16	  	871	50.46	  	416	24.1	  	2	0.12	  	1	0.06	  	2	0.12	  	22	1.27	  	4	0.23	  	3	0.17	  	1	0.06	  	3	0.17	  	1	0.06	  	1726	96.48	  	63	3.52	  	1789	2.15
Richmond East		                              	11	0.42	  	2	0.08	  	399	15.16	  	15	0.57	  	137	5.21	  	0	0	  	2	0.08	  	2	0.08	  	3	0.11	  	22	0.84	  	1263	47.99	  	722	27.43	  	2	0.08	  	4	0.15	  	2	0.08	  	27	1.03	  	2	0.08	  	7	0.27	  	9	0.34	  	1	0.04	  	0	0	  	2632	95.22	  	132	4.78	  	2764	3.32
Richmond North		                             	2	0.2	  	0	0	  	43	4.26	  	20	1.98	  	12	1.19	  	0	0	  	0	0	  	0	0	  	1	0.1	  	20	1.98	  	828	82.06	  	74	7.33	  	2	0.2	  	0	0	  	0	0	  	6	0.59	  	0	0	  	0	0	  	1	0.1	  	0	0	  	0	0	  	1009	96.65	  	35	3.35	  	1044	1.25
Richmond South		                             	8	0.62	  	0	0	  	239	18.53	  	5	0.39	  	111	8.6	  	0	0	  	0	0	  	1	0.08	  	3	0.23	  	10	0.78	  	523	40.54	  	360	27.91	  	0	0	  	1	0.08	  	0	0	  	15	1.16	  	3	0.23	  	11	0.85	  	0	0	  	0	0	  	0	0	  	1290	96.99	  	40	3.01	  	1330	1.6
Richmond West		                              	9	0.62	  	2	0.14	  	56	3.84	  	41	2.81	  	25	1.71	  	1	0.07	  	2	0.14	  	1	0.07	  	4	0.27	  	10	0.69	  	1187	81.36	  	105	7.2	  	1	0.07	  	1	0.07	  	0	0	  	11	0.75	  	1	0.07	  	2	0.14	  	0	0	  	0	0	  	0	0	  	1459	96.24	  	57	3.76	  	1516	1.82
Special Hospitals		                          	3	0.82	  	1	0.27	  	21	5.75	  	2	0.55	  	5	1.37	  	0	0	  	0	0	  	0	0	  	1	0.27	  	5	1.37	  	175	47.95	  	136	37.26	  	0	0	  	0	0	  	3	0.82	  	12	3.29	  	0	0	  	1	0.27	  	0	0	  	0	0	  	0	0	  	365	95.8	  	16	4.2	  	381	0.46
Prison Mobiles		                             	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0
Total Ordinary		                             	238	0.38	  	48	0.08	  	9215	14.57	  	718	1.14	  	4780	7.56	  	41	0.06	  	45	0.07	  	32	0.05	  	145	0.23	  	513	0.81	  	32270	51.02	  	13807	21.83	  	48	0.08	  	88	0.14	  	67	0.11	  	791	1.25	  	52	0.08	  	134	0.21	  	161	0.25	  	24	0.04	  	36	0.06	  	63253	95.88	  	2720	4.12	  	65973	79.27
ABSENT		                                     	20	0.27	  	7	0.09	  	1250	16.77	  	81	1.09	  	629	8.44	  	11	0.15	  	12	0.16	  	4	0.05	  	29	0.39	  	73	0.98	  	2996	40.2	  	2140	28.71	  	7	0.09	  	20	0.27	  	7	0.09	  	100	1.34	  	14	0.19	  	30	0.4	  	16	0.21	  	0	0	  	7	0.09	  	7453	98.78	  	92	1.22	  	7545	9.07
POSTAL		                                     	6	0.27	  	1	0.04	  	290	12.81	  	30	1.33	  	119	5.26	  	1	0.04	  	1	0.04	  	2	0.09	  	10	0.44	  	16	0.71	  	1071	47.31	  	636	28.09	  	2	0.09	  	4	0.18	  	3	0.13	  	60	2.65	  	3	0.13	  	5	0.22	  	3	0.13	  	1	0.04	  	0	0	  	2264	99.17	  	19	0.83	  	2283	2.74
PRE_POLL		                                   	16	0.29	  	8	0.15	  	820	14.97	  	93	1.7	  	406	7.41	  	3	0.05	  	12	0.22	  	8	0.15	  	22	0.4	  	45	0.82	  	2349	42.9	  	1562	28.52	  	4	0.07	  	17	0.31	  	5	0.09	  	73	1.33	  	3	0.05	  	15	0.27	  	9	0.16	  	1	0.02	  	5	0.09	  	5476	98.63	  	76	1.37	  	5552	6.67
PROVISIONAL		                                	11	0.61	  	1	0.06	  	172	9.56	  	18	1	  	150	8.34	  	1	0.06	  	1	0.06	  	0	0	  	6	0.33	  	25	1.39	  	1055	58.64	  	331	18.4	  	2	0.11	  	3	0.17	  	2	0.11	  	17	0.94	  	2	0.11	  	1	0.06	  	0	0	  	1	0.06	  	0	0	  	1799	95.9	  	77	4.1	  	1876	2.25
Division Summary		                           	291	0.36	  	65	0.08	  	11747	14.64	  	940	1.17	  	6084	7.58	  	57	0.07	  	71	0.09	  	46	0.06	  	212	0.26	  	672	0.84	  	39741	49.52	  	18476	23.02	  	63	0.08	  	132	0.16	  	84	0.1	  	1041	1.3	  	74	0.09	  	185	0.23	  	189	0.24	  	27	0.03	  	48	0.06	  	80245	96.41	  	2984	3.59	  	83229	93.73


Menzies (81442)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CTA			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beverley Hills		                             	13	0.38	  	2	0.06	  	411	12.03	  	65	1.9	  	59	1.73	  	2	0.06	  	7	0.2	  	4	0.12	  	10	0.29	  	29	0.85	  	1302	38.1	  	1399	40.94	  	3	0.09	  	16	0.47	  	0	0	  	72	2.11	  	6	0.18	  	16	0.47	  	1	0.03	  	0	0	  	0	0	  	3417	96.25	  	133	3.75	  	3550	4.54
Bulleen		                                    	12	0.4	  	2	0.07	  	263	8.76	  	56	1.86	  	48	1.6	  	2	0.07	  	1	0.03	  	9	0.3	  	10	0.33	  	38	1.27	  	1270	42.29	  	1198	39.89	  	4	0.13	  	6	0.2	  	2	0.07	  	50	1.67	  	3	0.1	  	24	0.8	  	4	0.13	  	1	0.03	  	0	0	  	3003	94.76	  	166	5.24	  	3169	4.05
Bulleen West		                               	1	0.13	  	0	0	  	63	8.06	  	11	1.41	  	17	2.17	  	0	0	  	0	0	  	1	0.13	  	5	0.64	  	11	1.41	  	355	45.4	  	294	37.6	  	1	0.13	  	3	0.38	  	0	0	  	17	2.17	  	1	0.13	  	0	0	  	2	0.26	  	0	0	  	0	0	  	782	95.13	  	40	4.87	  	822	1.05
Donburn		                                    	3	0.38	  	0	0	  	132	16.92	  	4	0.51	  	11	1.41	  	0	0	  	1	0.13	  	0	0	  	1	0.13	  	6	0.77	  	234	30	  	366	46.92	  	1	0.13	  	5	0.64	  	0	0	  	11	1.41	  	1	0.13	  	4	0.51	  	0	0	  	0	0	  	0	0	  	780	97.74	  	18	2.26	  	798	1.02
Doncaster		                                  	8	0.24	  	1	0.03	  	347	10.47	  	65	1.96	  	44	1.33	  	4	0.12	  	2	0.06	  	1	0.03	  	7	0.21	  	29	0.88	  	1268	38.26	  	1432	43.21	  	1	0.03	  	17	0.51	  	2	0.06	  	61	1.84	  	4	0.12	  	17	0.51	  	3	0.09	  	1	0.03	  	0	0	  	3314	94.82	  	181	5.18	  	3495	4.47
Doncaster Central		                          	9	0.37	  	0	0	  	203	8.45	  	46	1.91	  	45	1.87	  	0	0	  	1	0.04	  	4	0.17	  	2	0.08	  	28	1.17	  	1051	43.74	  	932	38.78	  	3	0.12	  	9	0.37	  	0	0	  	54	2.25	  	1	0.04	  	14	0.58	  	1	0.04	  	0	0	  	0	0	  	2403	96.97	  	75	3.03	  	2478	3.17
Doncaster East		                             	9	0.16	  	2	0.04	  	585	10.45	  	214	3.82	  	49	0.88	  	2	0.04	  	7	0.13	  	10	0.18	  	11	0.2	  	42	0.75	  	2182	38.96	  	2286	40.82	  	3	0.05	  	16	0.29	  	4	0.07	  	122	2.18	  	12	0.21	  	38	0.68	  	6	0.11	  	0	0	  	0	0	  	5600	96.25	  	218	3.75	  	5818	7.44
Doncaster Gardens		                          	4	0.24	  	2	0.12	  	140	8.4	  	36	2.16	  	22	1.32	  	0	0	  	2	0.12	  	1	0.06	  	5	0.3	  	20	1.2	  	658	39.5	  	721	43.28	  	0	0	  	5	0.3	  	1	0.06	  	36	2.16	  	1	0.06	  	11	0.66	  	1	0.06	  	0	0	  	0	0	  	1666	96.19	  	66	3.81	  	1732	2.21
Doncaster Heights		                          	1	0.2	  	0	0	  	32	6.4	  	16	3.2	  	2	0.4	  	0	0	  	0	0	  	0	0	  	2	0.4	  	10	2	  	202	40.4	  	217	43.4	  	0	0	  	3	0.6	  	0	0	  	13	2.6	  	0	0	  	1	0.2	  	0	0	  	1	0.2	  	0	0	  	500	98.23	  	9	1.77	  	509	0.65
Doncaster Park		                             	4	0.56	  	0	0	  	85	11.81	  	9	1.25	  	12	1.67	  	0	0	  	1	0.14	  	0	0	  	1	0.14	  	6	0.83	  	243	33.75	  	336	46.67	  	0	0	  	2	0.28	  	1	0.14	  	19	2.64	  	0	0	  	1	0.14	  	0	0	  	0	0	  	0	0	  	720	96.77	  	24	3.23	  	744	0.95
Doncaster South		                            	4	0.3	  	0	0	  	123	9.35	  	27	2.05	  	17	1.29	  	0	0	  	0	0	  	0	0	  	2	0.15	  	8	0.61	  	465	35.36	  	626	47.6	  	1	0.08	  	5	0.38	  	0	0	  	32	2.43	  	0	0	  	4	0.3	  	1	0.08	  	0	0	  	0	0	  	1315	96.48	  	48	3.52	  	1363	1.74
Doncaster West		                             	7	0.37	  	1	0.05	  	213	11.38	  	26	1.39	  	30	1.6	  	0	0	  	1	0.05	  	4	0.21	  	6	0.32	  	19	1.02	  	765	40.89	  	737	39.39	  	4	0.21	  	3	0.16	  	1	0.05	  	38	2.03	  	1	0.05	  	13	0.69	  	1	0.05	  	0	0	  	1	0.05	  	1871	93.69	  	126	6.31	  	1997	2.55
Donvale		                                    	9	0.27	  	3	0.09	  	339	10.21	  	38	1.14	  	53	1.6	  	0	0	  	2	0.06	  	0	0	  	8	0.24	  	37	1.11	  	806	24.28	  	1891	56.97	  	4	0.12	  	25	0.75	  	5	0.15	  	74	2.23	  	3	0.09	  	21	0.63	  	1	0.03	  	0	0	  	0	0	  	3319	96.91	  	106	3.09	  	3425	4.38
Gumnut Gully		                               	2	0.27	  	0	0	  	74	9.88	  	20	2.67	  	10	1.34	  	0	0	  	0	0	  	0	0	  	3	0.4	  	1	0.13	  	200	26.7	  	422	56.34	  	0	0	  	4	0.53	  	0	0	  	11	1.47	  	0	0	  	1	0.13	  	1	0.13	  	0	0	  	0	0	  	749	99.21	  	6	0.79	  	755	0.97
Lower Templestowe		                          	9	0.6	  	1	0.07	  	177	11.8	  	37	2.47	  	32	2.13	  	0	0	  	2	0.13	  	2	0.13	  	5	0.33	  	16	1.07	  	598	39.87	  	558	37.2	  	0	0	  	5	0.33	  	0	0	  	42	2.8	  	2	0.13	  	12	0.8	  	0	0	  	1	0.07	  	1	0.07	  	1500	96.15	  	60	3.85	  	1560	1.99
Manningham		                                 	2	0.15	  	0	0	  	130	9.44	  	27	1.96	  	16	1.16	  	1	0.07	  	0	0	  	1	0.07	  	5	0.36	  	12	0.87	  	400	29.05	  	728	52.87	  	3	0.22	  	8	0.58	  	1	0.07	  	36	2.61	  	0	0	  	7	0.51	  	0	0	  	0	0	  	0	0	  	1377	96.56	  	49	3.44	  	1426	1.82
Melbourne (Menzies)		                        	0	0	  	0	0	  	9	11.84	  	1	1.32	  	5	6.58	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	19	25	  	41	53.95	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.32	  	0	0	  	0	0	  	0	0	  	0	0	  	76	100	  	0	0	  	76	0.1
Milgate		                                    	6	0.2	  	1	0.03	  	304	10.01	  	97	3.19	  	31	1.02	  	0	0	  	1	0.03	  	1	0.03	  	8	0.26	  	20	0.66	  	933	30.72	  	1557	51.27	  	0	0	  	16	0.53	  	2	0.07	  	35	1.15	  	1	0.03	  	19	0.63	  	3	0.1	  	2	0.07	  	0	0	  	3037	97.31	  	84	2.69	  	3121	3.99
Park Orchards		                              	3	0.14	  	1	0.05	  	241	11.4	  	12	0.57	  	62	2.93	  	1	0.05	  	0	0	  	1	0.05	  	7	0.33	  	20	0.95	  	460	21.76	  	1222	57.81	  	1	0.05	  	6	0.28	  	3	0.14	  	58	2.74	  	0	0	  	15	0.71	  	1	0.05	  	0	0	  	0	0	  	2114	97.69	  	50	2.31	  	2164	2.77
Ringwood North		                             	0	0	  	2	0.23	  	84	9.81	  	6	0.7	  	25	2.92	  	0	0	  	0	0	  	1	0.12	  	1	0.12	  	4	0.47	  	179	20.91	  	511	59.7	  	1	0.12	  	18	2.1	  	0	0	  	15	1.75	  	0	0	  	4	0.47	  	1	0.12	  	0	0	  	4	0.47	  	856	96.83	  	28	3.17	  	884	1.13
Serpell		                                    	6	0.22	  	1	0.04	  	246	9.09	  	61	2.25	  	27	1	  	3	0.11	  	1	0.04	  	0	0	  	5	0.18	  	20	0.74	  	771	28.48	  	1508	55.71	  	2	0.07	  	5	0.18	  	0	0	  	43	1.59	  	1	0.04	  	5	0.18	  	2	0.07	  	0	0	  	0	0	  	2707	97.23	  	77	2.77	  	2784	3.56
Templestowe		                                	3	0.18	  	0	0	  	191	11.58	  	13	0.79	  	37	2.24	  	1	0.06	  	0	0	  	5	0.3	  	4	0.24	  	13	0.79	  	478	28.99	  	849	51.49	  	2	0.12	  	6	0.36	  	0	0	  	27	1.64	  	4	0.24	  	13	0.79	  	2	0.12	  	1	0.06	  	0	0	  	1649	96.83	  	54	3.17	  	1703	2.18
Templestowe Heights		                        	26	0.54	  	4	0.08	  	587	12.18	  	56	1.16	  	77	1.6	  	4	0.08	  	3	0.06	  	1	0.02	  	10	0.21	  	31	0.64	  	1511	31.36	  	2366	49.1	  	5	0.1	  	17	0.35	  	2	0.04	  	87	1.81	  	4	0.08	  	25	0.52	  	3	0.06	  	0	0	  	0	0	  	4819	95.79	  	212	4.21	  	5031	6.43
Templestowe Park		                           	5	0.2	  	0	0	  	185	7.58	  	21	0.86	  	30	1.23	  	0	0	  	2	0.08	  	1	0.04	  	4	0.16	  	18	0.74	  	670	27.46	  	1421	58.24	  	0	0	  	8	0.33	  	1	0.04	  	54	2.21	  	4	0.16	  	13	0.53	  	3	0.12	  	0	0	  	0	0	  	2440	96.6	  	86	3.4	  	2526	3.23
Templestowe Valley		                         	3	0.19	  	1	0.06	  	206	13.1	  	6	0.38	  	35	2.23	  	1	0.06	  	2	0.13	  	1	0.06	  	7	0.45	  	13	0.83	  	528	33.59	  	704	44.78	  	1	0.06	  	16	1.02	  	1	0.06	  	36	2.29	  	0	0	  	9	0.57	  	0	0	  	2	0.13	  	0	0	  	1572	97.22	  	45	2.78	  	1617	2.07
The Pines		                                  	3	0.23	  	0	0	  	121	9.45	  	36	2.81	  	9	0.7	  	0	0	  	1	0.08	  	1	0.08	  	2	0.16	  	7	0.55	  	388	30.31	  	677	52.89	  	1	0.08	  	6	0.47	  	0	0	  	24	1.88	  	1	0.08	  	3	0.23	  	0	0	  	0	0	  	0	0	  	1280	97.86	  	28	2.14	  	1308	1.67
Tunstall		                                   	5	0.38	  	0	0	  	144	10.92	  	19	1.44	  	39	2.96	  	0	0	  	0	0	  	1	0.08	  	6	0.45	  	10	0.76	  	448	33.97	  	595	45.11	  	3	0.23	  	1	0.08	  	3	0.23	  	33	2.5	  	0	0	  	10	0.76	  	1	0.08	  	0	0	  	1	0.08	  	1319	97.13	  	39	2.87	  	1358	1.74
Warrandyte		                                 	10	0.39	  	3	0.12	  	427	16.65	  	4	0.16	  	115	4.49	  	2	0.08	  	4	0.16	  	0	0	  	8	0.31	  	15	0.59	  	638	24.88	  	1251	48.79	  	0	0	  	9	0.35	  	2	0.08	  	48	1.87	  	10	0.39	  	16	0.62	  	1	0.04	  	0	0	  	1	0.04	  	2564	98.09	  	50	1.91	  	2614	3.34
Warrandyte South		                           	2	0.52	  	0	0	  	49	12.63	  	2	0.52	  	9	2.32	  	0	0	  	2	0.52	  	0	0	  	1	0.26	  	8	2.06	  	95	24.48	  	195	50.26	  	0	0	  	4	1.03	  	1	0.26	  	16	4.12	  	0	0	  	4	1.03	  	0	0	  	0	0	  	0	0	  	388	98.98	  	4	1.02	  	392	0.5
