Senate -  1998 Election: South Australia																																																				
First Preference Votes by Group																																																				
By Polling Place																																																				


Adelaide (82157)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Henley South		                               	17	1.24	  	9	0.65	  	181	13.16	  	0	0	  	0	0	  	541	39.35	  	2	0.15	  	12	0.87	  	56	4.07	  	102	7.42	  	451	32.8	  	2	0.15	  	2	0.15	  	0	0	  	1375	98.21	  	25	1.79	  	1400	1.74
Kidman Park		                                	11	1.11	  	5	0.5	  	102	10.25	  	0	0	  	1	0.1	  	398	40	  	1	0.1	  	2	0.2	  	11	1.11	  	68	6.83	  	392	39.4	  	2	0.2	  	2	0.2	  	0	0	  	995	96.14	  	40	3.86	  	1035	1.29
Kidman Park South		                          	15	0.68	  	10	0.45	  	271	12.2	  	0	0	  	0	0	  	906	40.77	  	2	0.09	  	6	0.27	  	63	2.84	  	117	5.27	  	822	36.99	  	5	0.23	  	5	0.23	  	0	0	  	2222	95.86	  	96	4.14	  	2318	2.88
Kurralta Park		                              	9	0.71	  	6	0.47	  	166	13.01	  	2	0.16	  	4	0.31	  	467	36.6	  	1	0.08	  	4	0.31	  	26	2.04	  	111	8.7	  	478	37.46	  	1	0.08	  	1	0.08	  	0	0	  	1276	97.03	  	39	2.97	  	1315	1.63
Lockleys		                                   	13	0.77	  	3	0.18	  	175	10.4	  	0	0	  	3	0.18	  	871	51.75	  	0	0	  	7	0.42	  	25	1.49	  	99	5.88	  	478	28.4	  	4	0.24	  	3	0.18	  	2	0.12	  	1683	97.57	  	42	2.43	  	1725	2.14
Lockleys North		                             	13	1.14	  	2	0.17	  	130	11.37	  	2	0.17	  	0	0	  	489	42.78	  	1	0.09	  	7	0.61	  	19	1.66	  	81	7.09	  	393	34.38	  	1	0.09	  	3	0.26	  	2	0.17	  	1143	97.03	  	35	2.97	  	1178	1.46
Morphettville		                              	7	0.61	  	8	0.7	  	121	10.6	  	1	0.09	  	0	0	  	472	41.37	  	2	0.18	  	4	0.35	  	22	1.93	  	99	8.68	  	400	35.06	  	0	0	  	2	0.18	  	3	0.26	  	1141	95.48	  	54	4.52	  	1195	1.49
Netley		                                     	9	0.6	  	9	0.6	  	154	10.2	  	1	0.07	  	3	0.2	  	572	37.88	  	1	0.07	  	6	0.4	  	21	1.39	  	103	6.82	  	621	41.13	  	4	0.26	  	6	0.4	  	0	0	  	1510	96.3	  	58	3.7	  	1568	1.95
Novar Gardens		                              	10	0.59	  	6	0.35	  	177	10.41	  	0	0	  	7	0.41	  	905	53.24	  	1	0.06	  	4	0.24	  	29	1.71	  	120	7.06	  	439	25.82	  	2	0.12	  	0	0	  	0	0	  	1700	97.09	  	51	2.91	  	1751	2.18
Park Holme		                                 	17	1.12	  	9	0.59	  	178	11.69	  	2	0.13	  	2	0.13	  	504	33.09	  	0	0	  	9	0.59	  	33	2.17	  	148	9.72	  	608	39.92	  	5	0.33	  	6	0.39	  	2	0.13	  	1523	95.67	  	69	4.33	  	1592	1.98
Park Holme South		                           	11	0.73	  	9	0.6	  	159	10.61	  	2	0.13	  	1	0.07	  	496	33.11	  	1	0.07	  	7	0.47	  	35	2.34	  	172	11.48	  	599	39.99	  	2	0.13	  	1	0.07	  	3	0.2	  	1498	95.66	  	68	4.34	  	1566	1.95
Plympton		                                   	15	0.84	  	13	0.73	  	220	12.29	  	1	0.06	  	0	0	  	706	39.44	  	2	0.11	  	13	0.73	  	34	1.9	  	145	8.1	  	633	35.36	  	6	0.34	  	2	0.11	  	0	0	  	1790	96.03	  	74	3.97	  	1864	2.32
Plympton Park		                              	17	1.35	  	7	0.56	  	188	14.98	  	2	0.16	  	1	0.08	  	531	42.31	  	0	0	  	1	0.08	  	21	1.67	  	98	7.81	  	382	30.44	  	4	0.32	  	2	0.16	  	1	0.08	  	1255	96.54	  	45	3.46	  	1300	1.62
Plympton West		                              	14	1.09	  	6	0.47	  	112	8.68	  	1	0.08	  	0	0	  	555	43.02	  	1	0.08	  	6	0.47	  	24	1.86	  	84	6.51	  	485	37.6	  	1	0.08	  	1	0.08	  	0	0	  	1290	95.48	  	61	4.52	  	1351	1.68
Richmond		                                   	14	0.88	  	14	0.88	  	160	10.09	  	2	0.13	  	4	0.25	  	504	31.8	  	2	0.13	  	6	0.38	  	32	2.02	  	117	7.38	  	726	45.8	  	0	0	  	2	0.13	  	2	0.13	  	1585	96.47	  	58	3.53	  	1643	2.04
Somerton Park East		                         	3	0.23	  	6	0.46	  	161	12.22	  	0	0	  	2	0.15	  	638	48.44	  	2	0.15	  	3	0.23	  	30	2.28	  	110	8.35	  	358	27.18	  	0	0	  	0	0	  	4	0.3	  	1317	95.92	  	56	4.08	  	1373	1.71
South Plympton		                             	10	0.87	  	6	0.52	  	176	15.24	  	0	0	  	1	0.09	  	420	36.36	  	1	0.09	  	5	0.43	  	24	2.08	  	94	8.14	  	415	35.93	  	3	0.26	  	0	0	  	0	0	  	1155	97.39	  	31	2.61	  	1186	1.47
Torrensville		                               	21	0.89	  	15	0.64	  	305	12.96	  	2	0.08	  	4	0.17	  	575	24.43	  	0	0	  	18	0.76	  	66	2.8	  	125	5.31	  	1208	51.32	  	8	0.34	  	5	0.21	  	2	0.08	  	2354	94.77	  	130	5.23	  	2484	3.09
West Beach		                                 	23	0.93	  	6	0.24	  	311	12.53	  	1	0.04	  	2	0.08	  	1195	48.15	  	0	0	  	23	0.93	  	49	1.97	  	153	6.16	  	707	28.49	  	4	0.16	  	7	0.28	  	1	0.04	  	2482	97.33	  	68	2.67	  	2550	3.17
West Richmond		                              	10	1.07	  	6	0.64	  	77	8.25	  	0	0	  	0	0	  	278	29.8	  	1	0.11	  	5	0.54	  	21	2.25	  	88	9.43	  	445	47.7	  	1	0.11	  	1	0.11	  	0	0	  	933	96.09	  	38	3.91	  	971	1.21
Special Hospitals		                          	3	0.79	  	1	0.26	  	13	3.44	  	0	0	  	1	0.26	  	204	53.97	  	1	0.26	  	1	0.26	  	0	0	  	10	2.65	  	143	37.83	  	1	0.26	  	0	0	  	0	0	  	378	95.45	  	18	4.55	  	396	0.49
Total Ordinary		                             	497	0.8	  	310	0.5	  	7367	11.84	  	34	0.05	  	86	0.14	  	25082	40.32	  	38	0.06	  	325	0.52	  	1406	2.26	  	4607	7.4	  	22225	35.72	  	103	0.17	  	96	0.15	  	39	0.06	  	62215	96.36	  	2352	3.64	  	64567	80.25
ABSENT		                                     	80	1.31	  	20	0.33	  	849	13.93	  	3	0.05	  	5	0.08	  	2385	39.12	  	6	0.1	  	31	0.51	  	256	4.2	  	364	5.97	  	2068	33.92	  	7	0.11	  	18	0.3	  	4	0.07	  	6096	97.75	  	140	2.25	  	6236	7.75
POSTAL		                                     	30	0.59	  	16	0.32	  	474	9.35	  	7	0.14	  	4	0.08	  	2422	47.79	  	2	0.04	  	17	0.34	  	83	1.64	  	421	8.31	  	1564	30.86	  	9	0.18	  	13	0.26	  	6	0.12	  	5068	99.12	  	45	0.88	  	5113	6.36
PRE_POLL		                                   	37	1	  	10	0.27	  	471	12.68	  	0	0	  	4	0.11	  	1621	43.65	  	2	0.05	  	27	0.73	  	112	3.02	  	299	8.05	  	1118	30.1	  	2	0.05	  	8	0.22	  	3	0.08	  	3714	98.75	  	47	1.25	  	3761	4.67
PROVISIONAL		                                	8	1.07	  	5	0.67	  	71	9.52	  	3	0.4	  	0	0	  	243	32.57	  	1	0.13	  	6	0.8	  	46	6.17	  	58	7.77	  	302	40.48	  	1	0.13	  	2	0.27	  	0	0	  	746	96.01	  	31	3.99	  	777	0.97
Division Summary		                           	652	0.84	  	361	0.46	  	9232	11.86	  	47	0.06	  	99	0.13	  	31753	40.79	  	49	0.06	  	406	0.52	  	1903	2.44	  	5749	7.39	  	27277	35.04	  	122	0.16	  	137	0.18	  	52	0.07	  	77839	96.75	  	2615	3.25	  	80454	96.21


Kingston (88999)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Kingston)		                        	0	0	  	0	0	  	9	17.31	  	0	0	  	1	1.92	  	14	26.92	  	0	0	  	0	0	  	1	1.92	  	3	5.77	  	24	46.15	  	0	0	  	0	0	  	0	0	  	52	98.11	  	1	1.89	  	53	0.06
Aldinga Beach		                              	44	1.56	  	12	0.42	  	392	13.86	  	0	0	  	2	0.07	  	952	33.66	  	2	0.07	  	10	0.35	  	91	3.22	  	379	13.4	  	937	33.13	  	2	0.07	  	5	0.18	  	0	0	  	2828	97.22	  	81	2.78	  	2909	3.38
Christie Downs		                             	23	1.03	  	17	0.76	  	232	10.43	  	1	0.04	  	5	0.22	  	539	24.24	  	3	0.13	  	18	0.81	  	47	2.11	  	282	12.68	  	1051	47.26	  	1	0.04	  	4	0.18	  	1	0.04	  	2224	96.44	  	82	3.56	  	2306	2.68
Christies Beach		                            	22	1.26	  	8	0.46	  	190	10.9	  	2	0.11	  	0	0	  	551	31.61	  	0	0	  	12	0.69	  	53	3.04	  	234	13.43	  	670	38.44	  	1	0.06	  	0	0	  	0	0	  	1743	96.09	  	71	3.91	  	1814	2.11
Christies North		                            	12	1.23	  	8	0.82	  	107	10.99	  	0	0	  	1	0.1	  	286	29.36	  	0	0	  	8	0.82	  	27	2.77	  	123	12.63	  	396	40.66	  	1	0.1	  	5	0.51	  	0	0	  	974	97.11	  	29	2.89	  	1003	1.17
Hackham		                                    	26	1.32	  	14	0.71	  	223	11.3	  	3	0.15	  	4	0.2	  	481	24.37	  	3	0.15	  	13	0.66	  	50	2.53	  	227	11.5	  	924	46.81	  	2	0.1	  	4	0.2	  	0	0	  	1974	96.58	  	70	3.42	  	2044	2.38
Hackham East		                               	30	0.98	  	23	0.75	  	373	12.24	  	2	0.07	  	5	0.16	  	1023	33.57	  	0	0	  	15	0.49	  	71	2.33	  	367	12.04	  	1123	36.86	  	1	0.03	  	12	0.39	  	2	0.07	  	3047	97.41	  	81	2.59	  	3128	3.64
Hackham South		                              	16	1.03	  	12	0.78	  	209	13.5	  	1	0.06	  	4	0.26	  	395	25.52	  	2	0.13	  	11	0.71	  	38	2.45	  	198	12.79	  	659	42.57	  	0	0	  	3	0.19	  	0	0	  	1548	98.16	  	29	1.84	  	1577	1.84
Hallett Cove		                               	19	0.75	  	8	0.32	  	393	15.58	  	0	0	  	1	0.04	  	1036	41.08	  	2	0.08	  	14	0.56	  	52	2.06	  	190	7.53	  	803	31.84	  	2	0.08	  	1	0.04	  	1	0.04	  	2522	97	  	78	3	  	2600	3.03
Happy Valley		                               	25	1.22	  	9	0.44	  	301	14.65	  	1	0.05	  	1	0.05	  	1015	49.39	  	1	0.05	  	7	0.34	  	44	2.14	  	139	6.76	  	508	24.72	  	0	0	  	3	0.15	  	1	0.05	  	2055	98.18	  	38	1.82	  	2093	2.44
Karrara		                                    	33	1.07	  	10	0.32	  	462	15	  	2	0.06	  	3	0.1	  	1327	43.07	  	1	0.03	  	17	0.55	  	41	1.33	  	190	6.17	  	992	32.2	  	0	0	  	3	0.1	  	0	0	  	3081	98.18	  	57	1.82	  	3138	3.65
Lonsdale		                                   	15	1.78	  	5	0.59	  	94	11.12	  	1	0.12	  	2	0.24	  	231	27.34	  	1	0.12	  	1	0.12	  	33	3.91	  	104	12.31	  	357	42.25	  	0	0	  	1	0.12	  	0	0	  	845	97.69	  	20	2.31	  	865	1.01
Mclaren Flat		                               	5	0.86	  	2	0.34	  	86	14.73	  	0	0	  	4	0.68	  	304	52.05	  	4	0.68	  	2	0.34	  	18	3.08	  	50	8.56	  	106	18.15	  	0	0	  	3	0.51	  	0	0	  	584	97.82	  	13	2.18	  	597	0.69
Mclaren Vale		                               	11	0.58	  	10	0.52	  	241	12.64	  	0	0	  	6	0.31	  	1003	52.62	  	2	0.1	  	4	0.21	  	34	1.78	  	170	8.92	  	414	21.72	  	2	0.1	  	9	0.47	  	0	0	  	1906	97.74	  	44	2.26	  	1950	2.27
Maslin Beach		                               	1	0.21	  	2	0.42	  	64	13.56	  	0	0	  	2	0.42	  	142	30.08	  	0	0	  	6	1.27	  	20	4.24	  	51	10.81	  	179	37.92	  	2	0.42	  	1	0.21	  	2	0.42	  	472	97.72	  	11	2.28	  	483	0.56
Moana		                                      	17	0.84	  	12	0.59	  	306	15.08	  	3	0.15	  	4	0.2	  	685	33.76	  	1	0.05	  	10	0.49	  	60	2.96	  	249	12.27	  	675	33.27	  	0	0	  	4	0.2	  	3	0.15	  	2029	97.74	  	47	2.26	  	2076	2.42
Morphett Vale		                              	29	1.01	  	14	0.49	  	368	12.76	  	4	0.14	  	4	0.14	  	910	31.54	  	3	0.1	  	22	0.76	  	62	2.15	  	290	10.05	  	1167	40.45	  	1	0.03	  	9	0.31	  	2	0.07	  	2885	97.47	  	75	2.53	  	2960	3.44
Morphett Vale East		                         	37	1.57	  	11	0.47	  	349	14.77	  	0	0	  	1	0.04	  	801	33.9	  	0	0	  	13	0.55	  	69	2.92	  	228	9.65	  	846	35.8	  	1	0.04	  	7	0.3	  	0	0	  	2363	97.73	  	55	2.27	  	2418	2.81
Morphett Vale North		                        	11	0.73	  	16	1.06	  	205	13.55	  	2	0.13	  	2	0.13	  	513	33.91	  	0	0	  	7	0.46	  	27	1.78	  	166	10.97	  	560	37.01	  	0	0	  	4	0.26	  	0	0	  	1513	96.62	  	53	3.38	  	1566	1.82
Morphett Vale South		                        	10	1.05	  	7	0.74	  	109	11.47	  	0	0	  	1	0.11	  	211	22.21	  	3	0.32	  	9	0.95	  	22	2.32	  	113	11.89	  	464	48.84	  	0	0	  	0	0	  	1	0.11	  	950	97.24	  	27	2.76	  	977	1.14
Noarlunga Downs		                            	12	1.12	  	7	0.65	  	111	10.32	  	1	0.09	  	1	0.09	  	266	24.72	  	2	0.19	  	6	0.56	  	28	2.6	  	137	12.73	  	497	46.19	  	3	0.28	  	5	0.46	  	0	0	  	1076	97.46	  	28	2.54	  	1104	1.28
O'Halloran Hill		                            	16	0.6	  	11	0.41	  	434	16.3	  	1	0.04	  	1	0.04	  	1112	41.76	  	1	0.04	  	14	0.53	  	64	2.4	  	194	7.29	  	810	30.42	  	0	0	  	5	0.19	  	0	0	  	2663	98.08	  	52	1.92	  	2715	3.16
O'Sullivan Beach		                           	14	1.14	  	12	0.97	  	119	9.67	  	0	0	  	2	0.16	  	308	25.02	  	2	0.16	  	7	0.57	  	30	2.44	  	165	13.4	  	567	46.06	  	0	0	  	5	0.41	  	0	0	  	1231	97.31	  	34	2.69	  	1265	1.47
Old Noarlunga		                              	7	1.13	  	1	0.16	  	82	13.2	  	0	0	  	0	0	  	221	35.59	  	0	0	  	1	0.16	  	17	2.74	  	79	12.72	  	210	33.82	  	0	0	  	0	0	  	3	0.48	  	621	96.58	  	22	3.42	  	643	0.75
Onkaparinga Hills		                          	14	0.97	  	8	0.56	  	246	17.11	  	1	0.07	  	1	0.07	  	450	31.29	  	0	0	  	8	0.56	  	30	2.09	  	122	8.48	  	551	38.32	  	3	0.21	  	4	0.28	  	0	0	  	1438	98.09	  	28	1.91	  	1466	1.71
Pimpala		                                    	16	0.83	  	8	0.42	  	250	12.97	  	0	0	  	3	0.16	  	738	38.3	  	4	0.21	  	14	0.73	  	42	2.18	  	188	9.76	  	659	34.2	  	1	0.05	  	3	0.16	  	1	0.05	  	1927	97.67	  	46	2.33	  	1973	2.3
Port Noarlunga		                             	21	1.43	  	12	0.82	  	212	14.44	  	0	0	  	1	0.07	  	510	34.74	  	0	0	  	7	0.48	  	48	3.27	  	147	10.01	  	504	34.33	  	0	0	  	6	0.41	  	0	0	  	1468	98.19	  	27	1.81	  	1495	1.74
Reynella		                                   	16	0.68	  	21	0.9	  	349	14.94	  	2	0.09	  	0	0	  	917	39.26	  	2	0.09	  	8	0.34	  	39	1.67	  	208	8.9	  	770	32.96	  	1	0.04	  	2	0.09	  	1	0.04	  	2336	97.9	  	50	2.1	  	2386	2.78
Reynella East		                              	24	0.78	  	10	0.32	  	498	16.11	  	2	0.06	  	5	0.16	  	1189	38.47	  	0	0	  	11	0.36	  	80	2.59	  	262	8.48	  	999	32.32	  	1	0.03	  	9	0.29	  	1	0.03	  	3091	97.51	  	79	2.49	  	3170	3.69
Reynella South		                             	38	1.37	  	11	0.4	  	356	12.82	  	2	0.07	  	4	0.14	  	977	35.19	  	3	0.11	  	14	0.5	  	65	2.34	  	271	9.76	  	1026	36.96	  	2	0.07	  	4	0.14	  	3	0.11	  	2776	97.34	  	76	2.66	  	2852	3.32
Seaford		                                    	17	0.77	  	8	0.36	  	299	13.58	  	2	0.09	  	1	0.05	  	634	28.79	  	0	0	  	8	0.36	  	67	3.04	  	270	12.26	  	891	40.46	  	0	0	  	5	0.23	  	0	0	  	2202	97.48	  	57	2.52	  	2259	2.63
Seaford Rise		                               	10	0.59	  	9	0.53	  	204	12.1	  	0	0	  	4	0.24	  	549	32.56	  	1	0.06	  	9	0.53	  	36	2.14	  	166	9.85	  	694	41.16	  	0	0	  	4	0.24	  	0	0	  	1686	97.4	  	45	2.6	  	1731	2.01
Sellicks Beach		                             	8	1.11	  	5	0.69	  	81	11.23	  	0	0	  	1	0.14	  	245	33.98	  	1	0.14	  	4	0.55	  	30	4.16	  	101	14.01	  	242	33.56	  	1	0.14	  	2	0.28	  	0	0	  	721	96.01	  	30	3.99	  	751	0.87
Sheidow Park		                               	33	1.4	  	8	0.34	  	338	14.38	  	1	0.04	  	3	0.13	  	916	38.96	  	0	0	  	17	0.72	  	52	2.21	  	223	9.49	  	756	32.16	  	0	0	  	4	0.17	  	0	0	  	2351	98	  	48	2	  	2399	2.79
Trott Park		                                 	10	0.99	  	4	0.39	  	170	16.75	  	1	0.1	  	0	0	  	396	39.01	  	0	0	  	2	0.2	  	20	1.97	  	69	6.8	  	339	33.4	  	2	0.2	  	2	0.2	  	0	0	  	1015	97.6	  	25	2.4	  	1040	1.21
Willunga		                                   	12	0.74	  	5	0.31	  	263	16.23	  	1	0.06	  	1	0.06	  	786	48.52	  	0	0	  	11	0.68	  	37	2.28	  	147	9.07	  	350	21.6	  	1	0.06	  	5	0.31	  	1	0.06	  	1620	97.89	  	35	2.11	  	1655	1.93
Woodcroft		                                  	40	1.07	  	10	0.27	  	477	12.76	  	7	0.19	  	4	0.11	  	1577	42.2	  	0	0	  	16	0.43	  	58	1.55	  	290	7.76	  	1247	33.37	  	2	0.05	  	7	0.19	  	2	0.05	  	3737	97.67	  	89	2.33	  	3826	4.45
Special Hospitals		                          	3	0.71	  	4	0.94	  	27	6.37	  	1	0.24	  	0	0	  	249	58.73	  	1	0.24	  	1	0.24	  	2	0.47	  	27	6.37	  	107	25.24	  	2	0.47	  	0	0	  	0	0	  	424	95.93	  	18	4.07	  	442	0.51
Total Ordinary		                             	697	1.03	  	354	0.52	  	9229	13.58	  	44	0.06	  	85	0.13	  	24459	35.98	  	45	0.07	  	357	0.53	  	1605	2.36	  	6819	10.03	  	24074	35.41	  	35	0.05	  	150	0.22	  	25	0.04	  	67978	97.49	  	1751	2.51	  	69729	81.14
ABSENT		                                     	58	0.96	  	31	0.51	  	875	14.47	  	5	0.08	  	10	0.17	  	2394	39.6	  	6	0.1	  	30	0.5	  	217	3.59	  	553	9.15	  	1844	30.5	  	3	0.05	  	18	0.3	  	1	0.02	  	6045	98.48	  	93	1.52	  	6138	7.14
POSTAL		                                     	73	1.58	  	22	0.47	  	609	13.14	  	4	0.09	  	6	0.13	  	1735	37.45	  	2	0.04	  	15	0.32	  	87	1.88	  	498	10.75	  	1560	33.67	  	3	0.06	  	14	0.3	  	5	0.11	  	4633	99.19	  	38	0.81	  	4671	5.44
PRE_POLL		                                   	68	1.62	  	18	0.43	  	510	12.15	  	2	0.05	  	2	0.05	  	1538	36.65	  	3	0.07	  	25	0.6	  	108	2.57	  	436	10.39	  	1477	35.19	  	2	0.05	  	6	0.14	  	2	0.05	  	4197	98.73	  	54	1.27	  	4251	4.95
PROVISIONAL		                                	19	1.69	  	10	0.89	  	120	10.69	  	3	0.27	  	1	0.09	  	286	25.47	  	1	0.09	  	9	0.8	  	60	5.34	  	119	10.6	  	492	43.81	  	1	0.09	  	2	0.18	  	0	0	  	1123	97.74	  	26	2.26	  	1149	1.34
Division Summary		                           	915	1.09	  	435	0.52	  	11343	13.51	  	58	0.07	  	104	0.12	  	30412	36.22	  	57	0.07	  	436	0.52	  	2077	2.47	  	8425	10.03	  	29447	35.07	  	44	0.05	  	190	0.23	  	33	0.04	  	83976	97.72	  	1962	2.28	  	85938	96.56


Makin (89832)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Makin)		                           	1	1.61	  	0	0	  	10	16.13	  	0	0	  	0	0	  	24	38.71	  	0	0	  	0	0	  	5	8.06	  	3	4.84	  	19	30.65	  	0	0	  	0	0	  	0	0	  	62	100	  	0	0	  	62	0.07
Banksia Park		                               	21	0.96	  	7	0.32	  	323	14.8	  	2	0.09	  	2	0.09	  	951	43.58	  	0	0	  	9	0.41	  	36	1.65	  	225	10.31	  	599	27.45	  	4	0.18	  	2	0.09	  	1	0.05	  	2182	98.38	  	36	1.62	  	2218	2.55
Enfield North (Makin)		                      	3	0.49	  	2	0.33	  	77	12.6	  	0	0	  	0	0	  	183	29.95	  	0	0	  	2	0.33	  	10	1.64	  	73	11.95	  	255	41.73	  	3	0.49	  	2	0.33	  	1	0.16	  	611	97.45	  	16	2.55	  	627	0.72
Fairview Park		                              	14	0.83	  	3	0.18	  	234	13.85	  	0	0	  	2	0.12	  	820	48.55	  	2	0.12	  	3	0.18	  	42	2.49	  	144	8.53	  	419	24.81	  	4	0.24	  	2	0.12	  	0	0	  	1689	98.14	  	32	1.86	  	1721	1.98
Golden Grove		                               	2	0.57	  	0	0	  	36	10.26	  	0	0	  	0	0	  	155	44.16	  	0	0	  	0	0	  	5	1.42	  	47	13.39	  	106	30.2	  	0	0	  	0	0	  	0	0	  	351	96.96	  	11	3.04	  	362	0.42
Golden Grove Central		                       	27	1.19	  	9	0.4	  	315	13.86	  	2	0.09	  	6	0.26	  	1020	44.89	  	1	0.04	  	7	0.31	  	37	1.63	  	173	7.61	  	667	29.36	  	4	0.18	  	2	0.09	  	2	0.09	  	2272	98.35	  	38	1.65	  	2310	2.66
Golden Grove East		                          	10	0.78	  	4	0.31	  	190	14.74	  	0	0	  	2	0.16	  	584	45.31	  	3	0.23	  	0	0	  	15	1.16	  	86	6.67	  	391	30.33	  	0	0	  	2	0.16	  	2	0.16	  	1289	98.1	  	25	1.9	  	1314	1.51
Greenwith		                                  	38	1.12	  	9	0.27	  	435	12.84	  	0	0	  	3	0.09	  	1509	44.53	  	2	0.06	  	12	0.35	  	58	1.71	  	240	7.08	  	1079	31.84	  	0	0	  	4	0.12	  	0	0	  	3389	97.81	  	76	2.19	  	3465	3.99
Holden Hill North		                          	17	1.15	  	9	0.61	  	174	11.76	  	0	0	  	1	0.07	  	555	37.5	  	1	0.07	  	4	0.27	  	24	1.62	  	142	9.59	  	541	36.55	  	8	0.54	  	4	0.27	  	0	0	  	1480	96.99	  	46	3.01	  	1526	1.76
Hope Valley		                                	19	1.54	  	7	0.57	  	163	13.21	  	1	0.08	  	2	0.16	  	493	39.95	  	1	0.08	  	5	0.41	  	22	1.78	  	121	9.81	  	395	32.01	  	1	0.08	  	3	0.24	  	1	0.08	  	1234	96.78	  	41	3.22	  	1275	1.47
Ingle Farm		                                 	35	1.02	  	15	0.44	  	415	12.06	  	1	0.03	  	4	0.12	  	966	28.08	  	4	0.12	  	13	0.38	  	79	2.3	  	419	12.18	  	1479	42.99	  	4	0.12	  	4	0.12	  	2	0.06	  	3440	95.66	  	156	4.34	  	3596	4.14
Ingle Farm North		                           	12	1.18	  	12	1.18	  	127	12.51	  	0	0	  	1	0.1	  	256	25.22	  	0	0	  	6	0.59	  	12	1.18	  	118	11.63	  	468	46.11	  	0	0	  	3	0.3	  	0	0	  	1015	97.5	  	26	2.5	  	1041	1.2
Modbury Central		                            	33	1.72	  	8	0.42	  	248	12.92	  	3	0.16	  	1	0.05	  	718	37.42	  	1	0.05	  	7	0.36	  	47	2.45	  	175	9.12	  	672	35.02	  	1	0.05	  	2	0.1	  	3	0.16	  	1919	97.07	  	58	2.93	  	1977	2.28
Modbury Heights		                            	20	0.62	  	11	0.34	  	467	14.51	  	0	0	  	1	0.03	  	1270	39.45	  	2	0.06	  	12	0.37	  	60	1.86	  	265	8.23	  	1104	34.3	  	4	0.12	  	2	0.06	  	1	0.03	  	3219	97.72	  	75	2.28	  	3294	3.79
Modbury North		                              	27	1.12	  	7	0.29	  	337	13.93	  	1	0.04	  	3	0.12	  	952	39.34	  	1	0.04	  	10	0.41	  	47	1.94	  	261	10.79	  	765	31.61	  	4	0.17	  	5	0.21	  	0	0	  	2420	97.07	  	73	2.93	  	2493	2.87
Modbury West		                               	30	1.08	  	10	0.36	  	365	13.19	  	1	0.04	  	4	0.14	  	1027	37.12	  	2	0.07	  	7	0.25	  	46	1.66	  	263	9.5	  	1002	36.21	  	4	0.14	  	5	0.18	  	1	0.04	  	2767	97.29	  	77	2.71	  	2844	3.27
Para Hills		                                 	42	1.2	  	9	0.26	  	415	11.87	  	28	0.8	  	5	0.14	  	1128	32.26	  	3	0.09	  	19	0.54	  	71	2.03	  	432	12.35	  	1339	38.29	  	1	0.03	  	3	0.09	  	2	0.06	  	3497	96.52	  	126	3.48	  	3623	4.17
Para Hills East		                            	18	1.29	  	5	0.36	  	173	12.37	  	1	0.07	  	1	0.07	  	475	33.95	  	1	0.07	  	5	0.36	  	25	1.79	  	150	10.72	  	542	38.74	  	1	0.07	  	2	0.14	  	0	0	  	1399	96.15	  	56	3.85	  	1455	1.68
Para Hills West		                            	14	0.88	  	13	0.81	  	179	11.21	  	2	0.13	  	3	0.19	  	439	27.49	  	2	0.13	  	12	0.75	  	15	0.94	  	202	12.65	  	705	44.15	  	1	0.06	  	6	0.38	  	4	0.25	  	1597	95.63	  	73	4.37	  	1670	1.92
