House of Representatives - 2001 Election: Victoria							
Swing to ALP							
By Division by Polling Place						
							
Aston							
							
Polling Place	Formal	BOLAND		PEARCE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
							
Corangamite							
							
Polling Place	Formal	BJORK-BILLINGS		McARTHUR		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Aireys Inlet	614	353	57.49	261	42.51	5.86	
Alvie	171	47	27.49	124	72.51	1.44	
Anglesea	1473	714	48.47	759	51.53	-0.17	
Apollo Bay	1129	527	46.68	602	53.32	-0.43	
Bannockburn	1386	620	44.73	766	55.27	-0.66	
Barongarook	134	56	41.79	78	58.21	-0.02
Barwon Heads	1618	866	53.52	752	46.48	-1.76
Beeac	346	122	35.26	224	64.74	4.55
Bellbrae	571	291	50.96	280	49.04	5.97
Belmont	2012	898	44.63	1114	55.37	-3.79
Belmont North	2249	1071	47.62	1178	52.38	-1.68
Birregurra	570	240	42.11	330	57.89	1.08
Carlisle River	97	22	22.68	75	77.32	-16.10
Ceres	581	177	30.46	404	69.54	0.14
Colac	1691	695	41.10	996	58.90	-4.93
Colac East	2006	758	37.79	1248	62.21	-3.08
Colac West	1954	724	37.05	1230	62.95	-5.18
Collendina	3135	1542	49.19	1593	50.81	-3.71
Connewarre	255	127	49.80	128	50.20	-5.71
Cororooke	426	153	35.92	273	64.08	-0.24
Cressy	144	41	28.47	103	71.53	5.02
Deans Marsh	252	122	48.41	130	51.59	-0.57
Dereel	248	150	60.48	98	39.52	3.98
Drysdale (Corangamite)	766	287	37.47	479	62.53	-2.42
Elliminyt	1428	491	34.38	937	65.62	-0.45
Forrest	273	130	47.62	143	52.38	0.52
Freshwater Creek	183	50	27.32	133	72.68	-6.28
Fyansford	187	62	33.16	125	66.84	-12.21
Gellibrand River	261	127	48.66	134	51.34	-8.69
Grovedale	3646	1754	48.11	1892	51.89	-3.34
Grovedale East	1368	615	44.96	753	55.04	2.38
Highton	2774	1085	39.11	1689	60.89	2.92
