Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Mallee (81774)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Serviceton		10	9.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	8.57		71	67.62		0	0.00		0	0.00		9	8.57		2	1.90		4	3.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		105	97.22		3	2.78		108	0.14
Speed		18	12.00		1	0.67		3	2.00		1	0.67		0	0.00		0	0.00		9	6.00		100	66.67		0	0.00		0	0.00		12	8.00		0	0.00		4	2.67		0	0.00		0	0.00		2	1.33		0	0.00		0	0.00		150	94.34		9	5.66		159	0.20
Stuart Mill		5	5.10		3	3.06		0	0.00		0	0.00		0	0.00		0	0.00		6	6.12		51	52.04		0	0.00		0	0.00		29	29.59		0	0.00		2	2.04		0	0.00		0	0.00		2	2.04		0	0.00		0	0.00		98	97.03		3	2.97		101	0.13
Sunnycliffs		23	11.68		2	1.02		4	2.03		0	0.00		0	0.00		0	0.00		19	9.64		98	49.75		0	0.00		1	0.51		38	19.29		2	1.02		8	4.06		0	0.00		0	0.00		2	1.02		0	0.00		0	0.00		197	94.26		12	5.74		209	0.27
Swan Hill		325	10.69		70	2.30		43	1.41		4	0.13		2	0.07		1	0.03		198	6.52		1578	51.92		8	0.26		6	0.20		614	20.20		9	0.30		138	4.54		0	0.00		3	0.10		39	1.28		1	0.03		0	0.00		3039	94.50		177	5.50		3216	4.09
Swan Hill South		92	8.42		27	2.47		14	1.28		0	0.00		0	0.00		0	0.00		41	3.75		659	60.29		4	0.37		0	0.00		163	14.91		4	0.37		62	5.67		0	0.00		1	0.09		26	2.38		0	0.00		0	0.00		1093	95.54		51	4.46		1144	1.45
Swan Hill West		119	7.92		45	2.99		25	1.66		1	0.07		2	0.13		0	0.00		86	5.72		826	54.96		8	0.53		3	0.20		269	17.90		8	0.53		88	5.85		0	0.00		2	0.13		20	1.33		0	0.00		1	0.07		1503	95.19		76	4.81		1579	2.01
Toolondo		13	9.56		0	0.00		6	4.41		0	0.00		0	0.00		0	0.00		19	13.97		78	57.35		0	0.00		0	0.00		12	8.82		0	0.00		4	2.94		0	0.00		0	0.00		4	2.94		0	0.00		0	0.00		136	97.14		4	2.86		140	0.18
Ultima		6	4.20		3	2.10		1	0.70		0	0.00		0	0.00		0	0.00		9	6.29		96	67.13		0	0.00		0	0.00		23	16.08		0	0.00		4	2.80		0	0.00		1	0.70		0	0.00		0	0.00		0	0.00		143	94.70		8	5.30		151	0.19
Underbool		18	8.07		3	1.35		5	2.24		0	0.00		0	0.00		0	0.00		18	8.07		148	66.37		0	0.00		0	0.00		19	8.52		8	3.59		3	1.35		0	0.00		0	0.00		1	0.45		0	0.00		0	0.00		223	95.30		11	4.70		234	0.30
Walpeup		14	8.75		1	0.63		1	0.63		0	0.00		0	0.00		0	0.00		9	5.63		97	60.63		0	0.00		2	1.25		23	14.38		1	0.63		4	2.50		0	0.00		0	0.00		8	5.00		0	0.00		0	0.00		160	96.97		5	3.03		165	0.21
Warracknabeal		146	8.38		44	2.52		22	1.26		3	0.17		0	0.00		2	0.11		125	7.17		986	56.57		6	0.34		13	0.75		319	18.30		11	0.63		36	2.07		1	0.06		0	0.00		28	1.61		1	0.06		0	0.00		1743	94.83		95	5.17		1838	2.34
Watchem		5	4.03		1	0.81		3	2.42		0	0.00		0	0.00		0	0.00		7	5.65		91	73.39		0	0.00		0	0.00		13	10.48		0	0.00		3	2.42		0	0.00		1	0.81		0	0.00		0	0.00		0	0.00		124	95.38		6	4.62		130	0.17
