Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

McMillan (85551)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Warragul		48	1.74		53	1.92		24	0.87		0	0.00		1	0.04		0	0.00		78	2.83		1379	49.96		4	0.14		0	0.00		766	27.75		37	1.34		207	7.50		0	0.00		2	0.07		159	5.76		0	0.00		2	0.07		2760	96.37		104	3.63		2864	3.48
Warragul East		30	3.04		19	1.93		8	0.81		1	0.10		2	0.20		0	0.00		43	4.36		495	50.20		4	0.41		0	0.00		289	29.31		6	0.61		50	5.07		1	0.10		2	0.20		34	3.45		1	0.10		1	0.10		986	94.44		58	5.56		1044	1.27
Warragul North		41	2.35		24	1.37		22	1.26		1	0.06		2	0.11		0	0.00		44	2.52		963	55.12		1	0.06		0	0.00		408	23.35		9	0.52		157	8.99		0	0.00		1	0.06		74	4.24		0	0.00		0	0.00		1747	96.68		60	3.32		1807	2.20
Willowgrove		9	2.43		6	1.62		6	1.62		1	0.27		0	0.00		0	0.00		12	3.23		186	50.13		0	0.00		0	0.00		102	27.49		2	0.54		40	10.78		0	0.00		0	0.00		7	1.89		0	0.00		0	0.00		371	97.63		9	2.37		380	0.46
Yallourn North		15	1.62		10	1.08		8	0.86		3	0.32		0	0.00		0	0.00		56	6.04		184	19.85		1	0.11		1	0.11		580	62.57		4	0.43		43	4.64		0	0.00		1	0.11		21	2.27		0	0.00		0	0.00		927	94.88		50	5.12		977	1.19
Yarragon		22	2.76		23	2.88		9	1.13		0	0.00		0	0.00		0	0.00		52	6.52		389	48.75		0	0.00		0	0.00		221	27.69		4	0.50		38	4.76		0	0.00		1	0.13		38	4.76		0	0.00		1	0.13		798	93.66		54	6.34		852	1.04
Yinnar		32	3.64		13	1.48		15	1.71		1	0.11		0	0.00		0	0.00		38	4.32		341	38.79		2	0.23		1	0.11		321	36.52		5	0.57		67	7.62		0	0.00		1	0.11		41	4.66		0	0.00		1	0.11		879	96.07		36	3.93		915	1.11
Special Hospitals		23	3.67		11	1.75		5	0.80		3	0.48		2	0.32		0	0.00		14	2.23		289	46.09		6	0.96		0	0.00		252	40.19		2	0.32		12	1.91		1	0.16		1	0.16		6	0.96		0	0.00		0	0.00		627	95.14		32	4.86		659	0.80
Total Ordinary		1465	2.24		1362	2.08		676	1.03		65	0.10		19	0.03		30	0.05		2771	4.23		26955	41.14		157	0.24		86	0.13		24793	37.84		427	0.65		4164	6.35		18	0.03		67	0.10		2431	3.71		15	0.02		26	0.04		65527	94.93		3498	5.07		69025	83.87
ABSENT		108	2.85		117	3.09		48	1.27		0	0.00		3	0.08		1	0.03		132	3.48		1415	37.34		11	0.29		3	0.08		1239	32.70		23	0.61		391	10.32		2	0.05		5	0.13		284	7.50		6	0.16		1	0.03		3789	97.33		104	2.67		3893	4.73
POSTAL		77	2.92		43	1.63		37	1.40		1	0.04		2	0.08		1	0.04		140	5.31		1138	43.16		2	0.08		7	0.27		956	36.25		21	0.80		163	6.18		1	0.04		2	0.08		44	1.67		2	0.08		0	0.00		2637	98.07		52	1.93		2689	3.27
PRE_POLL		158	2.66		90	1.52		91	1.53		3	0.05		4	0.07		3	0.05		269	4.53		2560	43.15		19	0.32		15	0.25		2202	37.11		29	0.49		323	5.44		5	0.08		3	0.05		152	2.56		5	0.08		2	0.03		5933	97.44		156	2.56		6089	7.40
PROVISIONAL		21	3.62		32	5.52		5	0.86		1	0.17		0	0.00		0	0.00		25	4.31		169	29.14		1	0.17		0	0.00		259	44.66		2	0.34		38	6.55		0	0.00		1	0.17		26	4.48		0	0.00		0	0.00		580	95.39		28	4.61		608	0.74
Division Summary		1829	2.33		1644	2.1		857	1.09		70	0.09		28	0.04		35	0.04		3337	4.25		32237	41.08		190	0.24		111	0.14		29449	37.53		502	0.64		5079	6.47		26	0.03		78	0.1		2937	3.74		28	0.04		29	0.04		78466	95.34		3838	4.66		82304	96.2
