Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Barker (87836)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Swan Reach		68	27.76		4	1.63		14	5.71		0	0.00		141	57.55		1	0.41		0	0.00		1	0.41		15	6.12		1	0.41		245	99.19		2	0.81		247	0.29
Tailem Bend		410	33.55		27	2.21		136	11.13		0	0.00		543	44.44		1	0.08		1	0.08		4	0.33		97	7.94		3	0.25		1222	95.92		52	4.08		1274	1.50
Tantanoola		75	26.98		11	3.96		18	6.47		1	0.36		160	57.55		0	0.00		0	0.00		1	0.36		12	4.32		0	0.00		278	98.23		5	1.77		283	0.33
Tarpeena		149	42.69		10	2.87		35	10.03		0	0.00		133	38.11		1	0.29		1	0.29		2	0.57		16	4.58		2	0.57		349	96.94		11	3.06		360	0.42
Tintinara		28	6.39		2	0.46		23	5.25		0	0.00		365	83.33		0	0.00		0	0.00		1	0.23		19	4.34		0	0.00		438	97.33		12	2.67		450	0.53
Victor Harbor		783	23.76		109	3.31		174	5.28		6	0.18		1838	55.78		2	0.06		1	0.03		5	0.15		376	11.41		1	0.03		3295	95.34		161	4.66		3456	4.08
Victor Harbor East		236	20.07		34	2.89		50	4.25		2	0.17		733	62.33		1	0.09		0	0.00		0	0.00		120	10.20		0	0.00		1176	96.24		46	3.76		1222	1.44
Victor Harbor South		455	25.01		62	3.41		98	5.39		1	0.05		1030	56.62		0	0.00		0	0.00		5	0.27		167	9.18		1	0.05		1819	96.60		64	3.40		1883	2.22
Walker Flat		24	17.39		3	2.17		11	7.97		0	0.00		90	65.22		0	0.00		0	0.00		0	0.00		10	7.25		0	0.00		138	97.18		4	2.82		142	0.17
Wanbi		15	21.74		1	1.45		2	2.90		0	0.00		46	66.67		1	1.45		0	0.00		0	0.00		4	5.80		0	0.00		69	95.83		3	4.17		72	0.08
Wellington West		34	19.32		2	1.14		20	11.36		1	0.57		99	56.25		0	0.00		0	0.00		0	0.00		20	11.36		0	0.00		176	96.17		7	3.83		183	0.22
Western Flat		9	9.47		2	2.11		5	5.26		0	0.00		76	80.00		0	0.00		0	0.00		1	1.05		2	2.11		0	0.00		95	96.94		3	3.06		98	0.12
Willalooka		12	7.36		2	1.23		5	3.07		0	0.00		138	84.66		0	0.00		0	0.00		0	0.00		6	3.68		0	0.00		163	98.79		2	1.21		165	0.19
Wolseley		38	27.74		1	0.73		12	8.76		0	0.00		82	59.85		1	0.73		1	0.73		0	0.00		2	1.46		0	0.00		137	97.86		3	2.14		140	0.17
Woods Point		24	16.67		1	0.69		9	6.25		1	0.69		98	68.06		0	0.00		0	0.00		0	0.00		11	7.64		0	0.00		144	96.00		6	4.00		150	0.18
Yahl		76	25.42		11	3.68		23	7.69		0	0.00		167	55.85		0	0.00		0	0.00		1	0.33		20	6.69		1	0.33		299	97.08		9	2.92		308	0.36
Yankalilla		344	24.66		75	5.38		91	6.52		1	0.07		707	50.68		1	0.07		1	0.07		4	0.29		170	12.19		1	0.07		1395	96.81		46	3.19		1441	1.70
Special Hospitals		179	34.10		6	1.14		16	3.05		1	0.19		300	57.14		0	0.00		0	0.00		2	0.38		21	4.00		0	0.00		525	96.33		20	3.67		545	0.64
Total Ordinary		17905	25.13		2096	2.94		4769	6.69		90	0.13		40037	56.20		52	0.07		46	0.06		170	0.24		5990	8.41		85	0.12		71240	96.72		2418	3.28		73658	86.91
ABSENT		918	21.64		180	4.24		230	5.42		8	0.19		2286	53.88		7	0.16		0	0.00		15	0.35		591	13.93		8	0.19		4243	98.56		62	1.44		4305	5.08
POSTAL		518	17.07		71	2.34		214	7.05		2	0.07		1955	64.44		0	0.00		3	0.10		9	0.30		251	8.27		11	0.36		3034	98.80		37	1.20		3071	3.62
PRE_POLL		777	27.48		106	3.75		187	6.61		5	0.18		1458	51.56		1	0.04		0	0.00		12	0.42		280	9.90		2	0.07		2828	99.05		27	0.95		2855	3.37
PROVISIONAL		285	33.73		57	6.75		68	8.05		1	0.12		359	42.49		1	0.12		0	0.00		2	0.24		71	8.40		1	0.12		845	97.46		22	2.54		867	1.02
Division Summary		20403	24.82		2510	3.05		5468	6.65		106	0.13		46095	56.08		61	0.07		49	0.06		208	0.25		7183	8.74		107	0.13		82190	96.97		2566	3.03		84756	96.49
