Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bool Lagoon		                                	0	0	 	0	0	 	3	3.95	 	1	1.32	 	1	1.32	 	0	0	 	0	0	 	0	0	 	2	2.63	 	1	1.32	 	0	0	 	68	89.47	 	0	0	 	76	100	 	0	0	 	76	0.09
Bordertown		                                 	7	0.38	 	14	0.75	 	18	0.97	 	79	4.26	 	303	16.33	 	5	0.27	 	59	3.18	 	4	0.22	 	6	0.32	 	9	0.49	 	16	0.86	 	1335	71.97	 	0	0	 	1855	98.1	 	36	1.9	 	1891	2.35
Borrika		                                    	0	0	 	1	1.61	 	3	4.84	 	1	1.61	 	2	3.23	 	0	0	 	3	4.84	 	0	0	 	1	1.61	 	0	0	 	0	0	 	51	82.26	 	0	0	 	62	98.41	 	1	1.59	 	63	0.08
Brinkley		                                   	0	0	 	0	0	 	0	0	 	0	0	 	14	12.96	 	0	0	 	2	1.85	 	1	0.93	 	1	0.93	 	0	0	 	1	0.93	 	89	82.41	 	0	0	 	108	96.43	 	4	3.57	 	112	0.14
Cambrai		                                    	0	0	 	4	1.87	 	1	0.47	 	0	0	 	34	15.89	 	1	0.47	 	13	6.07	 	1	0.47	 	2	0.93	 	2	0.93	 	0	0	 	156	72.9	 	0	0	 	214	96.83	 	7	3.17	 	221	0.27
Carpenter Rocks		                            	2	1.1	 	3	1.66	 	1	0.55	 	0	0	 	71	39.23	 	0	0	 	11	6.08	 	1	0.55	 	0	0	 	1	0.55	 	1	0.55	 	90	49.72	 	0	0	 	181	97.31	 	5	2.69	 	186	0.23
Compton-Burrungule		                         	2	0.56	 	2	0.56	 	1	0.28	 	11	3.11	 	82	23.16	 	0	0	 	22	6.21	 	2	0.56	 	4	1.13	 	0	0	 	1	0.28	 	227	64.12	 	0	0	 	354	99.16	 	3	0.84	 	357	0.44
Coomandook		                                 	1	0.58	 	0	0	 	2	1.17	 	0	0	 	20	11.7	 	1	0.58	 	6	3.51	 	1	0.58	 	3	1.75	 	0	0	 	0	0	 	137	80.12	 	0	0	 	171	99.42	 	1	0.58	 	172	0.21
Coonalpyn		                                  	2	0.58	 	0	0	 	6	1.75	 	2	0.58	 	40	11.66	 	0	0	 	15	4.37	 	1	0.29	 	14	4.08	 	0	0	 	2	0.58	 	260	75.8	 	1	0.29	 	343	97.44	 	9	2.56	 	352	0.44
Coonawarra		                                 	1	0.52	 	0	0	 	0	0	 	4	2.08	 	24	12.5	 	0	0	 	2	1.04	 	0	0	 	0	0	 	2	1.04	 	1	0.52	 	158	82.29	 	0	0	 	192	99.48	 	1	0.52	 	193	0.24
Copeville		                                  	0	0	 	1	2.27	 	0	0	 	0	0	 	1	2.27	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	42	95.45	 	0	0	 	44	100	 	0	0	 	44	0.05
Currency Creek		                             	1	0.49	 	0	0	 	0	0	 	0	0	 	36	17.73	 	0	0	 	17	8.37	 	0	0	 	1	0.49	 	0	0	 	1	0.49	 	147	72.41	 	0	0	 	203	98.54	 	3	1.46	 	206	0.26
Delamere		                                   	1	0.5	 	2	0.99	 	0	0	 	2	0.99	 	37	18.32	 	0	0	 	25	12.38	 	1	0.5	 	0	0	 	0	0	 	1	0.5	 	133	65.84	 	0	0	 	202	94.84	 	11	5.16	 	213	0.26
Encounter Bay		                              	4	0.47	 	5	0.59	 	4	0.47	 	16	1.87	 	215	25.18	 	0	0	 	73	8.55	 	4	0.47	 	4	0.47	 	6	0.7	 	0	0	 	523	61.24	 	0	0	 	854	97.38	 	23	2.62	 	877	1.09
Finniss		                                    	0	0	 	2	2.27	 	2	2.27	 	0	0	 	15	17.05	 	0	0	 	5	5.68	 	1	1.14	 	0	0	 	0	0	 	1	1.14	 	62	70.45	 	0	0	 	88	98.88	 	1	1.12	 	89	0.11
Frances		                                    	0	0	 	0	0	 	6	4.35	 	2	1.45	 	18	13.04	 	0	0	 	3	2.17	 	0	0	 	2	1.45	 	0	0	 	1	0.72	 	106	76.81	 	0	0	 	138	97.87	 	3	2.13	 	141	0.18
Furner		                                     	0	0	 	1	0.81	 	3	2.44	 	0	0	 	11	8.94	 	0	0	 	0	0	 	1	0.81	 	1	0.81	 	2	1.63	 	0	0	 	104	84.55	 	0	0	 	123	99.19	 	1	0.81	 	124	0.15
Geranium-Jabuk		                             	0	0	 	1	0.75	 	2	1.49	 	2	1.49	 	3	2.24	 	0	0	 	7	5.22	 	0	0	 	1	0.75	 	0	0	 	0	0	 	118	88.06	 	0	0	 	134	100	 	0	0	 	134	0.17
Glenburnie		                                 	2	0.83	 	2	0.83	 	1	0.42	 	10	4.17	 	64	26.67	 	0	0	 	9	3.75	 	1	0.42	 	5	2.08	 	0	0	 	1	0.42	 	145	60.42	 	0	0	 	240	97.96	 	5	2.04	 	245	0.3
Glencoe		                                    	1	0.26	 	4	1.04	 	4	1.04	 	4	1.04	 	115	29.87	 	2	0.52	 	46	11.95	 	2	0.52	 	1	0.26	 	1	0.26	 	6	1.56	 	199	51.69	 	0	0	 	385	98.72	 	5	1.28	 	390	0.48
Goolwa		                                     	11	0.48	 	37	1.63	 	7	0.31	 	35	1.54	 	703	30.9	 	1	0.04	 	258	11.34	 	23	1.01	 	18	0.79	 	35	1.54	 	10	0.44	 	1135	49.89	 	2	0.09	 	2275	97.43	 	60	2.57	 	2335	2.9
Gosse		                                      	2	2.6	 	1	1.3	 	2	2.6	 	2	2.6	 	5	6.49	 	0	0	 	10	12.99	 	0	0	 	1	1.3	 	0	0	 	2	2.6	 	52	67.53	 	0	0	 	77	98.72	 	1	1.28	 	78	0.1
