Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beverley		                                   	6	0.77	 	15	1.91	 	6	0.77	 	6	0.77	 	461	58.8	 	4	0.51	 	62	7.91	 	4	0.51	 	3	0.38	 	7	0.89	 	5	0.64	 	204	26.02	 	1	0.13	 	784	96.2	 	31	3.8	 	815	1
Birkenhead		                                 	9	0.51	 	39	2.23	 	5	0.29	 	8	0.46	 	1063	60.71	 	9	0.51	 	196	11.19	 	7	0.4	 	23	1.31	 	30	1.71	 	4	0.23	 	354	20.22	 	4	0.23	 	1751	96	 	73	4	 	1824	2.23
Cheltenham		                                 	11	0.72	 	25	1.63	 	1	0.07	 	28	1.83	 	755	49.35	 	8	0.52	 	142	9.28	 	8	0.52	 	3	0.2	 	24	1.57	 	8	0.52	 	516	33.73	 	1	0.07	 	1530	96.59	 	54	3.41	 	1584	1.94
Croydon Park West (Port Adelaide)		          	4	0.95	 	6	1.43	 	1	0.24	 	5	1.19	 	228	54.29	 	5	1.19	 	34	8.1	 	1	0.24	 	2	0.48	 	6	1.43	 	5	1.19	 	123	29.29	 	0	0	 	420	94.59	 	24	5.41	 	444	0.54
Dry Creek		                                  	0	0	 	2	1.24	 	1	0.62	 	0	0	 	80	49.69	 	0	0	 	11	6.83	 	0	0	 	0	0	 	2	1.24	 	0	0	 	65	40.37	 	0	0	 	161	98.17	 	3	1.83	 	164	0.2
Ethelton		                                   	11	0.86	 	22	1.71	 	1	0.08	 	10	0.78	 	738	57.39	 	0	0	 	116	9.02	 	8	0.62	 	10	0.78	 	39	3.03	 	3	0.23	 	328	25.51	 	0	0	 	1286	97.2	 	37	2.8	 	1323	1.62
Ferryden Park		                              	14	1.25	 	17	1.52	 	4	0.36	 	6	0.54	 	766	68.45	 	5	0.45	 	85	7.6	 	4	0.36	 	8	0.71	 	14	1.25	 	8	0.71	 	187	16.71	 	1	0.09	 	1119	95.23	 	56	4.77	 	1175	1.44
Findon		                                     	11	0.68	 	20	1.24	 	5	0.31	 	13	0.8	 	866	53.59	 	7	0.43	 	126	7.8	 	4	0.25	 	14	0.87	 	20	1.24	 	6	0.37	 	523	32.36	 	1	0.06	 	1616	95.73	 	72	4.27	 	1688	2.07
Findon North		                               	9	0.76	 	20	1.68	 	1	0.08	 	15	1.26	 	635	53.41	 	8	0.67	 	123	10.34	 	7	0.59	 	3	0.25	 	6	0.5	 	5	0.42	 	357	30.03	 	0	0	 	1189	95.96	 	50	4.04	 	1239	1.52
Grange		                                     	22	0.56	 	67	1.72	 	6	0.15	 	31	0.8	 	1470	37.71	 	12	0.31	 	458	11.75	 	27	0.69	 	11	0.28	 	32	0.82	 	11	0.28	 	1751	44.92	 	0	0	 	3898	98.16	 	73	1.84	 	3971	4.86
Kilkenny		                                   	9	0.8	 	14	1.25	 	4	0.36	 	12	1.07	 	593	52.9	 	4	0.36	 	109	9.72	 	5	0.45	 	12	1.07	 	9	0.8	 	3	0.27	 	346	30.87	 	1	0.09	 	1121	96.89	 	36	3.11	 	1157	1.42
Largs Bay		                                  	15	0.42	 	48	1.33	 	5	0.14	 	10	0.28	 	1757	48.79	 	9	0.25	 	376	10.44	 	20	0.56	 	24	0.67	 	46	1.28	 	12	0.33	 	1277	35.46	 	2	0.06	 	3601	97.25	 	102	2.75	 	3703	4.53
North Haven		                                	5	0.22	 	21	0.93	 	0	0	 	3	0.13	 	1080	48.09	 	4	0.18	 	266	11.84	 	5	0.22	 	26	1.16	 	16	0.71	 	8	0.36	 	812	36.15	 	0	0	 	2246	97.61	 	55	2.39	 	2301	2.82
Ottoway		                                    	20	1.43	 	16	1.14	 	4	0.29	 	7	0.5	 	784	56	 	20	1.43	 	85	6.07	 	4	0.29	 	11	0.79	 	23	1.64	 	10	0.71	 	416	29.71	 	0	0	 	1400	94.79	 	77	5.21	 	1477	1.81
Pennington		                                 	9	0.51	 	23	1.31	 	4	0.23	 	14	0.8	 	1128	64.09	 	9	0.51	 	110	6.25	 	12	0.68	 	14	0.8	 	25	1.42	 	1	0.06	 	411	23.35	 	0	0	 	1760	96.97	 	55	3.03	 	1815	2.22
Peterhead		                                  	7	0.66	 	15	1.42	 	3	0.28	 	4	0.38	 	582	55.22	 	5	0.47	 	100	9.49	 	8	0.76	 	11	1.04	 	18	1.71	 	6	0.57	 	295	27.99	 	0	0	 	1054	97.96	 	22	2.04	 	1076	1.32
Port Adelaide		                              	7	0.61	 	33	2.89	 	5	0.44	 	8	0.7	 	672	58.79	 	5	0.44	 	94	8.22	 	8	0.7	 	10	0.87	 	19	1.66	 	10	0.87	 	272	23.8	 	0	0	 	1143	95.81	 	50	4.19	 	1193	1.46
Queenstown		                                 	21	1.06	 	22	1.12	 	4	0.2	 	16	0.81	 	1024	51.9	 	9	0.46	 	190	9.63	 	9	0.46	 	12	0.61	 	36	1.82	 	7	0.35	 	623	31.58	 	0	0	 	1973	95.73	 	88	4.27	 	2061	2.52
Rosewater		                                  	14	0.71	 	30	1.53	 	4	0.2	 	18	0.92	 	1137	57.8	 	9	0.46	 	186	9.46	 	16	0.81	 	10	0.51	 	27	1.37	 	8	0.41	 	508	25.83	 	0	0	 	1967	95.81	 	86	4.19	 	2053	2.51
Royal Park		                                 	39	1.78	 	27	1.23	 	6	0.27	 	19	0.87	 	1033	47.06	 	10	0.46	 	196	8.93	 	7	0.32	 	23	1.05	 	13	0.59	 	10	0.46	 	812	36.99	 	0	0	 	2195	95.43	 	105	4.57	 	2300	2.81
Royal Park South		                           	21	0.95	 	27	1.22	 	2	0.09	 	11	0.5	 	1107	50	 	10	0.45	 	197	8.9	 	11	0.5	 	15	0.68	 	14	0.63	 	7	0.32	 	788	35.59	 	4	0.18	 	2214	96.26	 	86	3.74	 	2300	2.81
St Kilda		                                   	3	1.33	 	4	1.78	 	0	0	 	0	0	 	112	49.78	 	1	0.44	 	23	10.22	 	1	0.44	 	2	0.89	 	3	1.33	 	1	0.44	 	75	33.33	 	0	0	 	225	95.34	 	11	4.66	 	236	0.29
Seaton		                                     	14	0.69	 	19	0.93	 	2	0.1	 	21	1.03	 	960	47.06	 	8	0.39	 	157	7.7	 	9	0.44	 	15	0.74	 	14	0.69	 	10	0.49	 	811	39.75	 	0	0	 	2040	95.95	 	86	4.05	 	2126	2.6
Seaton Park		                                	27	0.96	 	41	1.46	 	6	0.21	 	24	0.85	 	1466	52.12	 	10	0.36	 	262	9.31	 	10	0.36	 	9	0.32	 	19	0.68	 	6	0.21	 	931	33.1	 	2	0.07	 	2813	96.34	 	107	3.66	 	2920	3.57
Semaphore		                                  	23	1.13	 	62	3.05	 	9	0.44	 	12	0.59	 	987	48.62	 	6	0.3	 	296	14.58	 	13	0.64	 	10	0.49	 	28	1.38	 	7	0.34	 	575	28.33	 	2	0.1	 	2030	96.85	 	66	3.15	 	2096	2.56
Semaphore Park		                             	3	0.23	 	15	1.17	 	1	0.08	 	8	0.62	 	650	50.74	 	6	0.47	 	117	9.13	 	7	0.55	 	4	0.31	 	15	1.17	 	3	0.23	 	452	35.28	 	0	0	 	1281	97.49	 	33	2.51	 	1314	1.61
Semaphore Park South		                       	3	0.23	 	21	1.58	 	3	0.23	 	10	0.75	 	745	55.89	 	2	0.15	 	123	9.23	 	7	0.53	 	7	0.53	 	30	2.25	 	1	0.08	 	381	28.58	 	0	0	 	1333	97.44	 	35	2.56	 	1368	1.67
Semaphore South		                            	5	0.45	 	22	1.97	 	1	0.09	 	9	0.81	 	540	48.39	 	1	0.09	 	121	10.84	 	13	1.16	 	4	0.36	 	18	1.61	 	3	0.27	 	379	33.96	 	0	0	 	1116	97.04	 	34	2.96	 	1150	1.41
Taperoo		                                    	15	0.52	 	43	1.5	 	7	0.24	 	12	0.42	 	1755	61.04	 	6	0.21	 	214	7.44	 	10	0.35	 	30	1.04	 	33	1.15	 	6	0.21	 	744	25.88	 	0	0	 	2875	97.1	 	86	2.9	 	2961	3.62
Taperoo East		                               	6	0.45	 	17	1.27	 	1	0.07	 	9	0.67	 	933	69.52	 	3	0.22	 	124	9.24	 	3	0.22	 	17	1.27	 	13	0.97	 	5	0.37	 	211	15.72	 	0	0	 	1342	96.06	 	55	3.94	 	1397	1.71
West Croydon (Port Adelaide)		               	12	1.24	 	21	2.16	 	1	0.1	 	6	0.62	 	520	53.55	 	5	0.51	 	89	9.17	 	8	0.82	 	4	0.41	 	7	0.72	 	2	0.21	 	296	30.48	 	0	0	 	971	95.1	 	50	4.9	 	1021	1.25
West Lakes Shore		                           	14	0.28	 	49	0.99	 	5	0.1	 	21	0.42	 	1472	29.62	 	8	0.16	 	431	8.67	 	35	0.7	 	10	0.2	 	33	0.66	 	12	0.24	 	2879	57.93	 	1	0.02	 	4970	98.2	 	91	1.8	 	5061	6.19
Woodville		                                  	9	0.54	 	30	1.79	 	4	0.24	 	14	0.84	 	743	44.41	 	10	0.6	 	190	11.36	 	10	0.6	 	6	0.36	 	12	0.72	 	5	0.3	 	639	38.19	 	1	0.06	 	1673	97.38	 	45	2.62	 	1718	2.1
Woodville Central		                          	6	0.96	 	7	1.12	 	1	0.16	 	6	0.96	 	313	50.08	 	5	0.8	 	47	7.52	 	4	0.64	 	3	0.48	 	2	0.32	 	2	0.32	 	229	36.64	 	0	0	 	625	95.71	 	28	4.29	 	653	0.8
Woodville Gardens		                          	33	1.24	 	33	1.24	 	6	0.22	 	12	0.45	 	1876	70.21	 	21	0.79	 	143	5.35	 	6	0.22	 	26	0.97	 	26	0.97	 	8	0.3	 	481	18	 	1	0.04	 	2672	95.46	 	127	4.54	 	2799	3.42
Woodville North		                            	12	0.85	 	12	0.85	 	4	0.28	 	9	0.63	 	713	50.21	 	5	0.35	 	94	6.62	 	6	0.42	 	23	1.62	 	36	2.54	 	7	0.49	 	497	35	 	2	0.14	 	1420	95.24	 	71	4.76	 	1491	1.82
Woodville South		                            	9	0.46	 	26	1.34	 	1	0.05	 	18	0.92	 	897	46.07	 	11	0.56	 	193	9.91	 	9	0.46	 	12	0.62	 	34	1.75	 	8	0.41	 	729	37.44	 	0	0	 	1947	96.63	 	68	3.37	 	2015	2.47
Woodville West		                             	13	0.79	 	15	0.91	 	5	0.3	 	25	1.52	 	838	51	 	8	0.49	 	159	9.68	 	8	0.49	 	12	0.73	 	39	2.37	 	4	0.24	 	516	31.41	 	1	0.06	 	1643	96.48	 	60	3.52	 	1703	2.08
Special Hospitals		                          	5	1.85	 	4	1.48	 	1	0.37	 	2	0.74	 	156	57.56	 	0	0	 	21	7.75	 	1	0.37	 	2	0.74	 	6	2.21	 	0	0	 	73	26.94	 	0	0	 	271	96.1	 	11	3.9	 	282	0.35
Total Ordinary		                             	524	0.74	 	1034	1.46	 	141	0.2	 	500	0.71	 	36650	51.73	 	294	0.41	 	6481	9.15	 	354	0.5	 	477	0.67	 	857	1.21	 	256	0.36	 	23255	32.82	 	28	0.04	 	70851	96.56	 	2527	3.44	 	73378	89.77
ABSENT		                                     	24	0.63	 	99	2.61	 	17	0.45	 	27	0.71	 	1776	46.87	 	13	0.34	 	395	10.42	 	45	1.19	 	33	0.87	 	34	0.9	 	29	0.77	 	1296	34.2	 	1	0.03	 	3789	97.78	 	86	2.22	 	3875	4.74
POSTAL		                                     	5	0.23	 	20	0.92	 	12	0.55	 	17	0.78	 	1190	54.61	 	5	0.23	 	142	6.52	 	3	0.14	 	9	0.41	 	64	2.94	 	14	0.64	 	696	31.94	 	2	0.09	 	2179	98.51	 	33	1.49	 	2212	2.71
PRE_POLL		                                   	5	0.25	 	49	2.49	 	5	0.25	 	24	1.22	 	986	50.15	 	12	0.61	 	153	7.78	 	8	0.41	 	13	0.66	 	34	1.73	 	9	0.46	 	668	33.98	 	0	0	 	1966	98.05	 	39	1.95	 	2005	2.45
PROVISIONAL		                                	5	1.92	 	5	1.92	 	2	0.77	 	2	0.77	 	146	56.15	 	3	1.15	 	14	5.38	 	4	1.54	 	2	0.77	 	2	0.77	 	3	1.15	 	72	27.69	 	0	0	 	260	97.74	 	6	2.26	 	266	0.33
ADJUSTMENT		                                 	-6		       	-2		       	0		       	1		       	-2		       	-1		       	-3		       	0		       	0		       	1		       	-1		       	1		       	0		       	-12		       	12		       	0	
Division Summary		                           	557	0.7	 	1205	1.52	 	177	0.22	 	571	0.72	 	40746	51.56	 	326	0.41	 	7182	9.09	 	414	0.52	 	534	0.68	 	992	1.26	 	310	0.39	 	25988	32.88	 	31	0.04	 	79033	96.69	 	2703	3.31	 	81736	94.71
 																																																	


Sturt (82520)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Sturt)		                           	0	0	 	11	7.28	 	2	1.32	 	0	0	 	55	36.42	 	0	0	 	26	17.22	 	2	1.32	 	0	0	 	0	0	 	0	0	 	55	36.42	 	0	0	 	151	98.69	 	2	1.31	 	153	0.2
Aldersgate		                                 	0	0	 	5	1.38	 	0	0	 	8	2.2	 	152	41.87	 	2	0.55	 	42	11.57	 	1	0.28	 	0	0	 	1	0.28	 	0	0	 	152	41.87	 	0	0	 	363	90.07	 	40	9.93	 	403	0.52
Beaumont		                                   	4	0.18	 	35	1.59	 	2	0.09	 	8	0.36	 	292	13.22	 	2	0.09	 	153	6.93	 	24	1.09	 	3	0.14	 	8	0.36	 	6	0.27	 	1671	75.68	 	0	0	 	2208	99.01	 	22	0.99	 	2230	2.86
Beulah Park		                                	11	0.65	 	43	2.55	 	4	0.24	 	7	0.42	 	616	36.6	 	7	0.42	 	228	13.55	 	16	0.95	 	6	0.36	 	9	0.53	 	8	0.48	 	725	43.08	 	3	0.18	 	1683	96.12	 	68	3.88	 	1751	2.25
Burnside		                                   	10	0.3	 	48	1.45	 	4	0.12	 	23	0.7	 	529	16.02	 	2	0.06	 	261	7.9	 	41	1.24	 	10	0.3	 	20	0.61	 	8	0.24	 	2346	71.03	 	1	0.03	 	3303	98.8	 	40	1.2	 	3343	4.29
Campbelltown		                               	16	0.53	 	43	1.43	 	6	0.2	 	56	1.86	 	1282	42.63	 	10	0.33	 	326	10.84	 	16	0.53	 	15	0.5	 	14	0.47	 	7	0.23	 	1215	40.41	 	1	0.03	 	3007	95.31	 	148	4.69	 	3155	4.05
Gilles Plains		                              	2	0.44	 	9	1.97	 	2	0.44	 	6	1.32	 	221	48.46	 	4	0.88	 	70	15.35	 	6	1.32	 	1	0.22	 	0	0	 	1	0.22	 	134	29.39	 	0	0	 	456	96.41	 	17	3.59	 	473	0.61
Gilles Plains East		                         	8	0.61	 	23	1.77	 	3	0.23	 	21	1.61	 	637	48.89	 	2	0.15	 	145	11.13	 	11	0.84	 	3	0.23	 	12	0.92	 	4	0.31	 	432	33.15	 	2	0.15	 	1303	97.9	 	28	2.1	 	1331	1.71
Glen Osmond		                                	4	0.43	 	16	1.7	 	6	0.64	 	6	0.64	 	162	17.23	 	1	0.11	 	75	7.98	 	11	1.17	 	1	0.11	 	4	0.43	 	0	0	 	654	69.57	 	0	0	 	940	99.26	 	7	0.74	 	947	1.22
Glenunga		                                   	2	0.17	 	20	1.7	 	4	0.34	 	8	0.68	 	228	19.34	 	3	0.25	 	97	8.23	 	3	0.25	 	2	0.17	 	5	0.42	 	0	0	 	803	68.11	 	4	0.34	 	1179	98.91	 	13	1.09	 	1192	1.53
Glenunga North		                             	5	0.35	 	25	1.76	 	7	0.49	 	11	0.78	 	407	28.68	 	3	0.21	 	117	8.25	 	12	0.85	 	6	0.42	 	8	0.56	 	3	0.21	 	814	57.36	 	1	0.07	 	1419	98.54	 	21	1.46	 	1440	1.85
Glynde		                                     	11	0.66	 	18	1.08	 	2	0.12	 	24	1.44	 	643	38.46	 	5	0.3	 	163	9.75	 	20	1.2	 	8	0.48	 	11	0.66	 	5	0.3	 	759	45.39	 	3	0.18	 	1672	95.6	 	77	4.4	 	1749	2.25
Greenacres		                                 	11	0.58	 	25	1.32	 	8	0.42	 	16	0.84	 	878	46.23	 	5	0.26	 	242	12.74	 	14	0.74	 	6	0.32	 	19	1	 	11	0.58	 	662	34.86	 	2	0.11	 	1899	97.53	 	48	2.47	 	1947	2.5
Hampstead Gardens		                          	3	0.46	 	5	0.77	 	2	0.31	 	18	2.78	 	235	36.32	 	4	0.62	 	70	10.82	 	2	0.31	 	0	0	 	3	0.46	 	1	0.15	 	304	46.99	 	0	0	 	647	98.18	 	12	1.82	 	659	0.85
Hectorville North		                          	24	0.98	 	32	1.3	 	2	0.08	 	28	1.14	 	1167	47.48	 	16	0.65	 	267	10.86	 	9	0.37	 	15	0.61	 	7	0.28	 	4	0.16	 	884	35.96	 	3	0.12	 	2458	93.42	 	173	6.58	 	2631	3.38
Hillcrest		                                  	7	0.47	 	25	1.67	 	3	0.2	 	21	1.4	 	810	54.14	 	2	0.13	 	148	9.89	 	11	0.74	 	21	1.4	 	14	0.94	 	9	0.6	 	425	28.41	 	0	0	 	1496	95.65	 	68	4.35	 	1564	2.01
Holden Hill (Sturt)		                        	16	0.94	 	25	1.47	 	4	0.23	 	40	2.35	 	880	51.67	 	1	0.06	 	156	9.16	 	15	0.88	 	7	0.41	 	10	0.59	 	6	0.35	 	541	31.77	 	2	0.12	 	1703	97.48	 	44	2.52	 	1747	2.24
Kensington Gardens		                         	7	0.44	 	21	1.31	 	2	0.12	 	16	1	 	326	20.36	 	2	0.12	 	172	10.74	 	15	0.94	 	3	0.19	 	4	0.25	 	3	0.19	 	1029	64.27	 	1	0.06	 	1601	96.91	 	51	3.09	 	1652	2.12
Kensington Park		                            	5	0.5	 	18	1.8	 	1	0.1	 	7	0.7	 	213	21.34	 	0	0	 	120	12.02	 	15	1.5	 	3	0.3	 	1	0.1	 	0	0	 	614	61.52	 	1	0.1	 	998	98.71	 	13	1.29	 	1011	1.3
Kent Town		                                  	3	0.4	 	25	3.35	 	1	0.13	 	7	0.94	 	233	31.19	 	0	0	 	119	15.93	 	11	1.47	 	1	0.13	 	5	0.67	 	3	0.4	 	339	45.38	 	0	0	 	747	97.9	 	16	2.1	 	763	0.98
Klemzig		                                    	22	0.81	 	31	1.15	 	3	0.11	 	39	1.44	 	1253	46.39	 	5	0.19	 	279	10.33	 	27	1	 	15	0.56	 	21	0.78	 	7	0.26	 	996	36.88	 	3	0.11	 	2701	96.33	 	103	3.67	 	2804	3.6
Linden Park		                                	5	0.3	 	18	1.09	 	6	0.36	 	7	0.42	 	291	17.55	 	4	0.24	 	157	9.47	 	19	1.15	 	1	0.06	 	6	0.36	 	4	0.24	 	1139	68.7	 	1	0.06	 	1658	98.87	 	19	1.13	 	1677	2.15
Magill (Sturt)		                             	12	0.45	 	45	1.69	 	4	0.15	 	33	1.24	 	778	29.26	 	8	0.3	 	264	9.93	 	31	1.17	 	10	0.38	 	9	0.34	 	4	0.15	 	1459	54.87	 	2	0.08	 	2659	97.08	 	80	2.92	 	2739	3.52
Magill North		                               	17	0.75	 	34	1.49	 	6	0.26	 	30	1.32	 	991	43.46	 	9	0.39	 	262	11.49	 	17	0.75	 	10	0.44	 	15	0.66	 	6	0.26	 	882	38.68	 	1	0.04	 	2280	95.72	 	102	4.28	 	2382	3.06
Marden		                                     	8	0.86	 	13	1.39	 	1	0.11	 	5	0.53	 	428	45.78	 	5	0.53	 	107	11.44	 	5	0.53	 	9	0.96	 	9	0.96	 	0	0	 	345	36.9	 	0	0	 	935	95.8	 	41	4.2	 	976	1.25
Marden West (Sturt)		                        	44	2.38	 	30	1.62	 	5	0.27	 	12	0.65	 	767	41.53	 	4	0.22	 	181	9.8	 	20	1.08	 	10	0.54	 	13	0.7	 	6	0.32	 	755	40.88	 	0	0	 	1847	95.75	 	82	4.25	 	1929	2.48
Marryatville		                               	5	0.43	 	34	2.91	 	4	0.34	 	9	0.77	 	259	22.19	 	4	0.34	 	133	11.4	 	11	0.94	 	1	0.09	 	4	0.34	 	3	0.26	 	699	59.9	 	1	0.09	 	1167	98.56	 	17	1.44	 	1184	1.52
Maylands		                                   	14	0.86	 	38	2.34	 	0	0	 	16	0.99	 	719	44.27	 	5	0.31	 	189	11.64	 	19	1.17	 	10	0.62	 	5	0.31	 	3	0.18	 	606	37.32	 	0	0	 	1624	95.47	 	77	4.53	 	1701	2.18
Northfield		                                 	9	0.85	 	21	1.98	 	1	0.09	 	7	0.66	 	602	56.63	 	6	0.56	 	92	8.65	 	6	0.56	 	4	0.38	 	15	1.41	 	7	0.66	 	293	27.56	 	0	0	 	1063	96.11	 	43	3.89	 	1106	1.42
Northfield South (Sturt)		                   	2	0.65	 	7	2.27	 	0	0	 	4	1.29	 	145	46.93	 	0	0	 	50	16.18	 	2	0.65	 	0	0	 	3	0.97	 	0	0	 	96	31.07	 	0	0	 	309	96.26	 	12	3.74	 	321	0.41
Norwood		                                    	12	0.56	 	53	2.49	 	9	0.42	 	9	0.42	 	822	38.59	 	3	0.14	 	260	12.21	 	30	1.41	 	9	0.42	 	12	0.56	 	9	0.42	 	901	42.3	 	1	0.05	 	2130	97.17	 	62	2.83	 	2192	2.81
Norwood West		                               	11	0.74	 	66	4.44	 	2	0.13	 	7	0.47	 	572	38.52	 	4	0.27	 	199	13.4	 	28	1.89	 	2	0.13	 	6	0.4	 	2	0.13	 	586	39.46	 	0	0	 	1485	97.44	 	39	2.56	 	1524	1.96
Parkside East (Sturt)		                      	2	0.67	 	9	3	 	3	1	 	1	0.33	 	117	39	 	1	0.33	 	29	9.67	 	5	1.67	 	1	0.33	 	2	0.67	 	0	0	 	130	43.33	 	0	0	 	300	97.72	 	7	2.28	 	307	0.39
Rose Park		                                  	2	0.29	 	10	1.47	 	0	0	 	3	0.44	 	170	25	 	3	0.44	 	89	13.09	 	9	1.32	 	4	0.59	 	5	0.74	 	1	0.15	 	384	56.47	 	0	0	 	680	97.42	 	18	2.58	 	698	0.9
St Morris		                                  	8	0.57	 	30	2.15	 	4	0.29	 	18	1.29	 	545	39.07	 	12	0.86	 	152	10.9	 	15	1.08	 	6	0.43	 	15	1.08	 	7	0.5	 	576	41.29	 	7	0.5	 	1395	96.47	 	51	3.53	 	1446	1.86
Stonyfell		                                  	3	0.13	 	24	1.07	 	2	0.09	 	9	0.4	 	309	13.72	 	4	0.18	 	167	7.42	 	16	0.71	 	4	0.18	 	6	0.27	 	4	0.18	 	1703	75.62	 	1	0.04	 	2252	98.95	 	24	1.05	 	2276	2.92
Toorak Gardens		                             	7	0.33	 	46	2.14	 	3	0.14	 	11	0.51	 	438	20.4	 	3	0.14	 	236	10.99	 	24	1.12	 	2	0.09	 	4	0.19	 	4	0.19	 	1368	63.72	 	1	0.05	 	2147	99.12	 	19	0.88	 	2166	2.78
Tranmere		                                   	7	0.55	 	27	2.1	 	3	0.23	 	7	0.55	 	359	27.96	 	5	0.39	 	152	11.84	 	18	1.4	 	4	0.31	 	5	0.39	 	3	0.23	 	691	53.82	 	3	0.23	 	1284	96.69	 	44	3.31	 	1328	1.7
Trinity Gardens		                            	21	1.04	 	41	2.04	 	4	0.2	 	26	1.29	 	886	44.06	 	10	0.5	 	235	11.69	 	16	0.8	 	11	0.55	 	12	0.6	 	4	0.2	 	737	36.65	 	8	0.4	 	2011	96.73	 	68	3.27	 	2079	2.67
Tusmore		                                    	7	0.36	 	41	2.13	 	10	0.52	 	24	1.25	 	317	16.46	 	10	0.52	 	174	9.03	 	21	1.09	 	6	0.31	 	12	0.62	 	3	0.16	 	1300	67.5	 	1	0.05	 	1926	98.62	 	27	1.38	 	1953	2.51
Vale Park		                                  	10	0.51	 	27	1.37	 	2	0.1	 	13	0.66	 	616	31.14	 	5	0.25	 	228	11.53	 	16	0.81	 	7	0.35	 	9	0.46	 	7	0.35	 	1037	52.43	 	1	0.05	 	1978	97.92	 	42	2.08	 	2020	2.59
Windsor Gardens East		                       	7	0.7	 	17	1.7	 	4	0.4	 	20	2	 	492	49.25	 	3	0.3	 	123	12.31	 	9	0.9	 	5	0.5	 	9	0.9	 	5	0.5	 	303	30.33	 	2	0.2	 	999	96.71	 	34	3.29	 	1033	1.33
Windsor Gardens West		                       	7	0.59	 	22	1.87	 	4	0.34	 	24	2.04	 	556	47.16	 	2	0.17	 	133	11.28	 	8	0.68	 	6	0.51	 	12	1.02	 	4	0.34	 	401	34.01	 	0	0	 	1179	97.36	 	32	2.64	 	1211	1.55
Special Hospitals		                          	4	0.75	 	4	0.75	 	3	0.56	 	3	0.56	 	142	26.64	 	0	0	 	17	3.19	 	1	0.19	 	6	1.13	 	19	3.56	 	1	0.19	 	333	62.48	 	0	0	 	533	97.44	 	14	2.56	 	547	0.7
Total Ordinary		                             	395	0.6	 	1160	1.76	 	148	0.23	 	668	1.02	 	22540	34.27	 	186	0.28	 	6905	10.5	 	628	0.95	 	254	0.39	 	383	0.58	 	173	0.26	 	32278	49.07	 	57	0.09	 	65775	97.1	 	1965	2.9	 	67740	86.97
ABSENT		                                     	24	0.54	 	137	3.09	 	13	0.29	 	53	1.19	 	1593	35.91	 	17	0.38	 	535	12.06	 	61	1.38	 	18	0.41	 	24	0.54	 	24	0.54	 	1936	43.64	 	1	0.02	 	4436	98.23	 	80	1.77	 	4516	5.8
POSTAL		                                     	15	0.5	 	51	1.71	 	9	0.3	 	35	1.17	 	897	30	 	5	0.17	 	214	7.16	 	19	0.64	 	10	0.33	 	33	1.1	 	13	0.43	 	1686	56.39	 	3	0.1	 	2990	98.71	 	39	1.29	 	3029	3.89
PRE_POLL		                                   	17	0.74	 	67	2.9	 	14	0.61	 	13	0.56	 	717	31.04	 	5	0.22	 	185	8.01	 	15	0.65	 	4	0.17	 	10	0.43	 	7	0.3	 	1256	54.37	 	0	0	 	2310	98.89	 	26	1.11	 	2336	3
PROVISIONAL		                                	1	0.38	 	7	2.63	 	2	0.75	 	3	1.13	 	70	26.32	 	1	0.38	 	23	8.65	 	2	0.75	 	0	0	 	0	0	 	3	1.13	 	154	57.89	 	0	0	 	266	98.52	 	4	1.48	 	270	0.35
ADJUSTMENT		                                 	0		       	0		       	0		       	-1		       	2		       	0		       	-1		       	0		       	0		       	0		       	1		       	0		       	-1		       	0		       	1		       	******	
Division Summary		                           	452	0.6	 	1422	1.88	 	186	0.25	 	771	1.02	 	25819	34.07	 	214	0.28	 	7861	10.37	 	725	0.96	 	286	0.38	 	450	0.59	 	221	0.29	 	37310	49.24	 	60	0.08	 	75777	97.28	 	2115	2.72	 	77892	94.39
 																																																	


Wakefield (84843)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
