Senate - 1993 Election: Victoria																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Aston (79158)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Fountain Gate		                              	25	0.61	 	22	0.54	 	23	0.56	 	8	0.19	 	35	0.85	 	40	0.97	 	1687	41.07	 	8	0.19	 	2037	49.59	 	188	4.58	 	0	0	 	26	0.63	 	9	0.22	 	4108	97.83	 	91	2.17	 	4199	5.94
Gleneagles		                                 	16	0.5	 	23	0.72	 	9	0.28	 	0	0	 	27	0.85	 	54	1.7	 	1034	32.53	 	5	0.16	 	1839	57.85	 	129	4.06	 	0	0	 	21	0.66	 	22	0.69	 	3179	95.87	 	137	4.13	 	3316	4.69
Hallam		                                     	27	0.86	 	8	0.26	 	15	0.48	 	16	0.51	 	12	0.38	 	52	1.67	 	1224	39.19	 	4	0.13	 	1587	50.82	 	139	4.45	 	0	0	 	27	0.86	 	12	0.38	 	3123	97.29	 	87	2.71	 	3210	4.54
Harrisfield		                                	30	1.02	 	8	0.27	 	17	0.58	 	12	0.41	 	18	0.61	 	62	2.1	 	955	32.42	 	5	0.17	 	1721	58.42	 	89	3.02	 	0	0	 	18	0.61	 	11	0.37	 	2946	95.71	 	132	4.29	 	3078	4.35
Lyndale		                                    	36	0.87	 	15	0.36	 	39	0.94	 	12	0.29	 	29	0.7	 	87	2.1	 	1345	32.42	 	11	0.27	 	2342	56.45	 	169	4.07	 	0	0	 	33	0.8	 	31	0.75	 	4149	95.51	 	195	4.49	 	4344	6.14
Narre Warren		                               	17	0.55	 	43	1.38	 	18	0.58	 	5	0.16	 	24	0.77	 	32	1.03	 	1206	38.77	 	6	0.19	 	1626	52.27	 	109	3.5	 	0	0	 	23	0.74	 	2	0.06	 	3111	98.08	 	61	1.92	 	3172	4.49
Narre Warren North		                         	3	0.2	 	1	0.07	 	10	0.66	 	1	0.07	 	11	0.73	 	21	1.39	 	992	65.44	 	3	0.2	 	417	27.51	 	40	2.64	 	0	0	 	9	0.59	 	8	0.53	 	1516	98.12	 	29	1.88	 	1545	2.19
Oakwood Park		                               	20	1.59	 	24	1.91	 	6	0.48	 	1	0.08	 	12	0.95	 	23	1.83	 	332	26.39	 	4	0.32	 	770	61.21	 	32	2.54	 	0	0	 	23	1.83	 	11	0.87	 	1258	96.03	 	52	3.97	 	1310	1.85
Rosewood Downs		                             	14	0.46	 	12	0.4	 	21	0.69	 	6	0.2	 	13	0.43	 	37	1.22	 	1440	47.45	 	7	0.23	 	1350	44.48	 	98	3.23	 	1	0.03	 	20	0.66	 	16	0.53	 	3035	96.14	 	122	3.86	 	3157	4.47
Sandown Park		                               	20	1.06	 	9	0.48	 	9	0.48	 	4	0.21	 	9	0.48	 	41	2.17	 	505	26.68	 	3	0.16	 	1207	63.76	 	65	3.43	 	0	0	 	0	0	 	21	1.11	 	1893	95.7	 	85	4.3	 	1978	2.8
Silverton		                                  	21	0.57	 	16	0.44	 	21	0.57	 	10	0.27	 	24	0.66	 	87	2.38	 	1071	29.31	 	9	0.25	 	2225	60.89	 	109	2.98	 	0	0	 	21	0.57	 	40	1.09	 	3654	95.91	 	156	4.09	 	3810	5.39
Springvale North		                           	16	1.51	 	3	0.28	 	8	0.76	 	1	0.09	 	7	0.66	 	23	2.17	 	285	26.91	 	1	0.09	 	653	61.66	 	39	3.68	 	0	0	 	12	1.13	 	11	1.04	 	1059	95.75	 	47	4.25	 	1106	1.56
Wooranna Park		                              	23	1.06	 	5	0.23	 	10	0.46	 	4	0.18	 	10	0.46	 	41	1.89	 	693	32.01	 	6	0.28	 	1281	59.17	 	65	3	 	0	0	 	18	0.83	 	9	0.42	 	2165	96.18	 	86	3.82	 	2251	3.18
Yarraman Park		                              	22	1.44	 	2	0.13	 	6	0.39	 	2	0.13	 	4	0.26	 	40	2.61	 	507	33.14	 	6	0.39	 	863	56.41	 	54	3.53	 	0	0	 	14	0.92	 	10	0.65	 	1530	94.97	 	81	5.03	 	1611	2.28
Special Hospitals		                          	2	2.67	 	2	2.67	 	1	1.33	 	0	0	 	0	0	 	10	13.33	 	26	34.67	 	0	0	 	21	28	 	2	2.67	 	0	0	 	11	14.67	 	0	0	 	75	100	 	0	0	 	75	0.11
Total Ordinary		                             	514	0.85	 	339	0.56	 	372	0.61	 	141	0.23	 	424	0.7	 	1168	1.92	 	21120	34.74	 	111	0.18	 	33675	55.39	 	2100	3.45	 	1	0	 	459	0.76	 	367	0.6	 	60791	96.12	 	2455	3.88	 	63246	89.47
ABSENT		                                     	38	1.16	 	31	0.94	 	33	1.01	 	16	0.49	 	35	1.07	 	58	1.77	 	1163	35.44	 	2	0.06	 	1725	52.56	 	114	3.47	 	0	0	 	55	1.68	 	12	0.37	 	3282	96.73	 	111	3.27	 	3393	4.8
POSTAL		                                     	35	2.02	 	12	0.69	 	37	2.14	 	3	0.17	 	15	0.87	 	16	0.93	 	804	46.5	 	3	0.17	 	710	41.06	 	62	3.59	 	0	0	 	21	1.21	 	11	0.64	 	1729	98.35	 	29	1.65	 	1758	2.49
PRE_POLL		                                   	19	1.09	 	10	0.57	 	21	1.2	 	5	0.29	 	19	1.09	 	34	1.95	 	658	37.73	 	8	0.46	 	872	50	 	67	3.84	 	0	0	 	25	1.43	 	6	0.34	 	1744	96.51	 	63	3.49	 	1807	2.56
PROVISIONAL		                                	4	0.85	 	7	1.49	 	5	1.07	 	2	0.43	 	1	0.21	 	21	4.48	 	100	21.32	 	1	0.21	 	306	65.25	 	11	2.35	 	0	0	 	6	1.28	 	5	1.07	 	469	95.91	 	20	4.09	 	489	0.69
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	610	0.9	 	399	0.59	 	468	0.69	 	167	0.25	 	494	0.73	 	1297	1.91	 	23845	35.06	 	125	0.18	 	37288	54.82	 	2354	3.46	 	1	0	 	566	0.83	 	401	0.59	 	68015	96.21	 	2678	3.79	 	70693	96.34
 																																																	


Hotham (77035)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Chadstone East		                             	23	0.92	 	37	1.48	 	22	0.88	 	15	0.6	 	7	0.28	 	38	1.52	 	793	31.64	 	1	0.04	 	1447	57.74	 	93	3.71	 	0	0	 	19	0.76	 	11	0.44	 	2506	96.5	 	91	3.5	 	2597	3.49
Clarinda		                                   	10	0.57	 	10	0.57	 	13	0.74	 	3	0.17	 	13	0.74	 	37	2.11	 	495	28.17	 	5	0.28	 	1099	62.55	 	60	3.41	 	0	0	 	8	0.46	 	4	0.23	 	1757	96.54	 	63	3.46	 	1820	2.44
Clarinda South		                             	18	0.65	 	12	0.43	 	12	0.43	 	3	0.11	 	13	0.47	 	62	2.24	 	666	24.06	 	7	0.25	 	1878	67.85	 	71	2.57	 	0	0	 	19	0.69	 	7	0.25	 	2768	95.61	 	127	4.39	 	2895	3.89
Clayton		                                    	19	0.92	 	4	0.19	 	19	0.92	 	10	0.49	 	11	0.54	 	33	1.61	 	611	29.73	 	3	0.15	 	1236	60.15	 	76	3.7	 	1	0.05	 	29	1.41	 	3	0.15	 	2055	94.66	 	116	5.34	 	2171	2.92
Clayton East		                               	18	1.04	 	6	0.35	 	5	0.29	 	7	0.4	 	8	0.46	 	53	3.06	 	459	26.52	 	6	0.35	 	1086	62.74	 	65	3.76	 	0	0	 	17	0.98	 	1	0.06	 	1731	95.69	 	78	4.31	 	1809	2.43
Clayton South		                              	35	1.01	 	37	1.07	 	9	0.26	 	10	0.29	 	18	0.52	 	69	1.99	 	715	20.66	 	5	0.14	 	2459	71.05	 	64	1.85	 	0	0	 	28	0.81	 	12	0.35	 	3461	96.06	 	142	3.94	 	3603	4.84
Clayton West		                               	15	1.23	 	7	0.58	 	7	0.58	 	4	0.33	 	12	0.99	 	23	1.89	 	339	27.9	 	1	0.08	 	744	61.23	 	43	3.54	 	0	0	 	15	1.23	 	5	0.41	 	1215	94.7	 	68	5.3	 	1283	1.72
Coatesville		                                	21	0.62	 	68	2	 	18	0.53	 	10	0.29	 	3	0.09	 	46	1.36	 	1505	44.37	 	7	0.21	 	1565	46.14	 	101	2.98	 	0	0	 	43	1.27	 	5	0.15	 	3392	96.69	 	116	3.31	 	3508	4.71
Coomoora		                                   	10	0.49	 	11	0.54	 	12	0.59	 	7	0.35	 	11	0.54	 	29	1.43	 	627	31.02	 	5	0.25	 	1242	61.45	 	49	2.42	 	0	0	 	13	0.64	 	5	0.25	 	2021	96.24	 	79	3.76	 	2100	2.82
Dingley		                                    	10	0.25	 	59	1.49	 	32	0.81	 	15	0.38	 	21	0.53	 	33	0.83	 	2376	59.98	 	4	0.1	 	1267	31.99	 	113	2.85	 	0	0	 	28	0.71	 	3	0.08	 	3961	97.15	 	116	2.85	 	4077	5.47
Heatherhill		                                	28	1.33	 	19	0.9	 	17	0.81	 	8	0.38	 	8	0.38	 	42	2	 	587	27.95	 	8	0.38	 	1289	61.38	 	78	3.71	 	0	0	 	13	0.62	 	3	0.14	 	2100	95.24	 	105	4.76	 	2205	2.96
Heatherton North		                           	6	0.47	 	4	0.31	 	6	0.47	 	4	0.31	 	3	0.24	 	17	1.34	 	477	37.56	 	3	0.24	 	703	55.35	 	33	2.6	 	0	0	 	12	0.94	 	2	0.16	 	1270	95.78	 	56	4.22	 	1326	1.78
Hughesdale		                                 	24	0.84	 	31	1.08	 	16	0.56	 	12	0.42	 	12	0.42	 	46	1.6	 	1047	36.49	 	2	0.07	 	1528	53.26	 	98	3.42	 	0	0	 	40	1.39	 	13	0.45	 	2869	96.34	 	109	3.66	 	2978	4
Hughesdale South		                           	20	0.9	 	17	0.76	 	13	0.58	 	8	0.36	 	8	0.36	 	32	1.43	 	1001	44.83	 	5	0.22	 	1024	45.86	 	75	3.36	 	0	0	 	22	0.99	 	8	0.36	 	2233	95.8	 	98	4.2	 	2331	3.13
Huntingdale		                                	9	0.62	 	8	0.55	 	6	0.42	 	5	0.35	 	4	0.28	 	16	1.11	 	536	37.17	 	4	0.28	 	780	54.09	 	58	4.02	 	0	0	 	13	0.9	 	3	0.21	 	1442	96.45	 	53	3.55	 	1495	2.01
Kingswood		                                  	7	0.37	 	5	0.26	 	17	0.89	 	2	0.1	 	9	0.47	 	16	0.84	 	1110	58.05	 	4	0.21	 	667	34.88	 	51	2.67	 	0	0	 	19	0.99	 	5	0.26	 	1912	98.05	 	38	1.95	 	1950	2.62
Murrumbeena		                                	11	0.63	 	23	1.32	 	13	0.74	 	7	0.4	 	5	0.29	 	31	1.77	 	706	40.37	 	3	0.17	 	837	47.86	 	83	4.75	 	0	0	 	26	1.49	 	4	0.23	 	1749	96.79	 	58	3.21	 	1807	2.43
Murrumbeena South		                          	13	0.63	 	23	1.12	 	10	0.49	 	8	0.39	 	3	0.15	 	26	1.26	 	1015	49.25	 	4	0.19	 	841	40.81	 	90	4.37	 	0	0	 	25	1.21	 	3	0.15	 	2061	96.76	 	69	3.24	 	2130	2.86
Oakleigh		                                   	27	1.28	 	28	1.32	 	13	0.61	 	5	0.24	 	6	0.28	 	48	2.27	 	629	29.73	 	8	0.38	 	1222	57.75	 	77	3.64	 	2	0.09	 	31	1.47	 	20	0.95	 	2116	95.36	 	103	4.64	 	2219	2.98
Oakleigh Central		                           	14	0.79	 	13	0.74	 	8	0.45	 	4	0.23	 	4	0.23	 	34	1.93	 	529	29.99	 	7	0.4	 	1051	59.58	 	58	3.29	 	1	0.06	 	29	1.64	 	12	0.68	 	1764	96.87	 	57	3.13	 	1821	2.45
Oakleigh North		                             	10	0.6	 	10	0.6	 	5	0.3	 	6	0.36	 	5	0.3	 	29	1.74	 	663	39.77	 	3	0.18	 	857	51.41	 	59	3.54	 	0	0	 	17	1.02	 	3	0.18	 	1667	95.64	 	76	4.36	 	1743	2.34
Oakleigh South		                             	10	0.42	 	16	0.68	 	19	0.81	 	9	0.38	 	4	0.17	 	32	1.36	 	849	36.08	 	9	0.38	 	1277	54.27	 	90	3.82	 	0	0	 	35	1.49	 	3	0.13	 	2353	96.24	 	92	3.76	 	2445	3.28
Southvale		                                  	9	0.44	 	7	0.34	 	18	0.88	 	5	0.24	 	8	0.39	 	43	2.09	 	641	31.22	 	3	0.15	 	1239	60.35	 	60	2.92	 	0	0	 	7	0.34	 	13	0.63	 	2053	96.11	 	83	3.89	 	2136	2.87
Springvale		                                 	25	0.83	 	10	0.33	 	13	0.43	 	4	0.13	 	7	0.23	 	78	2.59	 	672	22.35	 	7	0.23	 	2075	69.01	 	64	2.13	 	0	0	 	26	0.86	 	26	0.86	 	3007	94.35	 	180	5.65	 	3187	4.28
Springvale South		                           	14	0.54	 	11	0.43	 	18	0.7	 	10	0.39	 	14	0.54	 	52	2.02	 	807	31.4	 	14	0.54	 	1529	59.49	 	75	2.92	 	0	0	 	19	0.74	 	7	0.27	 	2570	96.22	 	101	3.78	 	2671	3.59
Springvale West		                            	3	0.21	 	2	0.14	 	9	0.64	 	7	0.5	 	2	0.14	 	31	2.22	 	293	20.96	 	6	0.43	 	1004	71.82	 	29	2.07	 	0	0	 	6	0.43	 	6	0.43	 	1398	95.23	 	70	4.77	 	1468	1.97
Spring Valley		                              	8	0.48	 	7	0.42	 	7	0.42	 	2	0.12	 	7	0.42	 	38	2.27	 	492	29.41	 	1	0.06	 	1057	63.18	 	35	2.09	 	0	0	 	14	0.84	 	5	0.3	 	1673	95.6	 	77	4.4	 	1750	2.35
Westall		                                    	30	0.89	 	27	0.8	 	23	0.68	 	8	0.24	 	10	0.3	 	92	2.73	 	658	19.56	 	9	0.27	 	2399	71.31	 	65	1.93	 	2	0.06	 	24	0.71	 	17	0.51	 	3364	95.79	 	148	4.21	 	3512	4.72
Whiteside		                                  	13	1.03	 	3	0.24	 	10	0.79	 	3	0.24	 	3	0.24	 	29	2.3	 	291	23.06	 	1	0.08	 	856	67.83	 	32	2.54	 	0	0	 	12	0.95	 	9	0.71	 	1262	94.6	 	72	5.4	 	1334	1.79
Special Hospitals		                          	4	2.47	 	0	0	 	1	0.62	 	1	0.62	 	1	0.62	 	16	9.88	 	79	48.77	 	1	0.62	 	56	34.57	 	3	1.85	 	0	0	 	0	0	 	0	0	 	162	98.78	 	2	1.22	 	164	0.22
Total Ordinary		                             	464	0.73	 	515	0.81	 	391	0.61	 	202	0.32	 	240	0.38	 	1171	1.83	 	21668	33.91	 	146	0.23	 	36314	56.84	 	1948	3.05	 	6	0.01	 	609	0.95	 	218	0.34	 	63892	96.03	 	2643	3.97	 	66535	89.34
ABSENT		                                     	23	0.69	 	50	1.51	 	33	1	 	22	0.66	 	15	0.45	 	74	2.23	 	1224	36.95	 	5	0.15	 	1648	49.74	 	161	4.86	 	0	0	 	45	1.36	 	13	0.39	 	3313	97.61	 	81	2.39	 	3394	4.56
POSTAL		                                     	51	2.23	 	9	0.39	 	25	1.09	 	2	0.09	 	8	0.35	 	24	1.05	 	1072	46.77	 	5	0.22	 	1001	43.67	 	69	3.01	 	0	0	 	22	0.96	 	4	0.17	 	2292	97.82	 	51	2.18	 	2343	3.15
PRE_POLL		                                   	19	1.07	 	14	0.79	 	21	1.19	 	8	0.45	 	9	0.51	 	42	2.37	 	681	38.5	 	8	0.45	 	863	48.78	 	68	3.84	 	0	0	 	34	1.92	 	2	0.11	 	1769	97.95	 	37	2.05	 	1806	2.43
PROVISIONAL		                                	4	1.07	 	1	0.27	 	4	1.07	 	3	0.8	 	1	0.27	 	24	6.42	 	84	22.46	 	1	0.27	 	236	63.1	 	8	2.14	 	0	0	 	8	2.14	 	0	0	 	374	95.41	 	18	4.59	 	392	0.53
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	561	0.78	 	589	0.82	 	474	0.66	 	237	0.33	 	273	0.38	 	1335	1.86	 	24729	34.52	 	165	0.23	 	40062	55.92	 	2254	3.15	 	6	0.01	 	718	1	 	237	0.33	 	71640	96.2	 	2830	3.8	 	74470	96.67
 																																																	


Indi (75718)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allans Flat		                                	0	0	 	2	1.2	 	0	0	 	1	0.6	 	3	1.81	 	1	0.6	 	122	73.49	 	0	0	 	26	15.66	 	9	5.42	 	0	0	 	2	1.2	 	0	0	 	166	99.4	 	1	0.6	 	167	0.23
Baranduda		                                  	3	0.75	 	3	0.75	 	2	0.5	 	0	0	 	3	0.75	 	0	0	 	249	62.56	 	4	1.01	 	111	27.89	 	18	4.52	 	0	0	 	5	1.26	 	0	0	 	398	98.51	 	6	1.49	 	404	0.55
Barnawartha		                                	1	0.18	 	0	0	 	3	0.54	 	3	0.54	 	9	1.62	 	5	0.9	 	352	63.42	 	1	0.18	 	147	26.49	 	29	5.23	 	0	0	 	4	0.72	 	1	0.18	 	555	98.23	 	10	1.77	 	565	0.77
Beechworth		                                 	19	0.99	 	15	0.78	 	11	0.57	 	20	1.04	 	14	0.73	 	35	1.82	 	782	40.64	 	3	0.16	 	900	46.78	 	69	3.59	 	0	0	 	51	2.65	 	5	0.26	 	1924	96.68	 	66	3.32	 	1990	2.73
Benalla		                                    	38	1.17	 	32	0.99	 	28	0.86	 	10	0.31	 	34	1.05	 	37	1.14	 	1732	53.47	 	6	0.19	 	1193	36.83	 	100	3.09	 	0	0	 	27	0.83	 	2	0.06	 	3239	97.15	 	95	2.85	 	3334	4.57
Benalla District Hospital		                  	6	6.38	 	0	0	 	0	0	 	1	1.06	 	0	0	 	5	5.32	 	59	62.77	 	0	0	 	20	21.28	 	3	3.19	 	0	0	 	0	0	 	0	0	 	94	96.91	 	3	3.09	 	97	0.13
Benalla West		                               	14	0.61	 	25	1.09	 	11	0.48	 	5	0.22	 	13	0.57	 	28	1.22	 	1253	54.81	 	4	0.17	 	863	37.75	 	59	2.58	 	0	0	 	11	0.48	 	0	0	 	2286	97.61	 	56	2.39	 	2342	3.21
Bethanga		                                   	3	0.61	 	1	0.2	 	1	0.2	 	1	0.2	 	5	1.01	 	12	2.42	 	309	62.42	 	2	0.4	 	123	24.85	 	26	5.25	 	0	0	 	12	2.42	 	0	0	 	495	93.93	 	32	6.07	 	527	0.72
Bonegilla		                                  	2	0.46	 	5	1.14	 	5	1.14	 	2	0.46	 	5	1.14	 	3	0.69	 	301	68.88	 	1	0.23	 	95	21.74	 	13	2.97	 	0	0	 	4	0.92	 	1	0.23	 	437	97.11	 	13	2.89	 	450	0.62
Boorhaman		                                  	2	1.28	 	1	0.64	 	1	0.64	 	0	0	 	0	0	 	2	1.28	 	112	71.79	 	0	0	 	33	21.15	 	2	1.28	 	0	0	 	3	1.92	 	0	0	 	156	98.11	 	3	1.89	 	159	0.22
Boosey		                                     	1	0.81	 	1	0.81	 	2	1.61	 	0	0	 	0	0	 	5	4.03	 	98	79.03	 	1	0.81	 	12	9.68	 	2	1.61	 	0	0	 	2	1.61	 	0	0	 	124	95.38	 	6	4.62	 	130	0.18
Bright		                                     	12	0.98	 	2	0.16	 	7	0.57	 	9	0.73	 	8	0.65	 	14	1.14	 	719	58.5	 	3	0.24	 	396	32.22	 	38	3.09	 	0	0	 	21	1.71	 	0	0	 	1229	96.92	 	39	3.08	 	1268	1.74
Bullioh		                                    	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.93	 	89	83.18	 	0	0	 	17	15.89	 	0	0	 	0	0	 	0	0	 	0	0	 	107	96.4	 	4	3.6	 	111	0.15
Bundalong		                                  	3	1.16	 	1	0.39	 	0	0	 	0	0	 	0	0	 	6	2.33	 	189	73.26	 	1	0.39	 	52	20.16	 	5	1.94	 	0	0	 	1	0.39	 	0	0	 	258	98.85	 	3	1.15	 	261	0.36
Chiltern		                                   	9	0.96	 	4	0.43	 	7	0.74	 	6	0.64	 	9	0.96	 	19	2.02	 	420	44.68	 	2	0.21	 	414	44.04	 	42	4.47	 	0	0	 	7	0.74	 	1	0.11	 	940	96.81	 	31	3.19	 	971	1.33
Cobram		                                     	31	1.05	 	13	0.44	 	22	0.75	 	12	0.41	 	7	0.24	 	47	1.6	 	1813	61.54	 	4	0.14	 	915	31.06	 	60	2.04	 	1	0.03	 	18	0.61	 	3	0.1	 	2946	95.8	 	129	4.2	 	3075	4.21
Corryong		                                   	26	2.15	 	6	0.5	 	10	0.83	 	3	0.25	 	10	0.83	 	16	1.32	 	775	64.1	 	3	0.25	 	317	26.22	 	35	2.89	 	0	0	 	7	0.58	 	1	0.08	 	1209	97.58	 	30	2.42	 	1239	1.7
Cudgewa		                                    	2	0.76	 	2	0.76	 	0	0	 	1	0.38	 	8	3.05	 	1	0.38	 	223	85.11	 	0	0	 	24	9.16	 	1	0.38	 	0	0	 	0	0	 	0	0	 	262	98.13	 	5	1.87	 	267	0.37
Dederang		                                   	2	0.73	 	1	0.36	 	0	0	 	0	0	 	4	1.45	 	3	1.09	 	215	78.18	 	1	0.36	 	39	14.18	 	6	2.18	 	0	0	 	4	1.45	 	0	0	 	275	98.57	 	4	1.43	 	279	0.38
Devenish		                                   	0	0	 	1	0.55	 	0	0	 	0	0	 	5	2.73	 	1	0.55	 	135	73.77	 	0	0	 	37	20.22	 	4	2.19	 	0	0	 	0	0	 	0	0	 	183	96.83	 	6	3.17	 	189	0.26
Eldorado		                                   	2	1.2	 	2	1.2	 	2	1.2	 	0	0	 	0	0	 	6	3.61	 	92	55.42	 	0	0	 	48	28.92	 	10	6.02	 	0	0	 	2	1.2	 	2	1.2	 	166	98.22	 	3	1.78	 	169	0.23
Eskdale		                                    	5	2	 	0	0	 	1	0.4	 	1	0.4	 	1	0.4	 	2	0.8	 	186	74.4	 	0	0	 	51	20.4	 	3	1.2	 	0	0	 	0	0	 	0	0	 	250	98.04	 	5	1.96	 	255	0.35
Everton		                                    	3	1.63	 	2	1.09	 	1	0.54	 	1	0.54	 	1	0.54	 	2	1.09	 	128	69.57	 	0	0	 	38	20.65	 	5	2.72	 	0	0	 	2	1.09	 	1	0.54	 	184	98.4	 	3	1.6	 	187	0.26
Falls Creek		                                	0	0	 	0	0	 	0	0	 	2	3.23	 	0	0	 	1	1.61	 	32	51.61	 	0	0	 	17	27.42	 	6	9.68	 	0	0	 	3	4.84	 	1	1.61	 	62	98.41	 	1	1.59	 	63	0.09
Gapsted		                                    	0	0	 	1	0.83	 	2	1.65	 	4	3.31	 	1	0.83	 	2	1.65	 	63	52.07	 	2	1.65	 	36	29.75	 	5	4.13	 	0	0	 	5	4.13	 	0	0	 	121	95.28	 	6	4.72	 	127	0.17
Glenrowan		                                  	8	1.32	 	5	0.83	 	4	0.66	 	2	0.33	 	5	0.83	 	9	1.49	 	377	62.31	 	3	0.5	 	172	28.43	 	11	1.82	 	0	0	 	9	1.49	 	0	0	 	605	97.42	 	16	2.58	 	621	0.85
Goorambat		                                  	0	0	 	1	0.44	 	1	0.44	 	1	0.44	 	3	1.32	 	1	0.44	 	183	80.62	 	0	0	 	29	12.78	 	7	3.08	 	0	0	 	1	0.44	 	0	0	 	227	96.19	 	9	3.81	 	236	0.32
Granya		                                     	0	0	 	0	0	 	0	0	 	1	1.27	 	0	0	 	1	1.27	 	49	62.03	 	0	0	 	21	26.58	 	3	3.8	 	0	0	 	1	1.27	 	3	3.8	 	79	98.75	 	1	1.25	 	80	0.11
Harrietville		                               	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	3	1.8	 	105	62.87	 	0	0	 	48	28.74	 	8	4.79	 	0	0	 	3	1.8	 	0	0	 	167	98.82	 	2	1.18	 	169	0.23
Invergordon		                                	1	0.25	 	0	0	 	3	0.75	 	0	0	 	8	1.99	 	6	1.49	 	329	81.84	 	0	0	 	46	11.44	 	6	1.49	 	0	0	 	2	0.5	 	1	0.25	 	402	97.57	 	10	2.43	 	412	0.56
Katamatite		                                 	1	0.34	 	0	0	 	1	0.34	 	0	0	 	6	2.04	 	1	0.34	 	228	77.55	 	0	0	 	51	17.35	 	3	1.02	 	0	0	 	1	0.34	 	2	0.68	 	294	98.33	 	5	1.67	 	299	0.41
Katandra West		                              	4	0.77	 	4	0.77	 	1	0.19	 	5	0.97	 	8	1.54	 	6	1.16	 	404	77.99	 	0	0	 	57	11	 	21	4.05	 	0	0	 	8	1.54	 	0	0	 	518	98.29	 	9	1.71	 	527	0.72
Kergunyah		                                  	1	0.55	 	0	0	 	0	0	 	0	0	 	1	0.55	 	2	1.1	 	143	79.01	 	0	0	 	29	16.02	 	4	2.21	 	0	0	 	1	0.55	 	0	0	 	181	97.84	 	4	2.16	 	185	0.25
Kiewa		                                      	4	0.77	 	6	1.15	 	3	0.58	 	1	0.19	 	2	0.38	 	2	0.38	 	340	65.38	 	1	0.19	 	129	24.81	 	20	3.85	 	0	0	 	10	1.92	 	2	0.38	 	520	97.56	 	13	2.44	 	533	0.73
Londrigan		                                  	0	0	 	1	0.56	 	3	1.67	 	1	0.56	 	7	3.89	 	1	0.56	 	119	66.11	 	0	0	 	36	20	 	11	6.11	 	0	0	 	1	0.56	 	0	0	 	180	95.74	 	8	4.26	 	188	0.26
Lurg		                                       	0	0	 	2	1.22	 	3	1.83	 	0	0	 	6	3.66	 	0	0	 	112	68.29	 	0	0	 	34	20.73	 	7	4.27	 	0	0	 	0	0	 	0	0	 	164	95.91	 	7	4.09	 	171	0.23
Markwood		                                   	1	0.47	 	0	0	 	0	0	 	2	0.94	 	1	0.47	 	3	1.41	 	139	65.26	 	1	0.47	 	49	23	 	11	5.16	 	0	0	 	5	2.35	 	1	0.47	 	213	98.61	 	3	1.39	 	216	0.3
Mayday Hills Hospital		                      	2	2.82	 	1	1.41	 	1	1.41	 	1	1.41	 	0	0	 	0	0	 	21	29.58	 	0	0	 	41	57.75	 	1	1.41	 	0	0	 	3	4.23	 	0	0	 	71	95.95	 	3	4.05	 	74	0.1
Milawa		                                     	0	0	 	4	1.26	 	4	1.26	 	0	0	 	0	0	 	6	1.89	 	231	72.64	 	0	0	 	57	17.92	 	12	3.77	 	0	0	 	4	1.26	 	0	0	 	318	95.78	 	14	4.22	 	332	0.45
Mitta Mitta		                                	2	1.1	 	0	0	 	3	1.65	 	2	1.1	 	0	0	 	0	0	 	136	74.73	 	0	0	 	30	16.48	 	7	3.85	 	0	0	 	2	1.1	 	0	0	 	182	95.79	 	8	4.21	 	190	0.26
