Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
ABSENT		                                     	34	0.87	 	39	1	 	369	9.45	 	8	0.2	 	1655	42.37	 	1591	40.73	 	4	0.1	 	181	4.63	 	15	0.38	 	6	0.15	 	4	0.1	 	3906	98.34	 	66	1.66	 	3972	5.5
POSTAL		                                     	9	0.7	 	8	0.62	 	52	4.03	 	6	0.47	 	673	52.21	 	485	37.63	 	0	0	 	42	3.26	 	11	0.85	 	0	0	 	3	0.23	 	1289	98.93	 	14	1.07	 	1303	1.81
PRE_POLL		                                   	6	0.3	 	10	0.51	 	169	8.56	 	7	0.35	 	816	41.32	 	885	44.81	 	1	0.05	 	71	3.59	 	10	0.51	 	0	0	 	0	0	 	1975	98.85	 	23	1.15	 	1998	2.77
PROVISIONAL		                                	2	0.51	 	2	0.51	 	44	11.25	 	2	0.51	 	196	50.13	 	130	33.25	 	0	0	 	12	3.07	 	2	0.51	 	1	0.26	 	0	0	 	391	96.54	 	14	3.46	 	405	0.56
ADJUSTMENT		                                 	-2		       	0		       	2		       	0		       	2		       	0		       	1		       	-4		       	0		       	0		       	0		       	-1		       	0		       	-1	
Division Summary		                           	612	0.88	 	475	0.68	 	4992	7.14	 	139	0.2	 	33363	47.73	 	27204	38.92	 	54	0.08	 	2682	3.84	 	238	0.34	 	82	0.12	 	56	0.08	 	69897	96.83	 	2287	3.17	 	72184	96.31
 																																											


Kalgoorlie (74058)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Argyle		                                     	0	0	 	1	2.33	 	1	2.33	 	1	2.33	 	15	34.88	 	22	51.16	 	0	0	 	2	4.65	 	1	2.33	 	0	0	 	0	0	 	43	100	 	0	0	 	43	0.06
Balgo		                                      	2	1.17	 	0	0	 	6	3.51	 	4	2.34	 	144	84.21	 	9	5.26	 	0	0	 	4	2.34	 	2	1.17	 	0	0	 	0	0	 	171	92.43	 	14	7.57	 	185	0.28
Barrow Island		                              	0	0	 	0	0	 	0	0	 	0	0	 	1	33.33	 	1	33.33	 	0	0	 	1	33.33	 	0	0	 	0	0	 	0	0	 	3	100	 	0	0	 	3	0
Bodallin		                                   	1	1.09	 	0	0	 	0	0	 	0	0	 	9	9.78	 	69	75	 	0	0	 	1	1.09	 	12	13.04	 	0	0	 	0	0	 	92	100	 	0	0	 	92	0.14
Boulder		                                    	33	1.05	 	58	1.85	 	66	2.1	 	5	0.16	 	1921	61.22	 	894	28.49	 	8	0.25	 	111	3.54	 	34	1.08	 	2	0.06	 	6	0.19	 	3138	96.61	 	110	3.39	 	3248	4.87
Broome		                                     	41	1.64	 	9	0.36	 	178	7.12	 	7	0.28	 	1265	50.58	 	891	35.63	 	1	0.04	 	92	3.68	 	16	0.64	 	0	0	 	1	0.04	 	2501	97.89	 	54	2.11	 	2555	3.83
Bullfinch		                                  	1	1.72	 	0	0	 	0	0	 	0	0	 	27	46.55	 	28	48.28	 	0	0	 	2	3.45	 	0	0	 	0	0	 	0	0	 	58	100	 	0	0	 	58	0.09
Carnarvon		                                  	36	2.04	 	10	0.57	 	57	3.22	 	1	0.06	 	758	42.87	 	822	46.49	 	0	0	 	60	3.39	 	24	1.36	 	0	0	 	0	0	 	1768	97.41	 	47	2.59	 	1815	2.72
Carnarvon East		                             	6	0.61	 	2	0.2	 	22	2.24	 	1	0.1	 	369	37.5	 	536	54.47	 	0	0	 	28	2.85	 	18	1.83	 	1	0.1	 	1	0.1	 	984	98.5	 	15	1.5	 	999	1.5
Cascade		                                    	2	2.9	 	0	0	 	0	0	 	0	0	 	5	7.25	 	59	85.51	 	0	0	 	0	0	 	3	4.35	 	0	0	 	0	0	 	69	98.57	 	1	1.43	 	70	0.11
Castletown		                                 	15	1.06	 	13	0.92	 	53	3.75	 	1	0.07	 	380	26.89	 	826	58.46	 	5	0.35	 	51	3.61	 	68	4.81	 	0	0	 	1	0.07	 	1413	98.26	 	25	1.74	 	1438	2.16
Condingup		                                  	1	0.4	 	1	0.4	 	1	0.4	 	0	0	 	38	15.02	 	179	70.75	 	1	0.4	 	7	2.77	 	24	9.49	 	1	0.4	 	0	0	 	253	98.83	 	3	1.17	 	256	0.38
Cooke Point		                                	5	0.47	 	6	0.56	 	47	4.38	 	1	0.09	 	554	51.63	 	414	38.58	 	3	0.28	 	41	3.82	 	1	0.09	 	0	0	 	1	0.09	 	1073	98.26	 	19	1.74	 	1092	1.64
Coolgardie		                                 	4	0.87	 	5	1.09	 	11	2.4	 	0	0	 	264	57.64	 	152	33.19	 	1	0.22	 	12	2.62	 	9	1.97	 	0	0	 	0	0	 	458	96.42	 	17	3.58	 	475	0.71
Coral Bay		                                  	0	0	 	0	0	 	2	5.26	 	0	0	 	8	21.05	 	28	73.68	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	38	100	 	0	0	 	38	0.06
Cue		                                        	5	2.55	 	0	0	 	6	3.06	 	1	0.51	 	93	47.45	 	83	42.35	 	1	0.51	 	4	2.04	 	3	1.53	 	0	0	 	0	0	 	196	97.51	 	5	2.49	 	201	0.3
Dalyup		                                     	2	1.55	 	1	0.78	 	1	0.78	 	0	0	 	10	7.75	 	97	75.19	 	0	0	 	4	3.1	 	14	10.85	 	0	0	 	0	0	 	129	100	 	0	0	 	129	0.19
Dampier		                                    	3	0.39	 	1	0.13	 	36	4.7	 	1	0.13	 	432	56.4	 	265	34.6	 	0	0	 	22	2.87	 	5	0.65	 	0	0	 	1	0.13	 	766	98.21	 	14	1.79	 	780	1.17
Denham		                                     	1	0.33	 	1	0.33	 	11	3.63	 	0	0	 	96	31.68	 	180	59.41	 	0	0	 	13	4.29	 	1	0.33	 	0	0	 	0	0	 	303	99.02	 	3	0.98	 	306	0.46
Derby		                                      	17	1.35	 	3	0.24	 	76	6.02	 	7	0.55	 	718	56.85	 	394	31.2	 	0	0	 	32	2.53	 	14	1.11	 	1	0.08	 	1	0.08	 	1263	98.67	 	17	1.33	 	1280	1.92
Esperance		                                  	21	0.86	 	19	0.77	 	95	3.87	 	4	0.16	 	738	30.06	 	1378	56.13	 	9	0.37	 	93	3.79	 	96	3.91	 	1	0.04	 	1	0.04	 	2455	97.96	 	51	2.04	 	2506	3.76
Exmouth		                                    	7	0.93	 	0	0	 	35	4.67	 	0	0	 	280	37.33	 	391	52.13	 	0	0	 	28	3.73	 	9	1.2	 	0	0	 	0	0	 	750	99.21	 	6	0.79	 	756	1.13
Finucane Island		                            	1	0.94	 	2	1.89	 	5	4.72	 	0	0	 	63	59.43	 	32	30.19	 	0	0	 	2	1.89	 	1	0.94	 	0	0	 	0	0	 	106	98.15	 	2	1.85	 	108	0.16
Fitzroy Crossing		                           	4	0.94	 	1	0.23	 	3	0.7	 	0	0	 	302	70.89	 	108	25.35	 	0	0	 	3	0.7	 	5	1.17	 	0	0	 	0	0	 	426	97.04	 	13	2.96	 	439	0.66
Gascoyne Junction		                          	0	0	 	0	0	 	2	4.65	 	0	0	 	7	16.28	 	32	74.42	 	0	0	 	1	2.33	 	0	0	 	1	2.33	 	0	0	 	43	97.73	 	1	2.27	 	44	0.07
Gibson		                                     	4	2.2	 	0	0	 	7	3.85	 	0	0	 	30	16.48	 	116	63.74	 	2	1.1	 	1	0.55	 	22	12.09	 	0	0	 	0	0	 	182	98.91	 	2	1.09	 	184	0.28
Grass Patch		                                	2	2.08	 	1	1.04	 	0	0	 	0	0	 	9	9.38	 	74	77.08	 	0	0	 	2	2.08	 	8	8.33	 	0	0	 	0	0	 	96	94.12	 	6	5.88	 	102	0.15
Halls Creek		                                	17	3.71	 	3	0.66	 	22	4.8	 	2	0.44	 	283	61.79	 	115	25.11	 	1	0.22	 	8	1.75	 	7	1.53	 	0	0	 	0	0	 	458	96.22	 	18	3.78	 	476	0.71
Jigalong		                                   	5	2.76	 	3	1.66	 	6	3.31	 	1	0.55	 	157	86.74	 	7	3.87	 	1	0.55	 	0	0	 	1	0.55	 	0	0	 	0	0	 	181	95.77	 	8	4.23	 	189	0.28
Kalgoorlie		                                 	42	1.68	 	29	1.16	 	91	3.65	 	4	0.16	 	1140	45.73	 	1014	40.67	 	7	0.28	 	131	5.25	 	31	1.24	 	1	0.04	 	3	0.12	 	2493	97	 	77	3	 	2570	3.86
Kalgoorlie East		                            	1	0.55	 	5	2.75	 	5	2.75	 	1	0.55	 	125	68.68	 	40	21.98	 	0	0	 	3	1.65	 	1	0.55	 	0	0	 	1	0.55	 	182	96.3	 	7	3.7	 	189	0.28
Kalgoorlie Eastern Goldfields		              	8	1.15	 	4	0.58	 	18	2.59	 	0	0	 	399	57.49	 	242	34.87	 	1	0.14	 	18	2.59	 	4	0.58	 	0	0	 	0	0	 	694	99.14	 	6	0.86	 	700	1.05
Kalgoorlie Halfway		                         	14	0.66	 	32	1.5	 	61	2.86	 	2	0.09	 	1161	54.51	 	737	34.6	 	6	0.28	 	90	4.23	 	22	1.03	 	2	0.09	 	3	0.14	 	2130	97.57	 	53	2.43	 	2183	3.28
Kalgoorlie North		                           	17	0.74	 	33	1.43	 	59	2.56	 	2	0.09	 	994	43.18	 	1047	45.48	 	10	0.43	 	112	4.87	 	20	0.87	 	2	0.09	 	6	0.26	 	2302	98.67	 	31	1.33	 	2333	3.5
Kalgoorlie Regional Hospital		               	2	0.35	 	4	0.71	 	26	4.61	 	1	0.18	 	272	48.23	 	226	40.07	 	2	0.35	 	19	3.37	 	12	2.13	 	0	0	 	0	0	 	564	97.75	 	13	2.25	 	577	0.87
Kalgoorlie Wallace Park		                    	5	0.98	 	4	0.78	 	14	2.75	 	0	0	 	247	48.43	 	202	39.61	 	0	0	 	31	6.08	 	7	1.37	 	0	0	 	0	0	 	510	98.27	 	9	1.73	 	519	0.78
Kambalda		                                   	3	0.45	 	12	1.82	 	19	2.87	 	0	0	 	406	61.42	 	187	28.29	 	1	0.15	 	24	3.63	 	9	1.36	 	0	0	 	0	0	 	661	96.78	 	22	3.22	 	683	1.02
Kambalda West		                              	7	0.57	 	8	0.65	 	17	1.38	 	3	0.24	 	711	57.71	 	400	32.47	 	2	0.16	 	62	5.03	 	17	1.38	 	1	0.08	 	4	0.32	 	1232	98.17	 	23	1.83	 	1255	1.88
Karratha		                                   	10	0.64	 	13	0.84	 	47	3.03	 	2	0.13	 	891	57.45	 	511	32.95	 	1	0.06	 	66	4.26	 	10	0.64	 	0	0	 	0	0	 	1551	98.85	 	18	1.15	 	1569	2.35
Karratha West		                              	21	0.75	 	22	0.79	 	159	5.67	 	3	0.11	 	1314	46.9	 	1132	40.4	 	2	0.07	 	125	4.46	 	22	0.79	 	1	0.04	 	1	0.04	 	2802	99.05	 	27	0.95	 	2829	4.24
Kununurra		                                  	16	1.13	 	7	0.49	 	73	5.14	 	0	0	 	501	35.31	 	728	51.3	 	1	0.07	 	49	3.45	 	41	2.89	 	1	0.07	 	2	0.14	 	1419	98.95	 	15	1.05	 	1434	2.15
Laverton		                                   	10	2.6	 	1	0.26	 	16	4.16	 	2	0.52	 	175	45.45	 	152	39.48	 	1	0.26	 	17	4.42	 	10	2.6	 	1	0.26	 	0	0	 	385	98.72	 	5	1.28	 	390	0.59
Leinster		                                   	3	0.68	 	1	0.23	 	17	3.83	 	1	0.23	 	165	37.16	 	216	48.65	 	0	0	 	32	7.21	 	9	2.03	 	0	0	 	0	0	 	444	98.67	 	6	1.33	 	450	0.68
Leonora		                                    	14	2.93	 	2	0.42	 	10	2.09	 	1	0.21	 	221	46.23	 	209	43.72	 	2	0.42	 	13	2.72	 	5	1.05	 	0	0	 	1	0.21	 	478	96.96	 	15	3.04	 	493	0.74
Looma		                                      	3	1.83	 	0	0	 	6	3.66	 	1	0.61	 	132	80.49	 	19	11.59	 	0	0	 	1	0.61	 	2	1.22	 	0	0	 	0	0	 	164	95.91	 	7	4.09	 	171	0.26
Marble Bar		                                 	0	0	 	1	0.69	 	0	0	 	0	0	 	72	50	 	69	47.92	 	0	0	 	1	0.69	 	1	0.69	 	0	0	 	0	0	 	144	96.64	 	5	3.36	 	149	0.22
Marvel Loch		                                	1	1.06	 	0	0	 	3	3.19	 	0	0	 	35	37.23	 	50	53.19	 	0	0	 	5	5.32	 	0	0	 	0	0	 	0	0	 	94	98.95	 	1	1.05	 	95	0.14
Meekatharra		                                	4	0.72	 	0	0	 	15	2.69	 	0	0	 	245	43.99	 	272	48.83	 	0	0	 	16	2.87	 	5	0.9	 	0	0	 	0	0	 	557	97.38	 	15	2.62	 	572	0.86
Menzies		                                    	0	0	 	0	0	 	3	4.62	 	0	0	 	31	47.69	 	28	43.08	 	0	0	 	3	4.62	 	0	0	 	0	0	 	0	0	 	65	91.55	 	6	8.45	 	71	0.11
Moorine Rock		                               	0	0	 	0	0	 	1	1.14	 	0	0	 	12	13.64	 	72	81.82	 	0	0	 	2	2.27	 	1	1.14	 	0	0	 	0	0	 	88	98.88	 	1	1.12	 	89	0.13
Mount Magnet		                               	7	1.61	 	2	0.46	 	16	3.68	 	0	0	 	197	45.29	 	189	43.45	 	0	0	 	13	2.99	 	9	2.07	 	1	0.23	 	1	0.23	 	435	98.19	 	8	1.81	 	443	0.66
Mowanjum		                                   	1	0.93	 	0	0	 	2	1.87	 	0	0	 	100	93.46	 	3	2.8	 	0	0	 	1	0.93	 	0	0	 	0	0	 	0	0	 	107	94.69	 	6	5.31	 	113	0.17
Munglinup (Kalgoorlie)		                     	1	1.47	 	0	0	 	2	2.94	 	0	0	 	2	2.94	 	53	77.94	 	1	1.47	 	3	4.41	 	6	8.82	 	0	0	 	0	0	 	68	100	 	0	0	 	68	0.1
Newman		                                     	5	0.39	 	9	0.7	 	54	4.2	 	1	0.08	 	831	64.67	 	320	24.9	 	1	0.08	 	47	3.66	 	14	1.09	 	0	0	 	3	0.23	 	1285	98.09	 	25	1.91	 	1310	1.97
Newman North		                               	7	0.67	 	6	0.57	 	66	6.29	 	2	0.19	 	668	63.62	 	255	24.29	 	0	0	 	39	3.71	 	7	0.67	 	0	0	 	0	0	 	1050	98.59	 	15	1.41	 	1065	1.6
Noonkanbah		                                 	1	0.84	 	0	0	 	3	2.52	 	0	0	 	107	89.92	 	8	6.72	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	119	100	 	0	0	 	119	0.18
Norseman		                                   	3	0.42	 	8	1.12	 	10	1.4	 	1	0.14	 	460	64.52	 	185	25.95	 	0	0	 	36	5.05	 	7	0.98	 	0	0	 	3	0.42	 	713	97.14	 	21	2.86	 	734	1.1
Nullagine		                                  	1	1.45	 	1	1.45	 	0	0	 	0	0	 	36	52.17	 	30	43.48	 	0	0	 	0	0	 	1	1.45	 	0	0	 	0	0	 	69	82.14	 	15	17.86	 	84	0.13
Nulsen		                                     	4	0.44	 	7	0.77	 	28	3.08	 	1	0.11	 	468	51.54	 	336	37	 	4	0.44	 	27	2.97	 	32	3.52	 	0	0	 	1	0.11	 	908	97.01	 	28	2.99	 	936	1.4
Onslow		                                     	2	0.71	 	2	0.71	 	10	3.53	 	1	0.35	 	161	56.89	 	91	32.16	 	0	0	 	13	4.59	 	3	1.06	 	0	0	 	0	0	 	283	97.25	 	8	2.75	 	291	0.44
Pannawonica		                                	0	0	 	0	0	 	15	5.24	 	0	0	 	172	60.14	 	83	29.02	 	0	0	 	11	3.85	 	5	1.75	 	0	0	 	0	0	 	286	98.96	 	3	1.04	 	289	0.43
Paraburdoo		                                 	2	0.23	 	5	0.57	 	26	2.99	 	0	0	 	533	61.26	 	242	27.82	 	2	0.23	 	48	5.52	 	10	1.15	 	0	0	 	2	0.23	 	870	98.75	 	11	1.25	 	881	1.32
Perth (Kalgoorlie)		                         	0	0	 	0	0	 	3	1.76	 	1	0.59	 	65	38.24	 	92	54.12	 	0	0	 	4	2.35	 	5	2.94	 	0	0	 	0	0	 	170	98.84	 	2	1.16	 	172	0.26
Port Hedland		                               	6	0.99	 	7	1.15	 	29	4.76	 	0	0	 	353	57.96	 	185	30.38	 	0	0	 	25	4.11	 	3	0.49	 	0	0	 	1	0.16	 	609	98.07	 	12	1.93	 	621	0.93
Roebourne		                                  	3	0.71	 	0	0	 	9	2.14	 	2	0.48	 	325	77.2	 	74	17.58	 	0	0	 	6	1.43	 	2	0.48	 	0	0	 	0	0	 	421	97.91	 	9	2.09	 	430	0.65
Salmon Gums		                                	0	0	 	0	0	 	2	1.9	 	1	0.95	 	21	20	 	64	60.95	 	1	0.95	 	2	1.9	 	14	13.33	 	0	0	 	0	0	 	105	98.13	 	2	1.87	 	107	0.16
Sandstone		                                  	0	0	 	0	0	 	0	0	 	0	0	 	16	41.03	 	21	53.85	 	0	0	 	0	0	 	2	5.13	 	0	0	 	0	0	 	39	100	 	0	0	 	39	0.06
Scaddan		                                    	1	1.72	 	0	0	 	0	0	 	0	0	 	3	5.17	 	47	81.03	 	0	0	 	1	1.72	 	6	10.34	 	0	0	 	0	0	 	58	100	 	0	0	 	58	0.09
Shay Gap		                                   	4	1.34	 	2	0.67	 	7	2.35	 	2	0.67	 	204	68.46	 	65	21.81	 	0	0	 	12	4.03	 	2	0.67	 	0	0	 	0	0	 	298	97.39	 	8	2.61	 	306	0.46
Southern Cross		                             	2	0.39	 	1	0.2	 	13	2.54	 	3	0.59	 	186	36.33	 	283	55.27	 	0	0	 	19	3.71	 	5	0.98	 	0	0	 	0	0	 	512	96.97	 	16	3.03	 	528	0.79
South Hedland		                              	8	0.62	 	15	1.16	 	64	4.96	 	2	0.15	 	772	59.8	 	386	29.9	 	0	0	 	40	3.1	 	2	0.15	 	0	0	 	2	0.15	 	1291	97.29	 	36	2.71	 	1327	1.99
South Hedland Baler		                        	11	0.67	 	15	0.92	 	86	5.26	 	0	0	 	1054	64.43	 	418	25.55	 	2	0.12	 	42	2.57	 	8	0.49	 	0	0	 	0	0	 	1636	98.2	 	30	1.8	 	1666	2.5
Telfer		                                     	1	0.41	 	0	0	 	21	8.71	 	1	0.41	 	103	42.74	 	96	39.83	 	0	0	 	13	5.39	 	5	2.07	 	1	0.41	 	0	0	 	241	97.57	 	6	2.43	 	247	0.37
Tom Price		                                  	6	0.41	 	12	0.83	 	46	3.17	 	1	0.07	 	941	64.76	 	369	25.4	 	0	0	 	59	4.06	 	18	1.24	 	0	0	 	1	0.07	 	1453	98.38	 	24	1.62	 	1477	2.22
Turkey Creek		                               	3	1.78	 	1	0.59	 	3	1.78	 	0	0	 	144	85.21	 	16	9.47	 	0	0	 	1	0.59	 	0	0	 	1	0.59	 	0	0	 	169	99.41	 	1	0.59	 	170	0.26
Useless Loop		                               	0	0	 	0	0	 	0	0	 	0	0	 	17	24.29	 	45	64.29	 	0	0	 	8	11.43	 	0	0	 	0	0	 	0	0	 	70	100	 	0	0	 	70	0.11
Wangkatjungka		                              	5	5.75	 	3	3.45	 	2	2.3	 	0	0	 	65	74.71	 	6	6.9	 	0	0	 	2	2.3	 	4	4.6	 	0	0	 	0	0	 	87	100	 	0	0	 	87	0.13
Warralakin		                                 	0	0	 	0	0	 	0	0	 	0	0	 	6	13.95	 	36	83.72	 	0	0	 	0	0	 	1	2.33	 	0	0	 	0	0	 	43	100	 	0	0	 	43	0.06
Westonia		                                   	1	1.08	 	0	0	 	1	1.08	 	0	0	 	17	18.28	 	64	68.82	 	0	0	 	0	0	 	10	10.75	 	0	0	 	0	0	 	93	98.94	 	1	1.06	 	94	0.14
Wickham		                                    	9	1.15	 	4	0.51	 	45	5.74	 	0	0	 	426	54.34	 	263	33.55	 	2	0.26	 	30	3.83	 	5	0.64	 	0	0	 	0	0	 	784	97.63	 	19	2.37	 	803	1.2
Wiluna		                                     	1	0.85	 	0	0	 	3	2.54	 	0	0	 	59	50	 	52	44.07	 	0	0	 	1	0.85	 	2	1.69	 	0	0	 	0	0	 	118	98.33	 	2	1.67	 	120	0.18
Wittenoom		                                  	0	0	 	0	0	 	0	0	 	0	0	 	21	61.76	 	10	29.41	 	0	0	 	3	8.82	 	0	0	 	0	0	 	0	0	 	34	100	 	0	0	 	34	0.05
Wyndham		                                    	1	0.23	 	4	0.92	 	20	4.61	 	5	1.15	 	279	64.29	 	108	24.88	 	0	0	 	12	2.76	 	4	0.92	 	0	0	 	1	0.23	 	434	96.88	 	14	3.13	 	448	0.67
Yalgoo		                                     	0	0	 	0	0	 	1	1.39	 	0	0	 	32	44.44	 	35	48.61	 	0	0	 	3	4.17	 	1	1.39	 	0	0	 	0	0	 	72	98.63	 	1	1.37	 	73	0.11
Yandeyarra		                                 	0	0	 	11	11.83	 	0	0	 	0	0	 	79	84.95	 	3	3.23	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	93	100	 	0	0	 	93	0.14
Special Hospitals		                          	3	1.16	 	1	0.39	 	6	2.32	 	0	0	 	180	69.5	 	65	25.1	 	0	0	 	0	0	 	3	1.16	 	1	0.39	 	0	0	 	259	98.85	 	3	1.15	 	262	0.39
Remote Mobiles		                             	26	1.24	 	10	0.48	 	42	2	 	5	0.24	 	1749	83.17	 	243	11.55	 	1	0.05	 	18	0.86	 	8	0.38	 	1	0.05	 	0	0	 	2103	96.51	 	76	3.49	 	2179	3.27
Prison Mobiles		                             	1	1.04	 	1	1.04	 	6	6.25	 	1	1.04	 	74	77.08	 	10	10.42	 	0	0	 	3	3.13	 	0	0	 	0	0	 	0	0	 	96	97.96	 	2	2.04	 	98	0.15
Total Ordinary		                             	543	0.97	 	445	0.8	 	2050	3.67	 	90	0.16	 	29151	52.19	 	20606	36.89	 	83	0.15	 	1987	3.56	 	831	1.49	 	21	0.04	 	49	0.09	 	55856	97.87	 	1217	2.13	 	57073	85.64
ABSENT		                                     	50	0.95	 	24	0.46	 	288	5.47	 	6	0.11	 	2205	41.91	 	2371	45.07	 	9	0.17	 	178	3.38	 	113	2.15	 	4	0.08	 	13	0.25	 	5261	98.48	 	81	1.52	 	5342	8.02
POSTAL		                                     	15	0.97	 	8	0.52	 	62	4.02	 	3	0.19	 	457	29.6	 	864	55.96	 	4	0.26	 	43	2.78	 	82	5.31	 	3	0.19	 	3	0.19	 	1544	99.87	 	2	0.13	 	1546	2.32
PRE_POLL		                                   	33	1.55	 	8	0.38	 	107	5.04	 	3	0.14	 	961	45.22	 	880	41.41	 	5	0.24	 	77	3.62	 	45	2.12	 	1	0.05	 	5	0.24	 	2125	98.98	 	22	1.02	 	2147	3.22
PROVISIONAL		                                	4	0.77	 	3	0.57	 	33	6.32	 	1	0.19	 	328	62.84	 	128	24.52	 	1	0.19	 	15	2.87	 	6	1.15	 	3	0.57	 	0	0	 	522	97.21	 	15	2.79	 	537	0.81
ADJUSTMENT		                                 	3		       	1		       	0		       	0		       	1		       	4		       	1		       	2		       	3		       	1		       	1		       	17		       	-17		       	0	
Division Summary		                           	648	0.99	 	489	0.75	 	2540	3.89	 	103	0.16	 	33103	50.67	 	24853	38.05	 	103	0.16	 	2302	3.52	 	1080	1.65	 	33	0.05	 	71	0.11	 	65325	98.02	 	1320	1.98	 	66645	89.99
 																																											


Moore (75592)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beldon		                                     	11	0.56	 	7	0.35	 	91	4.6	 	0	0	 	906	45.78	 	847	42.8	 	1	0.05	 	110	5.56	 	2	0.1	 	1	0.05	 	3	0.15	 	1979	98.85	 	23	1.15	 	2002	2.73
Burns Beach		                                	4	1.11	 	0	0	 	17	4.72	 	0	0	 	155	43.06	 	167	46.39	 	0	0	 	16	4.44	 	1	0.28	 	0	0	 	0	0	 	360	100	 	0	0	 	360	0.49
Carine		                                     	24	0.66	 	12	0.33	 	192	5.31	 	4	0.11	 	792	21.88	 	2395	66.18	 	1	0.03	 	175	4.84	 	15	0.41	 	3	0.08	 	6	0.17	 	3619	99.15	 	31	0.85	 	3650	4.98
Clarkson		                                   	7	1.32	 	0	0	 	28	5.26	 	0	0	 	266	50	 	209	39.29	 	0	0	 	21	3.95	 	0	0	 	1	0.19	 	0	0	 	532	98.34	 	9	1.66	 	541	0.74
Connolly		                                   	11	0.8	 	3	0.22	 	52	3.77	 	0	0	 	456	33.02	 	802	58.07	 	1	0.07	 	51	3.69	 	4	0.29	 	0	0	 	1	0.07	 	1381	99.14	 	12	0.86	 	1393	1.9
Craigie		                                    	26	0.71	 	10	0.27	 	182	5	 	7	0.19	 	1709	46.95	 	1494	41.04	 	2	0.05	 	190	5.22	 	13	0.36	 	4	0.11	 	3	0.08	 	3640	98.64	 	50	1.36	 	3690	5.03
Duncraig		                                   	20	0.65	 	4	0.13	 	170	5.5	 	2	0.06	 	874	28.26	 	1845	59.65	 	0	0	 	163	5.27	 	6	0.19	 	2	0.06	 	7	0.23	 	3093	98.79	 	38	1.21	 	3131	4.27
Duncraig East		                              	9	0.44	 	2	0.1	 	87	4.25	 	3	0.15	 	388	18.95	 	1441	70.36	 	1	0.05	 	110	5.37	 	3	0.15	 	3	0.15	 	1	0.05	 	2048	99.13	 	18	0.87	 	2066	2.82
Duncraig North		                             	17	0.65	 	0	0	 	135	5.18	 	1	0.04	 	741	28.43	 	1529	58.67	 	0	0	 	165	6.33	 	7	0.27	 	6	0.23	 	5	0.19	 	2606	99.24	 	20	0.76	 	2626	3.58
Duncraig South		                             	14	0.81	 	5	0.29	 	73	4.2	 	2	0.12	 	400	23.03	 	1142	65.75	 	1	0.06	 	90	5.18	 	7	0.4	 	1	0.06	 	2	0.12	 	1737	98.69	 	23	1.31	 	1760	2.4
Edgewater		                                  	10	0.41	 	4	0.17	 	107	4.41	 	1	0.04	 	909	37.5	 	1245	51.36	 	2	0.08	 	137	5.65	 	7	0.29	 	1	0.04	 	1	0.04	 	2424	98.54	 	36	1.46	 	2460	3.36
Heathridge		                                 	25	1.07	 	8	0.34	 	121	5.16	 	3	0.13	 	1098	46.8	 	962	41.01	 	0	0	 	116	4.94	 	9	0.38	 	0	0	 	4	0.17	 	2346	98.65	 	32	1.35	 	2378	3.24
Heathridge East		                            	18	1.36	 	2	0.15	 	75	5.65	 	1	0.08	 	669	50.41	 	486	36.62	 	0	0	 	65	4.9	 	9	0.68	 	1	0.08	 	1	0.08	 	1327	98.08	 	26	1.92	 	1353	1.85
Hillarys		                                   	11	0.36	 	7	0.23	 	188	6.24	 	2	0.07	 	974	32.31	 	1681	55.75	 	1	0.03	 	141	4.68	 	6	0.2	 	1	0.03	 	3	0.1	 	3015	99.05	 	29	0.95	 	3044	4.15
