House of Representatives - 1996 Election 							
Swing to ALP 							
By Division by Polling Place							

New South Wales							

Banks							

Polling Place	Formal	MELHAM		SPARKES		Swing	Exh
Dharruk	1631	1169	71.81	459	28.19	-5.65	3
Doonside	1757	1113	63.64	636	36.36	-8.92	8
Doonside North	3156	2029	64.54	1115	35.46	-9.33	12
Eastern Creek	680	382	56.26	297	43.74	-9.53	1
Emerton	1059	763	72.25	293	27.75	-7.49	3
Erskine Park	3192	1827	57.43	1354	42.57	-10.14	11
Glendenning	1683	1106	65.87	573	34.13	-5.63	4
Hassall Grove	2364	1648	69.83	712	30.17	-6.73	4
Hebersham	2149	1516	70.74	627	29.26	-9.57	6
Lethbridge Park	2625	1857	71.15	753	28.85	-9.34	15
Madang	719	510	71.03	208	28.97	-8.89	1
Minchinbury	2451	1486	60.75	960	39.25	-3.58	5
Mount Druitt Hospital	420	307	73.1	113	26.9	-7.39	0
Mount Druitt North	1633	1121	68.94	505	31.06	-8.08	7
Mount Druitt South	2729	1645	60.46	1076	39.54	-9.02	8
O.L.C. Home	655	376	57.49	278	42.51	-9.24	1
Oxley Park	2558	1389	54.49	1160	45.51	-7.78	9
Plumpton	3450	2263	65.8	1176	34.2	-5.54	11
Rooty Hill North	2976	1880	63.28	1091	36.72	-6.91	5
Rooty Hill South	1416	918	65.11	492	34.89	-6.38	6
Shalvey	1719	1226	71.53	488	28.47	-6.82	5
Special Hospital Team 1	25	16	64	9	36	-	0
St Marys	1455	896	61.67	557	38.33	-9.62	2
St Marys North	2248	1523	68.08	714	31.92	-7.42	11
St Marys South	2456	1347	55.07	1099	44.93	-10.95	10
Sydney (Chifley)	57	48	84.21	9	15.79	10.44	0
Tregear	1924	1368	71.29	551	28.71	-7.34	5
Walters Road (Chifley)	2003	1205	60.37	791	39.63	-7.52	7
Whalan	1959	1422	72.92	528	27.08	-8.19	9
Willmot	1361	928	68.44	428	31.56	-8.76	5
ABSENT	4242	2570	60.91	1649	39.09	-	23
POSTAL	1036	605	58.45	430	41.55	-	1
PRE POLL	1759	1189	67.75	566	32.25	-	4
PROVISIONAL	720	508	70.85	209	29.15	-	3
Division Total	73858	47513	64.54	26109	35.46	-8.04	236


Cook							

Polling Place	Formal	McGRATH		MUTCH		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Burraneer Bay	3274	966	29.68	2289	70.32	-6.58	19
Caringbah	3462	1200	34.81	2247	65.19	-9.87	15
Caringbah Central	1024	438	42.98	581	57.02	-5.08	5
Caringbah North	2839	1278	45.22	1548	54.78	-10.05	13
Caringbah West	2071	765	37.06	1299	62.94	-8.45	7
Cronulla	2620	862	33	1750	67	-4.63	8
Cronulla Central	1997	822	41.27	1170	58.73	-8.04	5
Cronulla North	1672	862	51.87	800	48.13	-6.81	10
Cronulla South	2442	819	33.73	1609	66.27	-6.45	14
Dolans Bay	983	324	33.3	649	66.7	-5.3	10
Grays Point	1616	648	40.53	951	59.47	-8.63	17
Gymea	2896	1292	44.89	1586	55.11	-11.93	18
Gymea North	1181	458	38.85	721	61.15	-7.8	2
Gymea South	3649	1382	38.05	2250	61.95	-10.13	17
Kareela	2508	826	33.01	1676	66.99	-6.98	6
Kirrawee	1714	730	42.69	980	57.31	-10.01	4
Kirrawee South	1779	665	37.68	1100	62.32	-10.48	14
Kurnell	1218	529	43.72	681	56.28	-20.09	8
Lilli Pilli	1321	330	25.17	981	74.83	-5.72	10
Miranda	2307	1031	44.83	1269	55.17	-9.59	7
Miranda Central	1284	597	46.64	683	53.36	-8.77	4
Miranda North	2087	847	40.74	1232	59.26	-11.54	8
Special Hospital Team 1	120	38	31.67	82	68.33	-	0
Special Hospital Team 2	135	46	34.07	89	65.93	-	0
Sutherland East	817	370	45.68	440	54.32	-13.76	7
Sutherland Hospital	1013	425	42.16	583	57.84	-6.23	5
Sutherland North (Cook)	1483	598	40.51	878	59.49	-12.41	7
Sydney (Cook)	89	39	45.35	47	54.65	-6.46	3
Sylvania	1326	408	30.96	910	69.04	-7.07	8
Sylvania Central	800	250	31.49	544	68.51	-11.39	6
Sylvania Heights	3934	1338	34.13	2582	65.87	-8.02	14
Sylvania Waters	1442	365	25.36	1074	74.64	-1.84	3
Taren Point	834	237	28.62	591	71.38	-9.98	6
Vickery Village	1556	451	29.15	1096	70.85	-8.17	9
Wanda Beach	1031	442	43.08	584	56.92	-12.61	5
Woolooware	2074	849	41.09	1217	58.91	-8.3	8
Yowie Bay	2609	811	31.31	1779	68.69	-7.52	19
ABSENT	4090	1733	42.62	2333	57.38	-	24
POSTAL	2260	825	36.63	1427	63.37	-	8
PRE POLL	3534	1237	35.11	2286	64.89	-	11
PROVISIONAL	410	210	51.6	197	48.4	-	3
Division Total	75501	28343	37.72	46791	62.28	-8.81	367


Cowper							

Polling Place	Formal	SEKFY		NEHL		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Aldavilla	1199	393	33	798	67	-11.68	8
Argents Hill	88	50	58.14	36	41.86	4.38	2
Bayldon	1532	647	42.37	880	57.63	-6.71	5
Beechwood	627	193	31.08	428	68.92	-10.7	6
Bellangry	80	17	21.52	62	78.48	-11.81	1
Bellbrook	165	79	48.17	85	51.83	-4	1
Bellimbopinni	150	52	34.67	98	65.33	-2.44	0
Bellingen	1906	846	44.74	1045	55.26	-5.18	15
Bellingen Hospital	172	78	45.35	94	54.65	-4.98	0
Boambee	1185	322	27.22	861	72.78	-6.32	2
Bonville	778	232	30.01	541	69.99	-8.18	5
Bowraville	1048	410	39.5	628	60.5	-7.99	10
Coffs Harbour	2962	1103	37.42	1845	62.58	-3.02	14
Coffs Harbour East	1757	705	40.31	1044	59.69	-9.86	8
Coffs Harbour Hospital	262	98	37.4	164	62.6	-11.59	0
Coffs Harbour Jetty	1179	406	34.52	770	65.48	-4.96	3
Coffs Harbour Narranga	1643	547	33.35	1093	66.65	-6.69	3
Coffs Harbour South	1350	488	36.34	855	63.66	-5.69	7
Coffs Harbour West	3450	1157	33.61	2285	66.39	-6.49	8
Coramba	376	153	40.69	223	59.31	-8.26	0
Crescent Head	780	359	46.38	415	53.62	-11.03	6
Deervale	97	24	24.74	73	75.26	-1.34	0
Dorrigo	1085	292	27.01	789	72.99	-7.3	4
Dorrigo North	202	53	26.9	144	73.1	-4.91	5
Eungai Creek	296	132	44.59	164	55.41	-6.85	0
Frederickton	751	301	40.08	450	59.92	-11.09	0
Gladstone	546	140	25.74	404	74.26	-9.9	2
Gleniffer	181	82	45.81	97	54.19	-13.25	2
Hat Head	198	96	48.73	101	51.27	-15.32	1
Hollisdale	96	24	25	72	75	-7.18	0
Karangi	342	118	34.6	223	65.4	-6.72	1
Kempsey	1121	404	36.07	716	63.93	-9.13	1
Kempsey East	955	278	29.29	671	70.71	-9.14	6
Kempsey High	1638	590	36.15	1042	63.85	-9.54	6
Kempsey Hospital	273	118	43.38	154	56.62	-4.28	1
Kempsey South	1158	555	48.14	598	51.86	-4.83	5
Kempsey West	940	370	39.57	565	60.43	-7.09	5
Kinchela	145	40	27.59	105	72.41	-0.99	0
Korora	1375	418	30.6	948	69.4	-4.06	9
Kundabung	169	81	47.93	88	52.07	-4.05	0
Lowanna	132	53	40.46	78	59.54	-5.81	1
Macksville	2129	678	31.92	1446	68.08	-7.69	5
Macksville Hospital	236	60	25.42	176	74.58	-6.47	0
Medlow	203	87	43.07	115	56.93	-8.1	1
Missabotti	95	45	48.39	48	51.61	-7.28	2
Moonee Beach	680	232	34.22	446	65.78	-12.19	2
Mullaway	1070	499	46.77	568	53.23	-5.01	3
Mylestom	321	143	44.55	178	55.45	-10.37	0
Nambucca Heads	3112	1294	41.82	1800	58.18	-9.51	18
Nana Glen	507	201	39.88	303	60.12	-10.21	3
Newville	880	358	40.91	517	59.09	-11.22	5
Pembrooke	141	23	16.31	118	83.69	-4.13	0
Port Macquarie North Shore	291	105	36.08	186	63.92	-10.31	0
Raleigh	261	106	40.61	155	59.39	-2.52	0
Repton	259	113	44.49	141	55.51	-10.81	5
Rollands Plains	166	35	21.21	130	78.79	-10.2	1
Sandy Beach	1440	679	47.28	757	52.72	-8.4	4
Sawtell	1891	853	45.16	1036	54.84	-6.46	2
Scotts Head	492	237	48.87	248	51.13	-4.54	7
Smithtown	444	168	37.92	275	62.08	-7.79	1
South West Rocks	2193	952	43.45	1239	56.55	-9.37	2
Special Hospital Team 1	140	50	35.71	90	64.29	-	0
Special Hospital Team 2	191	69	36.13	122	63.87	-	0
Stuarts Point	760	333	43.93	425	56.07	-8.19	2
Sydney (Cowper)	62	34	54.84	28	45.16	0.29	0
Telegraph Point	607	186	30.74	419	69.26	-10.53	2
Thora	247	150	61.48	94	38.52	-3.81	3
Toormina	2815	1089	38.77	1720	61.23	-8.95	6
Ulong	110	31	28.18	79	71.82	-15.25	0
Upper Orara	248	100	41.15	143	58.85	-0.42	5
Urunga	1932	852	44.21	1075	55.79	-7.6	5
Utungun	175	36	20.93	136	79.07	-4.25	3
Valla Beach	630	296	47.28	330	52.72	-5.91	4
Warrell Creek	213	27	12.68	186	87.32	-13	0
Willawarrin	461	189	41.09	271	58.91	-9.24	1
Woolgoolga	2419	1032	42.7	1385	57.3	-9.11	2
Yarras	104	21	20.19	83	79.81	-5.34	0
ABSENT	4324	1770	41.2	2526	58.8	-	28
POSTAL	2049	663	32.39	1384	67.61	-	2
PRE POLL	2910	1024	35.25	1881	64.75	-	5
PROVISIONAL	922	442	48.25	474	51.75	-	6
Division Total	72519	27766	38.44	44465	61.56	-7.5	288


Cunningham							

Polling Place	Formal	MARTIN		WILLIAMS		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Austinmer	1073	638	60.88	410	39.12	-3.81	25
Balgownie	1032	537	52.14	493	47.86	-9.43	2
Balgownie Central	2688	1565	58.53	1109	41.47	-3.01	14
Bellambi	1457	1135	78.17	317	21.83	-4.83	5
Bulli	826	574	70.09	245	29.91	-7.75	7
Bulli Central	2486	1706	69.12	762	30.88	-4.42	18
Bulli Hospital	87	70	80.46	17	19.54	9.77	0
Coledale	708	509	72.3	195	27.7	-9.66	4
Coniston	1744	1284	73.96	452	26.04	-1.51	8
Corrimal	2659	1791	67.76	852	32.24	-7.53	16
Corrimal East	3209	2234	69.97	959	30.03	-6.84	16
Fairy Meadow	2161	1430	66.45	722	33.55	-1.09	9
Fairy Meadow South	143	92	64.79	50	35.21	3.53	1
Figtree (Cunningham)	2685	1485	55.51	1190	44.49	-5.16	10
Figtree Heights	1237	627	50.73	609	49.27	-5.23	1
Gwynneville	1167	705	60.67	457	39.33	-5.56	5
Keiraville	2647	1373	52.34	1250	47.66	-5.14	24
Lindsay Park	2449	1302	53.43	1135	46.57	-2.9	12
Mount Keira	1459	753	52.04	694	47.96	-6.94	12
Mount Kembla	645	376	58.84	263	41.16	-5.25	6
Mount Ousley	2018	1035	51.6	971	48.4	-2.95	12
Mount Saint Thomas	1907	1078	57.1	810	42.9	-4.43	19
Reidtown	945	632	67.31	307	32.69	-5.6	6
Russell Vale	1342	891	66.69	445	33.31	-9.43	6
Scarborough	213	159	75.36	52	24.64	-6.46	2
Smith's Hill	2263	1294	57.72	948	42.28	-4.93	21
Special Hospital Team 1	118	71	60.17	47	39.83	-	0
Special Hospital Team 2	43	25	58.14	18	41.86	-	0
Sydney (Cunningham)	50	32	64	18	36	1.5	0
Tarrawanna	1657	1076	65.29	572	34.71	-7.22	9
Thirroul	1992	1304	66.03	671	33.97	-5.98	17
Thirroul East	1454	952	66.2	486	33.8	-6.56	16
Towradgi	1414	992	70.45	416	29.55	-5.17	6
Towradgi East	490	302	61.76	187	38.24	-8.07	1
Unanderra	826	527	64.35	292	35.65	-5.81	7
Unanderra Central (Cunningham)	2539	1656	65.56	870	34.44	-7.13	13
Wollongong	2568	1618	63.5	930	36.5	-4.81	20
Wollongong Central	1467	976	67.08	479	32.92	0.16	12
Wollongong Hospital	195	133	68.21	62	31.79	-4.57	0
Wollongong West	1940	1218	63.24	708	36.76	-2.01	14
Wombarra	272	178	66.42	90	33.58	-6.28	4
Woonona	1579	1073	68.08	503	31.92	-8.31	3
Woonona Central	1261	809	64.46	446	35.54	-6.86	6
Woonona East	1578	1021	65.11	547	34.89	-9.96	10
ABSENT	3174	2043	64.84	1108	35.16	-	23
POSTAL	2000	1260	63.09	737	36.91	-	3
PRE POLL	2576	1455	56.66	1113	43.34	-	8
PROVISIONAL	416	306	73.91	108	26.09	-	2
Division Total	70859	44302	62.91	26122	37.09	-5	435


Dobell							

Polling Place	Formal	LEE		EATON		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Bateau Bay Central	691	259	37.54	431	62.46	-11.07	1
Bateau Bay East	1887	969	51.54	911	48.46	-6.84	7
Bateau Bay South	929	481	51.83	447	48.17	-7.48	1
Bateau Bay West	377	252	66.84	125	33.16	-0.2	0
Berkeley Vale	2787	1453	52.3	1325	47.7	-4.67	9
Berkeley Vale North	1295	631	49.14	653	50.86	-3.13	11
Blue Haven	713	396	55.62	316	44.38	-9.88	1
Charmhaven	1281	707	55.28	572	44.72	-8.76	2
Chittaway Bay	2215	1189	53.83	1020	46.17	-8.65	6
Chittaway Point	390	200	51.28	190	48.72	-3.64	0
Dooralong	133	32	24.81	97	75.19	-9.34	4
Erina Heights (Dobell)	613	186	30.34	427	69.66	-6.79	0
Forresters Beach	1055	498	47.52	550	52.48	-9.91	7
Gorokan	1606	913	57.03	688	42.97	-7.68	5
Gorokan North	2948	1674	57.04	1261	42.96	-8.69	13
Holgate	400	137	34.25	263	65.75	-4.82	0
Jilliby	350	123	35.14	227	64.86	-2.81	0
Kanwal	2050	1182	57.71	866	42.29	-6.36	2
Killarney Vale	1608	883	54.95	724	45.05	-5.81	1
Killarney Vale South	3611	1901	52.81	1699	47.19	-6	11
Kulnura	346	102	29.82	240	70.18	1.53	4
Lake Haven	1006	542	54.09	460	45.91	-11.67	4
Lisarow	1248	502	40.42	740	59.58	-5.64	6
Long Jetty	1785	956	53.62	827	46.38	-10.82	2
Long Jetty East	1119	579	51.79	539	48.21	-4.13	1
Matcham	311	71	22.9	239	77.1	-5.28	1
Narara	1485	747	50.44	734	49.56	-6.86	4
Niagara Park	2445	1181	48.46	1256	51.54	-6.82	8
Ourimbah	1935	756	39.17	1174	60.83	-10	5
San Remo (Dobell)	244	134	55.14	109	44.86	-10.51	1
Shelly Beach	2358	1210	51.47	1141	48.53	-7.65	7
Special Hospital Team 1	202	106	52.48	96	47.52	-	0
Special Hospital Team 2	453	217	47.9	236	52.1	-	0
Sydney (Dobell)	54	29	53.7	25	46.3	-15.53	0
Tacoma	509	259	50.88	250	49.12	-8.58	0
Terrigal Lagoon	1237	504	40.94	727	59.06	-10.18	6
The Entrance	1930	1030	53.59	892	46.41	-4.51	8
The Entrance North	678	367	54.37	308	45.63	-6.14	3
Tuggerah	641	289	45.09	352	54.91	2.75	0
Tuggerawong	513	299	58.74	210	41.26	-6.68	4
Tumbi Umbi	809	367	45.42	441	54.58	-11.91	1
Valley View	524	247	47.41	274	52.59	-3.08	3
Wamberal	2416	980	40.66	1430	59.34	-5.42	6
Wamberal North	847	285	33.73	560	66.27	-8.31	2
Warnervale	776	384	50.2	381	49.8	-7.95	11
Watanobbi	1229	806	65.69	421	34.31	-2.58	2
Wyoming (Dobell)	2619	1232	47.17	1380	52.83	-10.21	7
Wyoming Central	2203	974	44.35	1222	55.65	-5.88	7
Wyong	2001	1022	51.23	973	48.77	-8.69	6
Wyong Creek	169	64	37.87	105	62.13	0.74	0
Wyong East	627	302	48.48	321	51.52	-11.4	4
Wyongah	930	520	56.22	405	43.78	-7.55	5
Yarramalong	208	82	39.81	124	60.19	-9.3	2
ABSENT	4286	2306	53.97	1967	46.03	-	13
POSTAL	2166	1122	51.87	1041	48.13	-	3
PRE POLL	3659	1719	47.12	1929	52.88	-	11
PROVISIONAL	555	317	57.22	237	42.78	-	1
Division Total	73462	36675	50.08	36558	49.92	-6.74	229


Eden-Monaro							

Polling Place	Formal	SNOW		NAIRN		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Adaminaby	355	103	29.18	250	70.82	-14.38	2
Ando	70	20	29.41	48	70.59	-10.27	2
Araluen	87	33	37.93	54	62.07	-18.54	0
Batehaven	908	343	37.82	564	62.18	-7.79	1
Batemans Bay	2891	1250	43.4	1630	56.6	-8.69	11
Bega	2246	928	41.5	1308	58.5	-5.79	10
Bega Central	1051	425	40.67	620	59.33	-8.1	6
Bega Hospital	172	60	35.09	111	64.91	-16.71	1
Bemboka	386	131	34.47	249	65.53	-6.4	6
Bermagui	1314	603	46	708	54	-5.6	3
Berridale	681	233	34.57	441	65.43	-5.34	7
Bibbenluke	85	36	42.35	49	57.65	-5.47	0
Bimbimbie	285	88	31.1	195	68.9	-10.48	2
Bodalla	472	218	46.48	251	53.52	-8.84	3
Bombala	1104	404	36.86	692	63.14	-11.65	8
Braidwood	1188	487	41.31	692	58.69	-7.79	9
Bredbo	204	87	43.07	115	56.93	-6.44	2
Brogo	199	86	43.22	113	56.78	-12.83	0
Broulee	753	392	52.55	354	47.45	-9.47	7
Bungendore	1566	729	46.82	828	53.18	-8.98	9
Candelo	551	264	48.44	281	51.56	-5.41	6
Captains Flat	287	182	65	98	35	-12.52	7
Cathcart	88	33	37.5	55	62.5	-22.5	0
Central Tilba	244	122	50.62	119	49.38	-10.04	3
Cobargo	675	298	44.28	375	55.72	-7.33	2
Cooma	1991	910	45.87	1074	54.13	-6.38	7
Cooma Hospital	424	212	50.24	210	49.76	-14.22	2
Cooma North	1321	598	45.58	714	54.42	-11.3	9
Cooma South	713	316	44.57	393	55.43	-5.75	4
Dalgety	185	51	27.57	134	72.43	-9.87	0
Dalmeny	1115	470	42.34	640	57.66	-10.23	5
Delegate	372	102	27.42	270	72.58	-17.23	0
Eden	2082	593	28.58	1482	71.42	-17.62	7
Jerangle	54	10	18.52	44	81.48	-6.01	0
Jerrabomberra	1533	662	43.35	865	56.65	-23.22	6
Jindabyne	1068	442	41.46	624	58.54	-6.69	2
Letchworth	349	206	59.2	142	40.8	-9.67	1
Long Beach	322	161	50.16	160	49.84	-1.86	1
Majors Creek	93	57	61.29	36	38.71	10.15	0
Malua Bay	816	303	37.18	512	62.82	-5.53	1
Merimbula	1909	620	32.58	1283	67.42	-4.64	6
Michelago	225	84	37.33	141	62.67	-3.73	0
Mogo	342	139	40.88	201	59.12	-18.3	2
Moruya	2679	1273	47.71	1395	52.29	-10.9	11
Narooma	2227	889	40.1	1328	59.9	-10.12	10
Nelligen	215	90	42.25	123	57.75	-9.84	2
Nimmitabel	358	145	40.5	213	59.5	-8.24	0
Numeralla	149	39	26.17	110	73.83	-21.39	0
Pambula	1325	460	34.82	861	65.18	-9.39	4
Perisher Valley	19	5	26.32	14	73.68	-9.8	0
Quaama	315	157	49.84	158	50.16	-10.76	0
Queanbeyan	2044	1085	53.34	949	46.66	-12.84	10
Queanbeyan Central	1916	1026	53.89	878	46.11	-9.25	12
Queanbeyan East	1935	1000	52.03	922	47.97	-9.28	13
Queanbeyan High	1493	873	58.55	618	41.45	-8	2
Queanbeyan Hospital	747	403	54.17	341	45.83	-11.14	3
Queanbeyan North	1098	589	53.99	502	46.01	-10.96	7
Queanbeyan South	3225	2076	64.57	1139	35.43	-7.9	10
Queanbeyan West	1615	886	55.03	724	44.97	-13.2	5
South Durras	220	114	52.05	105	47.95	-1.28	1
Special Hospital Team 1	85	44	51.76	41	48.24	-	0
Special Hospital Team 2	47	13	27.66	34	72.34	-	0
Special Hospital Team 3	34	12	35.29	22	64.71	-	0
Special Hospital Team 4	121	51	42.15	70	57.85	-	0
Sunshine Bay	1964	701	35.82	1256	64.18	-9.58	7
Sydney (Eden-Monaro)	49	34	69.39	15	30.61	25.39	0
Tanja	167	122	73.94	43	26.06	3.6	2
Tathra	1310	626	48.15	674	51.85	-5.76	10
Thredbo	86	35	42.17	48	57.83	-13.28	3
Tomakin	522	237	45.49	284	54.51	-9.93	1
Towamba	194	87	45.08	106	54.92	-11.62	1
Tura Beach	1084	303	28	779	72	-9.27	2
Tuross Head	1218	530	43.87	678	56.13	-8.51	10
Wallaga Lake Koori Village	37	33	89.19	4	10.81	37.76	0
Wamboin	531	210	39.85	317	60.15	-9.7	4
Wolumla	401	153	38.15	248	61.85	-9.49	0
Wyndham	265	139	54.09	118	45.91	-6.13	8
ABSENT	2918	1398	48.31	1496	51.69	-	24
POSTAL	2719	1153	42.55	1557	57.45	-	9
PRE POLL	3649	1778	48.83	1863	51.17	-	8
PROVISIONAL	390	227	58.66	160	41.34	-	3
Division Total	72147	32487	45.24	39318	54.76	-9.03	342


Farrer							

Polling Place	Formal	SUMMERS		FISCHER		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Albury	3041	1116	36.86	1912	63.14	-7.45	13
Albury Dean	565	175	30.97	390	69.03	-5.48	0
Albury East	1267	409	32.43	852	67.57	-6.12	6
Albury High School	2284	713	31.38	1559	68.62	0.3	12
Albury Mercy Hospital	214	56	26.17	158	73.83	-0.58	0
Albury North	1925	673	35.03	1248	64.97	-7.6	4
Albury West	1836	548	29.98	1280	70.02	-6.94	8
Balldale	121	20	16.53	101	83.47	0.97	0
Balranald	942	371	39.43	570	60.57	-3.23	1
Barham	1099	203	18.51	894	81.49	-2.94	2
Barooga	834	203	24.34	631	75.66	-0.81	0
Berrigan	890	168	18.9	721	81.1	-4.65	1
Blighty	188	7	3.72	181	96.28	-3.36	0
Boree Creek	142	21	14.79	121	85.21	-8.09	0
Brocklesby	121	20	16.53	101	83.47	-1.72	0
Bunnaloo	110	10	9.17	99	90.83	-0.08	1
Buronga	816	186	22.91	626	77.09	-1.93	4
Burrumbuttock	194	25	12.89	169	87.11	-1.07	0
Caldwell	49	0	0	49	100	-	0
Carabost	42	16	38.1	26	61.9	10.44	0
Conargo	113	17	15.04	96	84.96	-5.96	0
Cookardinia	64	6	9.37	58	90.62	-1.56	0
Corowa	1883	521	27.77	1355	72.23	-4.54	7
Corowa Hospital	974	332	34.16	640	65.84	1.94	2
Corowa South	709	242	34.28	464	65.72	-3	3
Culcairn	864	292	33.8	572	66.2	-6.12	0
Curlwaa	198	36	18.18	162	81.82	-3.69	0
Dareton	918	231	25.19	686	74.81	1	1
Daysdale	116	7	6.03	109	93.97	1.69	0
Deniliquin	1609	393	24.49	1212	75.51	-2.39	4
Deniliquin Hospital	340	118	34.71	222	65.29	3.81	0
Deniliquin North	1067	252	23.62	815	76.38	-5.09	0
Deniliquin South	891	248	27.93	640	72.07	-2.63	3
Deniliquin West	1502	512	34.2	985	65.8	-2.04	5
Emery	158	5	3.16	153	96.84	-1.7	0
Euston	392	104	26.53	288	73.47	-4.22	0
Finley	1678	295	17.59	1382	82.41	-2.5	1
Gerogery	245	54	22.04	191	77.96	0.34	0
Glenroy	1856	687	37.14	1163	62.86	-5.64	6
Gol Gol	486	91	18.8	393	81.2	-1.84	2
Hatfield	48	4	8.33	44	91.67	-	0
Henty	730	188	25.79	541	74.21	-1.71	1
Holbrook	1235	363	29.44	870	70.56	-6.85	2
Howlong	1267	435	34.39	830	65.61	-5.66	2
Hume	1559	522	33.63	1030	66.37	-4.39	7
Jerilderie	748	195	26.1	552	73.9	-4.38	1
Jindera	946	213	22.52	733	77.48	-8.01	0
Jingellic	107	21	19.63	86	80.37	6.66	0
Khancoban	312	112	36.13	198	63.87	-5.16	2
Koraleigh	268	42	15.67	226	84.33	-1.11	0
Kyalite	67	11	16.42	56	83.58	0.56	0
Lalalty	99	11	11.11	88	88.89	5.79	0
Lavington	3267	1213	37.21	2047	62.79	-6.69	7
Lavington East	2010	750	37.37	1257	62.63	-5.95	3
Lockhart	724	182	25.14	542	74.86	-6.76	0
Logie Brae	93	9	9.68	84	90.32	5.57	0
Lowesdale	136	14	10.29	122	89.71	-0.74	0
Mathoura	610	229	37.54	381	62.46	-2.97	0
Mayrung	109	11	10.09	98	89.91	-0.06	0
Moama	1941	510	26.33	1427	73.67	-1.78	4
Morundah	58	9	15.52	49	84.48	-6.87	0
Morven	86	13	15.29	72	84.71	-4.49	1
Moulamein	462	115	25	345	75	-5.36	2
Mullengandra	144	24	16.67	120	83.33	4.64	0
Mulwala	1226	413	33.69	813	66.31	-1.53	0
Murray Downs	164	21	12.8	143	87.2	-6.43	0
Oaklands	246	39	15.92	206	84.08	0.86	1
Pomona	106	13	12.26	93	87.74	-9.1	0
Pooncarie	94	6	6.38	88	93.62	-5.86	0
Pretty Pine	104	10	9.62	94	90.38	1.77	0
Rand	205	23	11.22	182	88.78	-6.71	0
Rennie	126	2	1.59	124	98.41	-1.25	0
Rosewood	153	21	13.73	132	86.27	-13.55	0
Special Hospital Team 1	63	17	26.98	46	73.02	-	0
Special Hospital Team 2	99	23	23.23	76	76.77	-	0
Special Hospital Team 3	45	25	55.56	20	44.44	-	0
Special Hospital Team 4	15	3	20	12	80	-	0
Special Hospital Team 5	20	4	20	16	80	-	0
Springdale Heights	590	210	35.59	380	64.41	-9.4	0
St Marks	1555	592	38.12	961	61.88	-8.83	2
Sydney (Farrer)	19	9	50	9	50	14.71	1
Table Top	242	47	19.42	195	80.58	-0.86	0
The Retreat	132	5	3.79	127	96.21	-0.16	0
Thurgoona	1608	529	32.98	1075	67.02	-4.54	4
Tocumwal	1173	311	26.51	862	73.49	-0.4	0
Tooleybuc	269	51	19.03	217	80.97	-4.26	1
Tooma	146	9	6.16	137	93.84	-3.53	0
Tumbarumba	1341	518	38.66	822	61.34	-6.24	1
Urana	342	126	36.84	216	63.16	3.13	0
Urangeline	67	3	4.48	64	95.52	3.14	0
Wakool	362	42	11.63	319	88.37	-3.5	1
Walbundrie	182	14	7.69	168	92.31	1.26	0
Walla Walla	504	89	17.69	414	82.31	-4.03	1
Wanganella	47	1	2.13	46	97.87	-10.92	0
Wentworth	1033	277	26.87	754	73.13	-4.31	2
Womboota	83	9	10.84	74	89.16	0.84	0
Woomargama	123	24	19.51	99	80.49	-6.8	0
ABSENT	1978	558	28.28	1415	71.72	-	5
POSTAL	2883	649	22.55	2229	77.45	-	5
PRE POLL	3855	1088	28.28	2759	71.72	-	8
PROVISIONAL	231	79	34.2	152	65.8	-	0
Division Total	71200	20439	28.77	50611	71.23	-3.8	150


Fowler							

Polling Place	Formal	GRACE		CENATIEMPO		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Ashcroft	1741	1301	75.12	431	24.88	-1.74	9
Bonnyrigg	1824	1440	79.03	382	20.97	2.61	2
Bonnyrigg Heights	2140	1442	67.45	696	32.55	-6.02	2
Bonnyrigg High	1355	949	70.14	404	29.86	-1.27	2
Busby	2468	1792	72.7	673	27.3	-5.56	3
Cabramatta	4207	3388	80.65	813	19.35	3.1	6
Cabramatta East	2536	1916	75.55	620	24.45	-0.21	0
Cabramatta High	1603	1265	79.01	336	20.99	-1.89	2
Cabramatta West	2282	1481	65.07	795	34.93	-2.92	6
Canley Heights	3713	2538	68.37	1174	31.63	-1.83	1
Canley Vale	2683	2033	75.89	646	24.11	-1.99	4
Canley Vale High	260	178	68.46	82	31.54	-5.98	0
Cartwright	1390	986	71.24	398	28.76	-8.36	6
Edensor Park	2085	1287	61.82	795	38.18	-4.62	3
Green Valley	2645	1674	63.41	966	36.59	-6.34	5
Harrington Street	2801	1800	64.4	995	35.6	-6.38	6
Heckenberg	1779	1250	70.5	523	29.5	-8.81	6
Hinchinbrook	2562	1639	64.22	913	35.78	-7.12	10
Lansvale	1811	1253	69.34	554	30.66	-1.86	4
Lansvale East	1222	602	49.34	618	50.66	-9.59	2
Liverpool	2487	1757	70.76	726	29.24	-0.17	4
Liverpool North	861	552	64.19	308	35.81	-8.83	1
Liverpool South	96	64	66.67	32	33.33	-1.84	0
