House of Representatives -1996 Election 				
National List of Candidates				

Candidate	Party		Division	State
"HOLLIS, Colin"	ALP		Throsby	NSW
"HOLLIS, Greg"	DEM		Longman	QLD
"HOLMES, Alan"	ALP		Wide Bay	QLD
"HOOPER, John"			Wentworth	NSW
"HOPPNER, Helen"	NP		McMillan	VIC
"HORNE, Bob"	ALP		Paterson	NSW
"HOWARD, John Winston"	LP		Bennelong	NSW
"HOWES, David Paul"	CTA		Eden-Monaro	NSW
"HUGHES, Bob"	NLP		Lowe	NSW
"HUGHES, Brian"	CTA		Throsby	NSW
"HUNTER, Anne"	LP		Page	NSW
"HUNTER, Sally Ann"	NLP		Kingston	SA
"HUTCHINSON, John"	RARI		Mitchell	NSW

"ILLERT, Barry"			Makin	SA
"ILOTT, Mark"			Chisholm	VIC
"ISHERWOOD, Craig William"			Wills	VIC
"IVORY, Chris"	DEM		Braddon	TAS

"JACKSON, Keryn Ann"	AIP		Petrie	QLD
"JACKSON, Martin"	DEM		Grey	SA
"JACKSON, Peter"	NLP		Maribyrnong	VIC
"JACKSON, Zillah"	DEM		Petrie	QLD
"JACOBS, Reba"	DEM		Dunkley	VIC
"JAKOBSEN, Carolyn"	ALP		Cowan	WA
"JAMES, Chris"	AGV		McEwen	VIC
"JEANES, Susan"	LP		Kingston	SA
"JEFFREYS, Elena"	GWA		Perth	WA
"JENKINS, Harry"	ALP		Scullin	VIC
"JENKINS, Margaret Mary"	GWA		Tangney	WA
"JOHNS, Gary"	ALP		Petrie	QLD
"JOHNSEN, Michael"	NP		Hunter	NSW
"JOHNSON, Colin"	AIP		Hinkler	QLD
"JOHNSON, Keith"	LP		Richmond	NSW
"JOHNSON, Norman Abraham"	AIP		Moreton	QLD
"JOHNSON, Pamela"	DEM		Corangamite	VIC
"JOHNSON, Robert Mansfield"	NLP		Goldstein	VIC
"JOHNSTON, Hetty Margarette"	DEM		Fadden	QLD
"JOHNSTON, Ricky"	LP		Canning	WA
"JONES, Alistair"	IND		Riverina	NSW
"JONES, Alistair"	ALP		Moore	WA
"JONES, Barry Owen"	ALP		Lalor	VIC
"JONES, Dell Lynette"	GRN		Petrie	QLD
"JONSSON, Dee Richelle"	CTA		Parramatta	NSW
"JOSLING, Greg"			Werriwa	NSW
"JOYNER, Rona"	IND		Dickson	QLD
"JUDGE, Peter"	AFI		Chisholm	VIC
"JULL, David"	LP		Fadden	QLD

"KAILIS, George Peter"	NLP		Curtin	WA
"KARMICHAEL, Nat"	IND		Petrie	QLD
"KATALINIC, Aldo"	IND		Dobell	NSW
"KATTER, Bob"	NP		Kennedy	QLD
"KAYE, Victor S"	DEM		Burke	VIC
"KAYES, John"	RARI		Banks	NSW
"KEANE, Chanel"	AGV		Casey	VIC
"KEARNEY, Vicki"	GRN		Macarthur	NSW
"KEATING, Paul John"	ALP		Blaxland	NSW
"KEIGHLEY, Rosemary"	NLP		Gilmore	NSW
"KELLY, De-Anne"	NP		Dawson	QLD
"KELLY, Dee"	LP		Perth	WA
"KELLY, Jackie"	LP		Lindsay	NSW
"KELLY, John"	IND		Gellibrand	VIC
"KELLY, Norm"	DEM		Swan	WA
"KELLY, Pam"	DEM		Wakefield	SA
"KEMENY, Alex"	ALP		Bradfield	NSW
"KEMP, David"	LP		Goldstein	VIC
"KEMP, Paul"	AFI		Bennelong	NSW
"KENDI, Juliana"	NLP		Lalor	VIC
"KENDI, Robert"	NLP		Casey	VIC
"KENNEDY, Chris"	DEM		Bonython	SA
"KENNEDY, Justin Daniel"	AGV		Goldstein	VIC
"KEPPEL, Sharon"	IND		Wills	VIC
"KERLIN, Alan"	DEM		Fisher	QLD
"KERR, Duncan"	ALP		Denison	TAS
"KERR, Jim"	DEM		Perth	WA
"KING, Chris"	IND		McMillan	VIC
"KIPPING, Ken"	NP		Herbert	QLD
"KIRK, Kirsten"	DEM		Moreton	QLD
"KIRSCHBAUM, Miko"	GRN		Fraser	ACT
"KNOTT, Peter John"	ALP		Gilmore	NSW
"KONTELJ, Srechko Stretch"	LP		Corio	VIC
"KOPPELHUBER, Robert"	DEM		Hughes	NSW
"KOROVIN, Nick"	LP		Blaxland	NSW
"KOUMANTATAKIS, George"	IND		Batman	VIC
"KRAJNIW, Tony"	GRN		Bowman	QLD
