House of Representatives - 2001 Election: Western Australia							
Swing to ALP							
By Division by Polling Place							
							
Brand							
							
Polling Place	Formal	BEAZLEY		THOMAS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Kambalda West	756	399	52.78	357	47.22	-0.77
Karratha	1410	691	49.01	719	50.99	-1.26
Karratha West	2668	1151	43.14	1517	56.86	-3.80
Kununurra	1492	563	37.73	929	62.27	-2.11
Laverton	209	96	45.93	113	54.07	-5.48
Leinster	244	87	35.66	157	64.34	-2.44
Leonora	356	140	39.33	216	60.67	-2.16
Looma	150	73	48.67	77	51.33	-22.68
Marble Bar	133	94	70.68	39	29.32	3.49
Marvel Loch	77	28	36.36	49	63.64	0.49
Meekatharra	425	220	51.76	205	48.24	4.91
Menzies	86	39	45.35	47	54.65	-3.26
Merredin	843	279	33.10	564	66.90	-1.74
Merredin District Hospital	258	113	43.80	145	56.20	-0.83
Merredin South	442	192	43.44	250	56.56	-0.82
Moorine Rock	87	13	14.94	74	85.06	3.97
Mount Magnet	305	133	43.61	172	56.39	-1.49
Mowanjum	102	80	78.43	22	21.57	-4.90
Mullewa	331	102	30.82	229	69.18	-0.27
Munglinup (Kalgoorlie)	44	9	20.45	35	79.55	11.36
Muntadgin	52	3	5.77	49	94.23	-1.64
Nabawa	193	46	23.83	147	76.17	1.35
Newman	695	358	51.51	337	48.49	-7.22
Newman North	735	345	46.94	390	53.06	-12.62
Noonkanbah	116	85	73.28	31	26.72	6.84
Norseman	423	235	55.56	188	44.44	-2.70
Northampton	775	199	25.68	576	74.32	-6.56
Nullagine	51	23	45.10	28	54.90	-22.40
Nulsen	1160	540	46.55	620	53.45	-4.72
Onslow	237	107	45.15	130	54.85	-7.23
Pannawonica	227	94	41.41	133	58.59	6.19
Paraburdoo	511	253	49.51	258	50.49	0.82
Perth (Kalgoorlie)	83	48	57.83	35	42.17	29.65
Port Hedland	1025	499	48.68	526	51.32	-3.49
Prison Mobile Team 1	35	28	80.00	7	20.00	11.25
Prison Mobile Team 2	44	40	90.91	4	9.09	9.96
Prison Mobile Team 3	27	22	81.48	5	18.52	3.10
