Senate - 2001 Election: Western Australia																																																		5														
First Preference Votes by Group 																																																																
By Polling Place																																																																
Forrest (82248)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Yarloop		2	0.36		0	0.00		0	0.00		4	0.72		0	0.00		248	44.36		11	1.97		1	0.18		70	12.52		15	2.68		0	0.00		0	0.00		0	0.00		4	0.72		16	2.86		158	28.26		30	5.37		0	0.00		559	94.59		32	5.41		591	0.75
	Yoongarillup		1	0.44		0	0.00		0	0.00		2	0.88		0	0.00		140	61.40		14	6.14		0	0.00		23	10.09		7	3.07		0	0.00		2	0.88		0	0.00		2	0.88		6	2.63		23	10.09		8	3.51		0	0.00		228	96.20		9	3.80		237	0.30
	Yornup		0	0.00		0	0.00		0	0.00		3	1.09		0	0.00		147	53.26		17	6.16		1	0.36		35	12.68		9	3.26		1	0.36		1	0.36		0	0.00		1	0.36		8	2.90		43	15.58		10	3.62		0	0.00		276	95.17		14	4.83		290	0.37
	Special Hospitals		2	0.42		0	0.00		0	0.00		1	0.21		0	0.00		224	47.36		10	2.11		0	0.00		28	5.92		34	7.19		0	0.00		1	0.21		0	0.00		2	0.42		5	1.06		164	34.67		2	0.42		0	0.00		473	91.84		42	8.16		515	0.65
	Total Ordinary		158	0.24		48	0.07		33	0.05		527	0.81		92	0.14		28144	43.00		1617	2.47		32	0.05		6356	9.71		1813	2.77		47	0.07		171	0.26		4	0.01		431	0.66		2646	4.04		18877	28.84		4414	6.74		36	0.06		65446	95.96		2753	4.04		68199	86.46
	ABSENT		15	0.32		0	0.00		3	0.06		47	0.99		2	0.04		1897	40.01		117	2.47		3	0.06		419	8.84		120	2.53		2	0.04		14	0.30		3	0.06		22	0.46		344	7.26		1277	26.94		450	9.49		6	0.13		4741	97.81		106	2.19		4847	6.14
	POSTAL		6	0.30		1	0.05		0	0.00		10	0.50		4	0.20		894	44.43		68	3.38		2	0.10		219	10.88		52	2.58		1	0.05		6	0.30		0	0.00		6	0.30		81	4.03		559	27.78		102	5.07		1	0.05		2012	98.58		29	1.42		2041	2.59
	PRE_POLL		3	0.10		7	0.23		1	0.03		20	0.65		2	0.07		1269	41.48		82	2.68		1	0.03		296	9.68		105	3.43		1	0.03		8	0.26		0	0.00		17	0.56		156	5.10		863	28.21		223	7.29		5	0.16		3059	99.03		30	0.97		3089	3.92
	PROVISIONAL		4	0.59		2	0.29		1	0.15		8	1.17		0	0.00		214	31.38		16	2.35		1	0.15		70	10.26		14	2.05		2	0.29		6	0.88		0	0.00		14	2.05		23	3.37		231	33.87		75	11.00		1	0.15		682	96.46		25	3.54		707	0.90
	Division Summary		186	0.24		58	0.08		38	0.05		612	0.81		100	0.13		32418	42.69		1900	2.5		39	0.05		7360	9.69		2104	2.77		53	0.07		205	0.27		7	0.01		490	0.65		3250	4.28		21807	28.72		5264	6.93		49	0.06		75940	96.27		2943	3.73		78883	95.91
